galaxy_id,input_file,output_file,rows_written,skipped_lines
CamB,data\raw\sparc\CamB_rotmod.dat,data\derived\sparc\CamB.csv,9,3
D512-2,data\raw\sparc\D512-2_rotmod.dat,data\derived\sparc\D512-2.csv,4,3
D564-8,data\raw\sparc\D564-8_rotmod.dat,data\derived\sparc\D564-8.csv,6,3
D631-7,data\raw\sparc\D631-7_rotmod.dat,data\derived\sparc\D631-7.csv,16,3
DDO064,data\raw\sparc\DDO064_rotmod.dat,data\derived\sparc\DDO064.csv,14,3
DDO154,data\raw\sparc\DDO154_rotmod.dat,data\derived\sparc\DDO154.csv,12,3
DDO161,data\raw\sparc\DDO161_rotmod.dat,data\derived\sparc\DDO161.csv,31,3
DDO168,data\raw\sparc\DDO168_rotmod.dat,data\derived\sparc\DDO168.csv,10,3
DDO170,data\raw\sparc\DDO170_rotmod.dat,data\derived\sparc\DDO170.csv,8,3
ESO079-G014,data\raw\sparc\ESO079-G014_rotmod.dat,data\derived\sparc\ESO079-G014.csv,15,3
ESO116-G012,data\raw\sparc\ESO116-G012_rotmod.dat,data\derived\sparc\ESO116-G012.csv,15,3
ESO444-G084,data\raw\sparc\ESO444-G084_rotmod.dat,data\derived\sparc\ESO444-G084.csv,7,3
ESO563-G021,data\raw\sparc\ESO563-G021_rotmod.dat,data\derived\sparc\ESO563-G021.csv,30,3
F561-1,data\raw\sparc\F561-1_rotmod.dat,data\derived\sparc\F561-1.csv,6,3
F563-1,data\raw\sparc\F563-1_rotmod.dat,data\derived\sparc\F563-1.csv,17,3
F563-V1,data\raw\sparc\F563-V1_rotmod.dat,data\derived\sparc\F563-V1.csv,6,3
F563-V2,data\raw\sparc\F563-V2_rotmod.dat,data\derived\sparc\F563-V2.csv,10,3
F565-V2,data\raw\sparc\F565-V2_rotmod.dat,data\derived\sparc\F565-V2.csv,7,3
F567-2,data\raw\sparc\F567-2_rotmod.dat,data\derived\sparc\F567-2.csv,5,3
F568-1,data\raw\sparc\F568-1_rotmod.dat,data\derived\sparc\F568-1.csv,12,3
F568-3,data\raw\sparc\F568-3_rotmod.dat,data\derived\sparc\F568-3.csv,18,3
F568-V1,data\raw\sparc\F568-V1_rotmod.dat,data\derived\sparc\F568-V1.csv,15,3
F571-8,data\raw\sparc\F571-8_rotmod.dat,data\derived\sparc\F571-8.csv,13,3
F571-V1,data\raw\sparc\F571-V1_rotmod.dat,data\derived\sparc\F571-V1.csv,7,3
F574-1,data\raw\sparc\F574-1_rotmod.dat,data\derived\sparc\F574-1.csv,14,3
F574-2,data\raw\sparc\F574-2_rotmod.dat,data\derived\sparc\F574-2.csv,5,3
F579-V1,data\raw\sparc\F579-V1_rotmod.dat,data\derived\sparc\F579-V1.csv,14,3
F583-1,data\raw\sparc\F583-1_rotmod.dat,data\derived\sparc\F583-1.csv,25,3
F583-4,data\raw\sparc\F583-4_rotmod.dat,data\derived\sparc\F583-4.csv,12,3
IC2574,data\raw\sparc\IC2574_rotmod.dat,data\derived\sparc\IC2574.csv,34,3
IC4202,data\raw\sparc\IC4202_rotmod.dat,data\derived\sparc\IC4202.csv,32,3
KK98-251,data\raw\sparc\KK98-251_rotmod.dat,data\derived\sparc\KK98-251.csv,15,3
NGC0024,data\raw\sparc\NGC0024_rotmod.dat,data\derived\sparc\NGC0024.csv,29,3
NGC0055,data\raw\sparc\NGC0055_rotmod.dat,data\derived\sparc\NGC0055.csv,21,3
NGC0100,data\raw\sparc\NGC0100_rotmod.dat,data\derived\sparc\NGC0100.csv,21,3
NGC0247,data\raw\sparc\NGC0247_rotmod.dat,data\derived\sparc\NGC0247.csv,26,3
NGC0289,data\raw\sparc\NGC0289_rotmod.dat,data\derived\sparc\NGC0289.csv,28,3
NGC0300,data\raw\sparc\NGC0300_rotmod.dat,data\derived\sparc\NGC0300.csv,25,3
NGC0801,data\raw\sparc\NGC0801_rotmod.dat,data\derived\sparc\NGC0801.csv,13,3
NGC0891,data\raw\sparc\NGC0891_rotmod.dat,data\derived\sparc\NGC0891.csv,18,3
NGC1003,data\raw\sparc\NGC1003_rotmod.dat,data\derived\sparc\NGC1003.csv,36,3
NGC1090,data\raw\sparc\NGC1090_rotmod.dat,data\derived\sparc\NGC1090.csv,24,3
NGC1705,data\raw\sparc\NGC1705_rotmod.dat,data\derived\sparc\NGC1705.csv,14,3
NGC2366,data\raw\sparc\NGC2366_rotmod.dat,data\derived\sparc\NGC2366.csv,26,3
NGC2403,data\raw\sparc\NGC2403_rotmod.dat,data\derived\sparc\NGC2403.csv,73,3
NGC2683,data\raw\sparc\NGC2683_rotmod.dat,data\derived\sparc\NGC2683.csv,11,3
NGC2841,data\raw\sparc\NGC2841_rotmod.dat,data\derived\sparc\NGC2841.csv,50,3
NGC2903,data\raw\sparc\NGC2903_rotmod.dat,data\derived\sparc\NGC2903.csv,34,3
NGC2915,data\raw\sparc\NGC2915_rotmod.dat,data\derived\sparc\NGC2915.csv,30,3
NGC2955,data\raw\sparc\NGC2955_rotmod.dat,data\derived\sparc\NGC2955.csv,24,3
NGC2976,data\raw\sparc\NGC2976_rotmod.dat,data\derived\sparc\NGC2976.csv,27,3
NGC2998,data\raw\sparc\NGC2998_rotmod.dat,data\derived\sparc\NGC2998.csv,13,3
NGC3109,data\raw\sparc\NGC3109_rotmod.dat,data\derived\sparc\NGC3109.csv,25,3
NGC3198,data\raw\sparc\NGC3198_rotmod.dat,data\derived\sparc\NGC3198.csv,43,3
NGC3521,data\raw\sparc\NGC3521_rotmod.dat,data\derived\sparc\NGC3521.csv,41,3
NGC3726,data\raw\sparc\NGC3726_rotmod.dat,data\derived\sparc\NGC3726.csv,12,3
NGC3741,data\raw\sparc\NGC3741_rotmod.dat,data\derived\sparc\NGC3741.csv,21,3
NGC3769,data\raw\sparc\NGC3769_rotmod.dat,data\derived\sparc\NGC3769.csv,12,3
NGC3877,data\raw\sparc\NGC3877_rotmod.dat,data\derived\sparc\NGC3877.csv,13,3
NGC3893,data\raw\sparc\NGC3893_rotmod.dat,data\derived\sparc\NGC3893.csv,10,3
NGC3917,data\raw\sparc\NGC3917_rotmod.dat,data\derived\sparc\NGC3917.csv,17,3
NGC3949,data\raw\sparc\NGC3949_rotmod.dat,data\derived\sparc\NGC3949.csv,7,3
NGC3953,data\raw\sparc\NGC3953_rotmod.dat,data\derived\sparc\NGC3953.csv,8,3
NGC3972,data\raw\sparc\NGC3972_rotmod.dat,data\derived\sparc\NGC3972.csv,10,3
NGC3992,data\raw\sparc\NGC3992_rotmod.dat,data\derived\sparc\NGC3992.csv,9,3
NGC4010,data\raw\sparc\NGC4010_rotmod.dat,data\derived\sparc\NGC4010.csv,12,3
NGC4013,data\raw\sparc\NGC4013_rotmod.dat,data\derived\sparc\NGC4013.csv,36,3
NGC4051,data\raw\sparc\NGC4051_rotmod.dat,data\derived\sparc\NGC4051.csv,7,3
NGC4068,data\raw\sparc\NGC4068_rotmod.dat,data\derived\sparc\NGC4068.csv,6,3
NGC4085,data\raw\sparc\NGC4085_rotmod.dat,data\derived\sparc\NGC4085.csv,7,3
NGC4088,data\raw\sparc\NGC4088_rotmod.dat,data\derived\sparc\NGC4088.csv,12,3
NGC4100,data\raw\sparc\NGC4100_rotmod.dat,data\derived\sparc\NGC4100.csv,24,3
NGC4138,data\raw\sparc\NGC4138_rotmod.dat,data\derived\sparc\NGC4138.csv,7,3
NGC4157,data\raw\sparc\NGC4157_rotmod.dat,data\derived\sparc\NGC4157.csv,17,3
NGC4183,data\raw\sparc\NGC4183_rotmod.dat,data\derived\sparc\NGC4183.csv,23,3
NGC4214,data\raw\sparc\NGC4214_rotmod.dat,data\derived\sparc\NGC4214.csv,14,3
NGC4217,data\raw\sparc\NGC4217_rotmod.dat,data\derived\sparc\NGC4217.csv,19,3
NGC4389,data\raw\sparc\NGC4389_rotmod.dat,data\derived\sparc\NGC4389.csv,6,3
NGC4559,data\raw\sparc\NGC4559_rotmod.dat,data\derived\sparc\NGC4559.csv,32,3
NGC5005,data\raw\sparc\NGC5005_rotmod.dat,data\derived\sparc\NGC5005.csv,18,3
NGC5033,data\raw\sparc\NGC5033_rotmod.dat,data\derived\sparc\NGC5033.csv,22,3
NGC5055,data\raw\sparc\NGC5055_rotmod.dat,data\derived\sparc\NGC5055.csv,28,3
NGC5371,data\raw\sparc\NGC5371_rotmod.dat,data\derived\sparc\NGC5371.csv,19,3
NGC5585,data\raw\sparc\NGC5585_rotmod.dat,data\derived\sparc\NGC5585.csv,24,3
NGC5907,data\raw\sparc\NGC5907_rotmod.dat,data\derived\sparc\NGC5907.csv,19,3
NGC5985,data\raw\sparc\NGC5985_rotmod.dat,data\derived\sparc\NGC5985.csv,33,3
NGC6015,data\raw\sparc\NGC6015_rotmod.dat,data\derived\sparc\NGC6015.csv,44,3
NGC6195,data\raw\sparc\NGC6195_rotmod.dat,data\derived\sparc\NGC6195.csv,23,3
NGC6503,data\raw\sparc\NGC6503_rotmod.dat,data\derived\sparc\NGC6503.csv,31,3
NGC6674,data\raw\sparc\NGC6674_rotmod.dat,data\derived\sparc\NGC6674.csv,15,3
NGC6789,data\raw\sparc\NGC6789_rotmod.dat,data\derived\sparc\NGC6789.csv,4,3
NGC6946,data\raw\sparc\NGC6946_rotmod.dat,data\derived\sparc\NGC6946.csv,58,3
NGC7331,data\raw\sparc\NGC7331_rotmod.dat,data\derived\sparc\NGC7331.csv,36,3
NGC7793,data\raw\sparc\NGC7793_rotmod.dat,data\derived\sparc\NGC7793.csv,46,3
NGC7814,data\raw\sparc\NGC7814_rotmod.dat,data\derived\sparc\NGC7814.csv,18,3
PGC51017,data\raw\sparc\PGC51017_rotmod.dat,data\derived\sparc\PGC51017.csv,6,3
UGC00128,data\raw\sparc\UGC00128_rotmod.dat,data\derived\sparc\UGC00128.csv,22,3
UGC00191,data\raw\sparc\UGC00191_rotmod.dat,data\derived\sparc\UGC00191.csv,9,3
UGC00634,data\raw\sparc\UGC00634_rotmod.dat,data\derived\sparc\UGC00634.csv,4,3
UGC00731,data\raw\sparc\UGC00731_rotmod.dat,data\derived\sparc\UGC00731.csv,12,3
UGC00891,data\raw\sparc\UGC00891_rotmod.dat,data\derived\sparc\UGC00891.csv,5,3
UGC01230,data\raw\sparc\UGC01230_rotmod.dat,data\derived\sparc\UGC01230.csv,11,3
UGC01281,data\raw\sparc\UGC01281_rotmod.dat,data\derived\sparc\UGC01281.csv,25,3
UGC02023,data\raw\sparc\UGC02023_rotmod.dat,data\derived\sparc\UGC02023.csv,5,3
UGC02259,data\raw\sparc\UGC02259_rotmod.dat,data\derived\sparc\UGC02259.csv,8,3
UGC02455,data\raw\sparc\UGC02455_rotmod.dat,data\derived\sparc\UGC02455.csv,8,3
UGC02487,data\raw\sparc\UGC02487_rotmod.dat,data\derived\sparc\UGC02487.csv,17,3
UGC02885,data\raw\sparc\UGC02885_rotmod.dat,data\derived\sparc\UGC02885.csv,19,3
UGC02916,data\raw\sparc\UGC02916_rotmod.dat,data\derived\sparc\UGC02916.csv,43,3
UGC02953,data\raw\sparc\UGC02953_rotmod.dat,data\derived\sparc\UGC02953.csv,115,3
UGC03205,data\raw\sparc\UGC03205_rotmod.dat,data\derived\sparc\UGC03205.csv,48,3
UGC03546,data\raw\sparc\UGC03546_rotmod.dat,data\derived\sparc\UGC03546.csv,30,3
UGC03580,data\raw\sparc\UGC03580_rotmod.dat,data\derived\sparc\UGC03580.csv,47,3
UGC04278,data\raw\sparc\UGC04278_rotmod.dat,data\derived\sparc\UGC04278.csv,25,3
UGC04305,data\raw\sparc\UGC04305_rotmod.dat,data\derived\sparc\UGC04305.csv,22,3
UGC04325,data\raw\sparc\UGC04325_rotmod.dat,data\derived\sparc\UGC04325.csv,8,3
UGC04483,data\raw\sparc\UGC04483_rotmod.dat,data\derived\sparc\UGC04483.csv,8,3
UGC04499,data\raw\sparc\UGC04499_rotmod.dat,data\derived\sparc\UGC04499.csv,9,3
UGC05005,data\raw\sparc\UGC05005_rotmod.dat,data\derived\sparc\UGC05005.csv,11,3
UGC05253,data\raw\sparc\UGC05253_rotmod.dat,data\derived\sparc\UGC05253.csv,73,3
UGC05414,data\raw\sparc\UGC05414_rotmod.dat,data\derived\sparc\UGC05414.csv,6,3
UGC05716,data\raw\sparc\UGC05716_rotmod.dat,data\derived\sparc\UGC05716.csv,12,3
UGC05721,data\raw\sparc\UGC05721_rotmod.dat,data\derived\sparc\UGC05721.csv,23,3
UGC05750,data\raw\sparc\UGC05750_rotmod.dat,data\derived\sparc\UGC05750.csv,11,3
UGC05764,data\raw\sparc\UGC05764_rotmod.dat,data\derived\sparc\UGC05764.csv,10,3
UGC05829,data\raw\sparc\UGC05829_rotmod.dat,data\derived\sparc\UGC05829.csv,11,3
UGC05918,data\raw\sparc\UGC05918_rotmod.dat,data\derived\sparc\UGC05918.csv,8,3
UGC05986,data\raw\sparc\UGC05986_rotmod.dat,data\derived\sparc\UGC05986.csv,15,3
UGC05999,data\raw\sparc\UGC05999_rotmod.dat,data\derived\sparc\UGC05999.csv,5,3
UGC06399,data\raw\sparc\UGC06399_rotmod.dat,data\derived\sparc\UGC06399.csv,9,3
UGC06446,data\raw\sparc\UGC06446_rotmod.dat,data\derived\sparc\UGC06446.csv,17,3
UGC06614,data\raw\sparc\UGC06614_rotmod.dat,data\derived\sparc\UGC06614.csv,13,3
UGC06628,data\raw\sparc\UGC06628_rotmod.dat,data\derived\sparc\UGC06628.csv,7,3
UGC06667,data\raw\sparc\UGC06667_rotmod.dat,data\derived\sparc\UGC06667.csv,9,3
UGC06786,data\raw\sparc\UGC06786_rotmod.dat,data\derived\sparc\UGC06786.csv,45,3
UGC06787,data\raw\sparc\UGC06787_rotmod.dat,data\derived\sparc\UGC06787.csv,71,3
UGC06818,data\raw\sparc\UGC06818_rotmod.dat,data\derived\sparc\UGC06818.csv,8,3
UGC06917,data\raw\sparc\UGC06917_rotmod.dat,data\derived\sparc\UGC06917.csv,11,3
UGC06923,data\raw\sparc\UGC06923_rotmod.dat,data\derived\sparc\UGC06923.csv,6,3
UGC06930,data\raw\sparc\UGC06930_rotmod.dat,data\derived\sparc\UGC06930.csv,10,3
UGC06973,data\raw\sparc\UGC06973_rotmod.dat,data\derived\sparc\UGC06973.csv,9,3
UGC06983,data\raw\sparc\UGC06983_rotmod.dat,data\derived\sparc\UGC06983.csv,17,3
UGC07089,data\raw\sparc\UGC07089_rotmod.dat,data\derived\sparc\UGC07089.csv,12,3
UGC07125,data\raw\sparc\UGC07125_rotmod.dat,data\derived\sparc\UGC07125.csv,13,3
UGC07151,data\raw\sparc\UGC07151_rotmod.dat,data\derived\sparc\UGC07151.csv,11,3
UGC07232,data\raw\sparc\UGC07232_rotmod.dat,data\derived\sparc\UGC07232.csv,4,3
UGC07261,data\raw\sparc\UGC07261_rotmod.dat,data\derived\sparc\UGC07261.csv,7,3
UGC07323,data\raw\sparc\UGC07323_rotmod.dat,data\derived\sparc\UGC07323.csv,10,3
UGC07399,data\raw\sparc\UGC07399_rotmod.dat,data\derived\sparc\UGC07399.csv,10,3
UGC07524,data\raw\sparc\UGC07524_rotmod.dat,data\derived\sparc\UGC07524.csv,31,3
UGC07559,data\raw\sparc\UGC07559_rotmod.dat,data\derived\sparc\UGC07559.csv,7,3
UGC07577,data\raw\sparc\UGC07577_rotmod.dat,data\derived\sparc\UGC07577.csv,9,3
UGC07603,data\raw\sparc\UGC07603_rotmod.dat,data\derived\sparc\UGC07603.csv,12,3
UGC07608,data\raw\sparc\UGC07608_rotmod.dat,data\derived\sparc\UGC07608.csv,8,3
UGC07690,data\raw\sparc\UGC07690_rotmod.dat,data\derived\sparc\UGC07690.csv,7,3
UGC07866,data\raw\sparc\UGC07866_rotmod.dat,data\derived\sparc\UGC07866.csv,7,3
UGC08286,data\raw\sparc\UGC08286_rotmod.dat,data\derived\sparc\UGC08286.csv,17,3
UGC08490,data\raw\sparc\UGC08490_rotmod.dat,data\derived\sparc\UGC08490.csv,30,3
UGC08550,data\raw\sparc\UGC08550_rotmod.dat,data\derived\sparc\UGC08550.csv,11,3
UGC08699,data\raw\sparc\UGC08699_rotmod.dat,data\derived\sparc\UGC08699.csv,41,3
UGC08837,data\raw\sparc\UGC08837_rotmod.dat,data\derived\sparc\UGC08837.csv,8,3
UGC09037,data\raw\sparc\UGC09037_rotmod.dat,data\derived\sparc\UGC09037.csv,22,3
UGC09133,data\raw\sparc\UGC09133_rotmod.dat,data\derived\sparc\UGC09133.csv,68,3
UGC09992,data\raw\sparc\UGC09992_rotmod.dat,data\derived\sparc\UGC09992.csv,5,3
UGC10310,data\raw\sparc\UGC10310_rotmod.dat,data\derived\sparc\UGC10310.csv,7,3
UGC11455,data\raw\sparc\UGC11455_rotmod.dat,data\derived\sparc\UGC11455.csv,36,3
UGC11557,data\raw\sparc\UGC11557_rotmod.dat,data\derived\sparc\UGC11557.csv,12,3
UGC11820,data\raw\sparc\UGC11820_rotmod.dat,data\derived\sparc\UGC11820.csv,10,3
UGC11914,data\raw\sparc\UGC11914_rotmod.dat,data\derived\sparc\UGC11914.csv,65,3
UGC12506,data\raw\sparc\UGC12506_rotmod.dat,data\derived\sparc\UGC12506.csv,31,3
UGC12632,data\raw\sparc\UGC12632_rotmod.dat,data\derived\sparc\UGC12632.csv,15,3
UGC12732,data\raw\sparc\UGC12732_rotmod.dat,data\derived\sparc\UGC12732.csv,16,3
UGCA281,data\raw\sparc\UGCA281_rotmod.dat,data\derived\sparc\UGCA281.csv,7,3
UGCA442,data\raw\sparc\UGCA442_rotmod.dat,data\derived\sparc\UGCA442.csv,8,3
UGCA444,data\raw\sparc\UGCA444_rotmod.dat,data\derived\sparc\UGCA444.csv,36,3
