galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC3917,SPARC,0.87,24.3,3.9,0,35.64,0,35.64
NGC3917,SPARC,1.74,49.6,3.9,0,47.54,0,47.54
NGC3917,SPARC,2.61,73.6,5.2,0,60.47,0,60.47
NGC3917,SPARC,3.5,101,4.4,7.38,73.72,0,74.08847954
NGC3917,SPARC,4.37,107,3.5,13.36,85.03,0,86.07316945
NGC3917,SPARC,5.24,115,3.5,14.01,96.27,0,97.284084
NGC3917,SPARC,6.11,123,3.9,12.18,104.34,0,105.0485031
NGC3917,SPARC,6.98,130,3.9,18.32,107.5,0,109.049862
NGC3917,SPARC,7.85,134,3.5,21.34,109.28,0,111.3441242
NGC3917,SPARC,8.72,136,3.9,21.77,108.62,0,110.7801304
NGC3917,SPARC,9.6,137,4,27.37,107.75,0,111.1718463
NGC3917,SPARC,10.47,136,3.5,29.53,106.05,0,110.0846193
NGC3917,SPARC,11.35,137,3.5,32.11,103.37,0,108.2423623
NGC3917,SPARC,12.19,137,3.5,32.87,100.58,0,105.8148066
NGC3917,SPARC,13.12,137,5,30.82,96.92,0,101.7023048
NGC3917,SPARC,13.94,138,5,32.01,93.04,0,98.39248803
NGC3917,SPARC,14.86,137,7.5,31.79,88.38,0,93.92352474
