galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
DDO154,SPARC,0.49,13.8,1.6,3.74,12.31,0,12.86560142
DDO154,SPARC,0.99,21.6,0.8,7.46,14.55,0,16.35096633
DDO154,SPARC,1.48,28.9,0.7,10.87,12.95,0,16.90737709
DDO154,SPARC,1.97,34.3,0.5,13.32,11.54,0,17.62367726
DDO154,SPARC,2.47,38.2,0.4,14.77,10.18,0,17.93837507
DDO154,SPARC,2.96,42,0.2,16.2,9.16,0,18.6103627
DDO154,SPARC,3.46,44.6,0.2,17.6,8.37,0,19.48889171
DDO154,SPARC,3.95,46.3,0.2,17.91,7.77,0,19.52283279
DDO154,SPARC,4.44,47.4,0.3,17.48,7.29,0,18.93923177
DDO154,SPARC,4.94,48.2,0.6,16.93,6.89,0,18.27832049
DDO154,SPARC,5.43,47.4,0.7,16.28,6.55,0,17.54824493
DDO154,SPARC,5.92,45.5,1.3,15.64,6.26,0,16.84628149
