galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC4100,SPARC,2.61,120,10.5,5.71,126.18,0,126.3091307
NGC4100,SPARC,3.5,148,7.5,9.28,135.14,0,135.4582519
NGC4100,SPARC,4.37,168,6.2,13.15,152.52,0,153.0858351
NGC4100,SPARC,5.24,182,6.1,16.38,177.98,0,178.7321594
NGC4100,SPARC,6.11,190,5.2,19.18,196.88,0,197.8120492
NGC4100,SPARC,6.98,194,5.7,21.66,207.03,0,208.1599781
NGC4100,SPARC,7.85,195,6.1,23.38,198.89,0,200.2594729
NGC4100,SPARC,8.72,193,4.8,24.46,191.25,0,192.8078165
NGC4100,SPARC,9.6,192,3.9,25,180.26,0,181.98535
NGC4100,SPARC,10.47,192,3.5,25.65,169.65,0,171.5781017
NGC4100,SPARC,11.35,191,4.4,26.73,162.03,0,164.2200164
NGC4100,SPARC,12.19,189,4.8,28.34,157.28,0,159.8128718
NGC4100,SPARC,13.12,185,5.3,30.6,152.13,0,155.1769857
NGC4100,SPARC,13.94,182,4.5,32.54,146.63,0,150.197232
NGC4100,SPARC,14.86,179,6.6,34.38,141.01,0,145.140637
NGC4100,SPARC,15.68,176,6.2,36.42,136.34,0,141.1205584
NGC4100,SPARC,16.61,174,6.6,38.36,131.69,0,137.1632083
NGC4100,SPARC,17.42,178,8.7,38.9,128.17,0,133.9431182
NGC4100,SPARC,18.35,177,6.2,37.93,124.63,0,130.2740258
NGC4100,SPARC,19.16,169,5.9,36.96,121.38,0,126.8824101
NGC4100,SPARC,20.09,158,6.3,36.1,117.8,0,123.2073456
NGC4100,SPARC,21.02,158,7.6,34.92,114.69,0,119.8882918
NGC4100,SPARC,21.95,158,8.9,33.73,111.9,0,116.873106
NGC4100,SPARC,22.76,159,9,32.65,109.45,0,114.2161328
