galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC3521,SPARC,0.51,143,33.1,-3.74,195.66,0,195.66
NGC3521,SPARC,0.69,160,15,-4.96,213.36,0,213.36
NGC3521,SPARC,0.86,178,7.92,-6.2,228.63,0,228.63
NGC3521,SPARC,1.03,188,8.01,-7.39,242.31,0,242.31
NGC3521,SPARC,1.2,187,8.03,-8.46,244.99,0,244.99
NGC3521,SPARC,1.38,195,5.6,-9.15,248.08,0,248.08
NGC3521,SPARC,1.55,199,7.52,-9.58,251.75,0,251.75
NGC3521,SPARC,1.71,203,6.87,-9.77,258.35,0,258.35
NGC3521,SPARC,1.89,206,9.22,-9.95,262.92,0,262.92
NGC3521,SPARC,2.06,211,12,-9.95,270.25,0,270.25
NGC3521,SPARC,2.23,219,13.3,-9.95,275.1,0,275.1
NGC3521,SPARC,2.41,216,9.9,-10.14,276.83,0,276.83
NGC3521,SPARC,2.58,214,10.5,-10.6,274.55,0,274.55
NGC3521,SPARC,2.75,213,8.39,-11.16,274.06,0,274.06
NGC3521,SPARC,2.92,210,13.3,-11.53,273.74,0,273.74
NGC3521,SPARC,3.09,214,6.67,-11.25,275.23,0,275.23
NGC3521,SPARC,3.26,213,9.98,-9.77,276.33,0,276.33
NGC3521,SPARC,3.43,212,11.2,-7.06,278.46,0,278.46
NGC3521,SPARC,3.61,215,9.11,2.4,278.97,0,278.9803235
NGC3521,SPARC,3.78,217,10.1,7.87,280.87,0,280.9802374
NGC3521,SPARC,3.95,219,8.05,10.51,281.76,0,281.9559499
NGC3521,SPARC,4.12,220,8.29,12.28,282.78,0,283.04651
NGC3521,SPARC,4.29,218,8.42,13.95,281.57,0,281.915355
NGC3521,SPARC,4.46,220,9.71,15.63,279.92,0,280.3560295
NGC3521,SPARC,4.64,220,20.1,17.49,276.26,0,276.8130916
NGC3521,SPARC,4.81,216,23.5,19.07,272.38,0,273.046753
NGC3521,SPARC,4.98,220,14.6,20,268.13,0,268.8748722
NGC3521,SPARC,5.15,218,12.2,20.46,264.51,0,265.3001163
NGC3521,SPARC,5.32,213,23.1,20.65,260.81,0,261.6262193
NGC3521,SPARC,5.49,215,21.2,20.74,257.41,0,258.2441784
NGC3521,SPARC,5.67,216,18.3,21.02,254.02,0,254.8882124
NGC3521,SPARC,5.84,208,31.7,21.3,251.09,0,251.9918215
NGC3521,SPARC,6.01,212,25.3,21.67,248.27,0,249.2139278
NGC3521,SPARC,6.19,213,23.8,22.04,245.66,0,246.6467052
NGC3521,SPARC,6.35,216,19.6,22.51,243.33,0,244.3689608
NGC3521,SPARC,6.64,210,25,23.63,238.82,0,239.9861856
NGC3521,SPARC,8.82,210,10.7,34.97,209.65,0,212.5465206
NGC3521,SPARC,11.07,210,10.7,43.44,188.05,0,193.0021661
NGC3521,SPARC,13.32,206,6.25,45.95,172.02,0,178.0513491
NGC3521,SPARC,15.49,206,6.25,45.39,159.31,0,165.6500172
NGC3521,SPARC,17.74,206,10.7,42.23,147.38,0,153.3109171
