galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC3893,SPARC,1.74,145,6.8,17.89,202.16,0,202.9500374
NGC3893,SPARC,3.5,174,6.8,17.67,210.45,0,211.1905097
NGC3893,SPARC,5.24,194,6.4,27.48,211.51,0,213.2876708
NGC3893,SPARC,6.98,190,5.5,42.57,187.95,0,192.7106831
NGC3893,SPARC,8.81,186,5.8,48.28,172.49,0,179.1193973
NGC3893,SPARC,10.9,188,7,45.48,161.01,0,167.310043
NGC3893,SPARC,13.12,187,8.5,43.32,148.11,0,154.3152439
NGC3893,SPARC,15.33,179,12.6,43.11,134.96,0,141.6780636
NGC3893,SPARC,17.3,176,11.7,43.21,126.37,0,133.553289
NGC3893,SPARC,19.05,167,13.5,44.51,119.3,0,127.3327534
