galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
UGC02953,SPARC,16.83,296,1.41,24.25,262.23,87.87,277.6216351
UGC02953,SPARC,18.03,294,1.15,25.92,253.58,84.9,268.6683323
UGC02953,SPARC,19.23,294,0.59,28.33,245.5,82.21,260.444472
UGC02953,SPARC,20.43,294,0.5,31.05,237.34,79.76,252.3014778
UGC02953,SPARC,21.64,292,1.21,33.56,229.62,77.5,244.6586765
UGC02953,SPARC,22.84,290,1.21,34.91,222.49,75.43,237.5083011
UGC02953,SPARC,24.04,287,0.81,34.6,215.84,73.53,230.6311482
UGC02953,SPARC,25.24,283,1.08,32.72,209.67,71.76,224.0125106
UGC02953,SPARC,26.44,279,1.87,31.05,203.93,70.11,217.8691339
UGC02953,SPARC,27.65,276,1.55,30.52,198.57,68.56,212.2780933
UGC02953,SPARC,28.85,273,1.9,30.21,193.62,67.12,207.1387045
UGC02953,SPARC,30.05,271,1.12,30,189.02,65.76,202.3683226
UGC02953,SPARC,31.25,270,1.41,30.73,184.73,64.49,198.0617729
UGC02953,SPARC,32.34,268,1.76,31.88,181.07,63.39,194.4761461
UGC02953,SPARC,33.55,267,1.81,33.03,177.28,62.24,190.7694863
UGC02953,SPARC,34.75,266,2.18,33.45,173.75,61.15,187.2092078
UGC02953,SPARC,35.95,265,3.01,33.24,170.44,60.13,183.766994
UGC02953,SPARC,37.15,264,2.04,32.93,167.32,59.15,180.4967861
UGC02953,SPARC,38.35,264,1.58,32.82,164.38,58.21,177.4439092
UGC02953,SPARC,39.56,264,3.23,33.03,161.57,57.32,174.589313
UGC02953,SPARC,40.76,264,2.94,33.76,158.94,56.47,172.0189585
UGC02953,SPARC,41.96,264,1.62,34.29,156.44,55.65,169.5470442
UGC02953,SPARC,43.16,264,2.15,34.29,154.06,54.87,167.0957947
UGC02953,SPARC,44.36,262,4.45,34.08,151.79,54.13,164.7170525
UGC02953,SPARC,45.57,260,7.43,34.39,149.61,53.4,162.5342555
UGC02953,SPARC,46.77,258,7.22,34.81,147.54,52.71,160.4934011
UGC02953,SPARC,47.97,257,5.37,34.81,145.56,52.05,158.4570989
UGC02953,SPARC,49.17,258,5.43,34.6,143.67,51.41,156.4647468
UGC02953,SPARC,50.37,260,6.47,34.6,141.84,50.79,154.5812722
UGC02953,SPARC,51.58,263,5.75,34.6,140.1,50.2,152.7913937
UGC02953,SPARC,52.78,265,5.54,34.18,138.41,49.62,150.9561026
UGC02953,SPARC,53.98,266,4.43,33.56,136.79,49.07,149.1497321
UGC02953,SPARC,55.18,266,4.71,33.14,135.22,48.53,147.437678
UGC02953,SPARC,57.59,262,5.28,32.72,132.24,47.5,144.271501
UGC02953,SPARC,59.99,263,4.7,31.36,129.47,46.54,141.1095394
UGC02953,SPARC,62.39,272,5.04,30.52,126.87,45.64,138.2406485
