galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
ESO563-G021,SPARC,0.45,18.9,9.78,0,65.19,0,65.19
ESO563-G021,SPARC,1.34,58.3,10.5,0,120.17,0,120.17
ESO563-G021,SPARC,2.23,74.1,5.69,0,137.48,0,137.48
ESO563-G021,SPARC,3.12,119,4.27,0,146.18,0,146.18
ESO563-G021,SPARC,4.01,141,3.76,0,157.86,0,157.86
ESO563-G021,SPARC,4.9,195,4.54,0,175.79,0,175.79
ESO563-G021,SPARC,5.79,227,4.2,0,199.19,0,199.19
ESO563-G021,SPARC,6.69,246,4.24,0,217.87,0,217.87
ESO563-G021,SPARC,7.58,268,5.56,0,228.65,0,228.65
ESO563-G021,SPARC,8.47,283,2.96,0,241.76,0,241.76
ESO563-G021,SPARC,10.23,291,9.81,0,260.94,0,260.94
ESO563-G021,SPARC,12.06,310,4.74,0.04,275.04,0,275.0400029
ESO563-G021,SPARC,13.44,310,20.4,0.4,277.98,0,277.9802878
ESO563-G021,SPARC,15.18,310,16.1,3.11,282.25,0,282.2671334
ESO563-G021,SPARC,16.83,314,13.5,15.18,283.33,0,283.7363588
ESO563-G021,SPARC,18.56,317,12.7,22.91,276.47,0,277.4176076
ESO563-G021,SPARC,20.3,319,10.4,33.06,272.19,0,274.1903713
ESO563-G021,SPARC,21.94,318,10.8,33.62,273,0,275.0623646
ESO563-G021,SPARC,23.68,317,9.3,39.67,271.34,0,274.2245512
ESO563-G021,SPARC,25.41,317,7.23,44.98,261.62,0,265.458518
ESO563-G021,SPARC,27.06,312,8.39,46.29,252.97,0,257.1703424
ESO563-G021,SPARC,28.8,312,8.37,43.21,243.84,0,247.6389503
ESO563-G021,SPARC,30.53,311,11.5,45.08,233.85,0,238.1554721
ESO563-G021,SPARC,32.18,310,14.5,52.43,224.75,0,230.7844609
ESO563-G021,SPARC,33.91,313,15.9,59.7,216.21,0,224.3008116
ESO563-G021,SPARC,35.65,320,8.83,61.56,208.83,0,217.7144977
ESO563-G021,SPARC,37.3,321,7.88,63.33,202.65,0,212.3151229
ESO563-G021,SPARC,39.03,320,8,62.96,196.77,0,206.5971793
ESO563-G021,SPARC,40.76,315,9.82,62.4,191.39,0,201.3054696
ESO563-G021,SPARC,42.41,312,9.07,62.21,186.89,0,196.9719681
