galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_obs_i,I_ext_i,DeltaD_i
DDO168,1,0.41,2.06,1.235,1.6500000000000001,1.24,29.560000000000002,22.801932483717632,1.8199999999999998,149296598.71170092,5,75300744.96280545,2.52681,59085011.817944735,2.3509089911554155,2.3250948245526186,2.338001907854017,0.10762250956485397,0.2219632202903082,1.9769999999999999,1.0,2.0,1411436.8717334084,1695138.329382244,0.5,0.0,0.0,1.0,0.4828801665315966,818548.6787861905,0.5171198334684034
DDO168,2,2.47,4.12,3.295,1.65,1.24,53.36,28.378055993417775,2.06,616964743.3162987,5,75300744.96280545,6.7415699999999985,91516478.10766615,2.1608119839267066,2.2999468126516196,2.230379398289163,0.10762250956485397,0.0816557054410123,1.9769999999999999,1.0,2.0,804246.0719736515,1302136.844268526,0.5,1.0,1.0,0.0,0.723272345217261,941799.5691479002,0.2767276547827389
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,101.05,133.77833333333334,6.423333333333333,11131020785.313784,6,4972515764.711152,4.166312500000001,2671672080.6021585,2.0392838014105603,2.1748339766646794,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,8.5,1.0,2.0,4.636661338935868e-13,0.047892032377770975,0.0,0.14071560495234037,0.0,0.0,0.34816008514551783,0.01667409407043664,0.6518399148544821
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,270.8333333333333,237.24166715144466,5.251666666666668,116796493543.85747,6,4972515764.711152,19.585912500000003,5963290887.971518,2.0126918725852097,2.218752526407413,2.1157221994963114,0.013928168292118626,1.0419012351871175e-12,8.5,1.0,2.0,8.65379400830692e-05,0.09990735130182454,0.40788021167202015,0.0,0.9804935568657432,0.22634225865324586,0.5277145739909144,0.05272256533080296,0.47228542600908563
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,314.6666666666667,278.4423539022395,13.983333333333334,318887922616.5412,6,4972515764.711152,52.62775000000003,6059311344.6146,2.0065857164233027,2.1864726303182285,2.0965291733707656,0.019997466301749034,1.72835225064044e-09,8.5,1.0,2.0,0.20942595352579113,0.27996466846501017,0.8780821877161072,0.3117466810176118,1.0,0.9346647989429966,0.8154057913823474,0.22828481204880813,0.18459420861765263
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,313.1666666666667,252.23871582961138,9.881666666666666,413175036792.438,6,4972515764.711152,83.09175000000002,4972515764.711152,2.0047538262405844,2.146700707545042,2.0757272668928133,0.021186534992294392,2.009090196220961e-09,8.5,1.0,2.0,0.2116584141169008,0.29798954040557485,0.9702019760440871,0.6496259326229135,0.7586124406448,1.0,0.8524237231457594,0.25401335349101384,0.14757627685424055
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,316.8333333333333,209.86750819634457,9.916666666666666,390785484287.7604,6,4972515764.711152,113.52600000000001,3442255380.1575,2.003822981426408,2.104489225345945,2.054156103386177,0.02157116350663646,1.0562783705660053e-09,8.5,1.0,2.0,0.07843231701656393,0.16080365478787534,1.0,1.0,0.30946996782406777,0.4781065433047167,0.7785109423321177,0.1251874048193574,0.22148905766788224
IC4202,1,0.77,5.5,3.135,4.73,3.4400000000000004,141.28571428571428,185.46424308097198,3.8814285714285712,25072496151.305027,7,870273012.8993666,51.010212,491519152.1122285,2.244980924181924,2.1718382004440793,2.2084095623130016,0.0434347636560557,0.0012146536683018835,3.9700000000000006,1.0,2.0,25931.663276641877,26201.18647808398,0.6637542508477157,0.0,0.08633041181958344,1.0,0.5337763171232935,13985.572822532304,0.4662236828767065
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,3.44,236.0,226.0905499053524,4.985,98111867703.5664,6,870273012.8993666,112.736884,870273012.8993666,2.133420738594158,2.1965288587197342,2.164974798656946,0.026262016339137828,2.8820027976789913e-06,3.9700000000000006,1.0,2.0,65.86853155217779,8119.366791578804,0.23605233303514594,0.3242884720588336,0.7275107215789249,0.27873486316517043,0.5104629406859305,4144.635848937004,0.4895370593140696
IC4202,3,11.02,14.59,12.805,3.5700000000000003,3.44,243.16666666666666,242.07131385357616,6.103333333333333,174464023029.3473,6,870273012.8993666,157.255644,1109429325.3433073,2.103983936699942,2.2077871225695094,2.155885529634726,0.01678423076007496,1.2473450227668306e-09,3.9700000000000006,1.0,2.0,0.023226709147853,5162.726590852484,0.0,0.39214990182711673,1.0,0.0,0.48157123523088624,2486.220621516173,0.5184287647691137
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,3.44,245.83333333333334,229.03959164474358,9.143333333333334,205096211569.96982,6,870273012.8993666,212.28601199999986,966131539.4156538,2.085995093868017,2.1768175804055745,2.131406337136796,0.04070731405410477,0.00011683730347461101,3.9700000000000006,1.0,2.0,4595.049909309406,8720.116882461789,0.5958247923887119,0.5749141041432263,0.844783884760581,0.32267814382191723,0.6807791834722043,5936.474051024521,0.3192208165277956
