galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
NGC4559,0.67,43.8,10.9,-0.11739163103963836,5207.733134328358,-115.85884045493134,5091.874293873427,59.06929151428854,0.0,58.40852486491331,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,1.32,64.2,7.71,-0.11678597979559813,4425.93606060606,-58.50373875099122,4367.432321855069,76.4345183801141,0.0,75.92766732126499,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,1.97,73.3,8.62,-0.11705284898949932,3997.638223350253,-39.29005222159143,3958.3481711286618,88.74315353873784,0.0,88.30597882999466,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,2.62,84.2,8.4,-0.11533257736742729,3570.5631297709924,-29.108347416742788,3541.45478235425,96.72060483681851,0.0,96.32554972471289,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,3.28,96.2,5.67,-0.11031791422126765,3458.994207317074,-22.24021810382905,3436.753989213245,106.51526181726261,0.0,106.17228020825137,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,3.93,102.0,4.79,-0.11363049990882629,3370.7361323155214,-19.119177737884726,3351.6169545776365,115.09558201772994,0.0,114.76870057419886,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,4.58,104.0,5.67,-0.11388690449680725,3019.5490174672486,-16.442776527508574,3003.10624093974,117.59904123758832,0.0,117.2784148234619,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,5.22,106.0,5.37,-0.10931582626835569,2617.753601532567,-13.847755355173279,2603.9058461773934,116.8959956542567,0.0,116.58639936564639,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,5.9,106.0,5.24,-0.1077131503758121,2290.6351186440675,-12.072120456428143,2278.562998187639,116.25294490893552,0.0,115.94620170280298,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,6.54,108.0,5.22,-0.08570066695329585,1988.935290519878,-8.665094373024127,1980.2701961468538,114.05102717643538,0.0,113.80231580596427,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,7.19,111.0,4.68,-0.015966167436978,1741.3830598052848,-1.4683805816631268,1739.9146792236218,111.89523761090102,0.0,111.8480511391139,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,7.87,114.0,4.61,0.029956967203178215,1601.502986022872,2.5170390606668938,1604.020025083539,112.26677380240336,4.450741220004647,112.35496249568797,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,8.51,116.0,4.47,0.054865468034494755,1489.8488014101058,4.263206524202754,1494.1120079343086,112.59934857715652,6.023278801530395,112.76033516942456,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,9.16,117.0,5.22,0.08311536022788649,1347.1501528384279,6.000019494202799,1353.1501723326307,111.08508180669446,7.413513240488456,111.33218572617218,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,9.84,118.0,5.22,0.10690772148771281,1181.951758130081,7.1842397784437955,1189.1359979085248,107.84435682964593,8.40790814768376,108.1716146658627,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,10.48,120.0,4.5,0.11518762319995357,1044.98106870229,7.267940747416386,1052.2490094497064,104.6489445718398,8.727429119329685,105.01223556820854,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,11.13,121.0,3.62,0.11667948962587996,936.0958939802337,6.9321220430128205,943.0280160232464,102.07226508704507,8.783764474229299,102.44950862907413,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,11.78,122.0,3.17,0.11718015614752389,838.3083955857387,6.577723680759745,844.8861192664984,99.37440767119068,8.802589673462565,99.76351279380329,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,12.43,122.0,2.74,0.11730784476278934,754.8500160901046,6.240548614757674,761.0905647048623,96.86478049322159,8.807384360946097,97.2643599643849,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,13.08,122.0,3.18,0.11735424173815032,688.4951987767585,5.93277518067584,694.4279739574343,94.89740354719933,8.809125913689734,95.30539281364534,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,13.73,123.0,3.56,0.11737996100355812,635.4380844865259,5.653146851628543,641.0912313381544,93.40537939540742,8.810091161438677,93.81994780574577,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,14.38,124.0,4.31,0.11739179382267573,586.0215924895688,5.3981593007910025,591.4197517903598,91.79864105747971,8.81053521333265,92.22047511667554,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,15.03,124.0,4.76,0.11739578517889535,540.5606520292748,5.16488157263577,545.7255336019106,90.13671061226941,8.810684992480189,90.56630041045464,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,15.68,123.0,5.23,0.11739620962175742,506.9610331632653,4.950794049764471,511.91182721302977,89.15800020188878,8.810700919921576,89.59228454895157,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,16.33,123.0,5.66,0.11739714187871779,479.6869136558482,4.753770187193291,484.4406838430415,88.50586025795128,8.810735903252715,88.94333233670115,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,16.98,123.0,5.62,0.11739791160259462,454.1522379269729,4.571824271975135,458.724062198948,87.81517522615324,8.81076478735744,88.25607387674877,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,17.72,121.0,5.67,0.1173972241002031,427.1636681715575,4.380875932616741,431.54454410417424,87.00195515044474,8.810738988641567,87.44695147074006,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,18.28,122.0,6.32,0.11739836203779311,410.25245623632384,4.24671083091944,414.49916706724326,86.59916223613251,8.81078169002089,87.04622205466018,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,19.02,122.0,6.35,0.11739887578227096,387.75136172450055,4.081504400822797,391.83286612532333,85.8780000931554,8.810800968337078,86.32879654960823,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,19.67,121.0,5.86,0.1173989065553642,368.38560244026434,3.946631116035169,372.3322335562995,85.12429030541165,8.810802123099336,85.57905721642656,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,20.32,120.0,5.94,0.11739902715214297,349.0451624015748,3.820389458525811,352.86555186010065,84.21756170775784,8.810806648499584,84.67719890145898,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
NGC4559,20.97,119.0,6.13,0.1173992299129563,329.59525512637106,3.7019765318640903,333.29723165823515,83.1361082803375,8.810814257104163,83.6016922548413,,1156.355112173561,661.2517640085695,True,4.436562723264857,0.5718414326595894,formula
