galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC4010,SPARC,0.87,39.3,6.6,0,32.75,0,32.75
NGC4010,SPARC,1.74,54.6,5.6,11.53,62.91,0,63.95786895
NGC4010,SPARC,2.61,65.5,6.7,13.36,83.12,0,84.18683983
NGC4010,SPARC,3.5,83.9,5.2,15.73,93.77,0,95.08020719
NGC4010,SPARC,4.37,94.3,6.3,19.72,97.55,0,99.52326813
NGC4010,SPARC,5.24,104,5.7,22.31,98.14,0,100.6439054
NGC4010,SPARC,6.11,115,5.1,25.86,98.57,0,101.9057628
NGC4010,SPARC,6.98,127,5.1,29.63,99.07,0,103.4060047
NGC4010,SPARC,7.85,129,5.1,33.19,99.28,0,104.6809176
NGC4010,SPARC,8.72,127,5.1,36.53,96.65,0,103.323102
NGC4010,SPARC,9.6,124,5.1,35.56,93.39,0,99.9310047
NGC4010,SPARC,10.47,122,3.9,33.73,90.22,0,96.3190599
