galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
UGC11557,SPARC,0.33,4,7.9,1.71,21.94,0,22.00653766
UGC11557,SPARC,0.99,17,8.6,2.41,47.32,0,47.38133071
UGC11557,SPARC,1.76,33.3,7.9,-7.34,59.39,0,59.39
UGC11557,SPARC,2.42,44.9,10.5,-10.59,70.77,0,70.77
UGC11557,SPARC,3.19,53,7.9,0.97,81.19,0,81.19579423
UGC11557,SPARC,3.85,60.8,7.9,9.74,83.68,0,84.2449405
UGC11557,SPARC,4.62,69,7.9,11.43,87.03,0,87.77736496
UGC11557,SPARC,5.28,76.6,7.9,16.36,90.49,0,91.95699919
UGC11557,SPARC,5.94,85,7.9,17.72,93.96,0,95.6163166
UGC11557,SPARC,7.04,78.1,6.7,24.54,93.48,0,96.64741073
UGC11557,SPARC,8.8,81.6,6.7,35.45,87.18,0,94.11192751
UGC11557,SPARC,10.56,84.5,6.7,33.35,79.1,0,85.84306903
