galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
ESO079-G014,SPARC,0.41,33.2,11.6,2.21,28.95,0,29.03423152
ESO079-G014,SPARC,0.98,50.4,11.8,4.41,47.6,0,47.80385026
ESO079-G014,SPARC,1.78,53.9,9.75,6.75,62.09,0,62.45582919
ESO079-G014,SPARC,2.69,67.6,5.1,8.55,75.48,0,75.9627073
ESO079-G014,SPARC,3.36,81.7,5.06,9.18,82.21,0,82.72095563
ESO079-G014,SPARC,4.39,102,5.35,9.29,86.87,0,87.36533065
ESO079-G014,SPARC,5.65,116,6.44,9.5,92.23,0,92.71797506
ESO079-G014,SPARC,6.34,132,9.1,10.22,96.19,0,96.7314039
ESO079-G014,SPARC,6.89,137,5.25,11.87,100.53,0,101.2283448
ESO079-G014,SPARC,8.34,154,4.2,17.23,113.81,0,115.106859
ESO079-G014,SPARC,10.04,163,3.28,24.23,128.72,0,130.9806524
ESO079-G014,SPARC,11.65,170,2.41,30.75,133.41,0,136.907964
ESO079-G014,SPARC,13.36,175,2.18,36.2,132.99,0,137.8288072
ESO079-G014,SPARC,15.06,177,2.23,39.42,128.51,0,134.4200748
ESO079-G014,SPARC,16.67,178,2.03,40.49,124.23,0,130.6619034
