galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
F571-8,SPARC,0.22,12.4,7,0.92,38.29,0,38.3010509
F571-8,SPARC,0.78,37.5,4,2.67,85.69,0,85.73158694
F571-8,SPARC,1.33,56.5,4,3.9,104,0,104.0730993
F571-8,SPARC,2.33,69.1,4,5.34,114.45,0,114.5745089
F571-8,SPARC,3.44,85.5,7.5,7.09,107.32,0,107.5539423
F571-8,SPARC,3.78,87.1,8.4,7.29,103.7,0,103.9559238
F571-8,SPARC,4.77,105,4,8.42,92.03,0,92.41437821
F571-8,SPARC,5.44,112,6.7,8.94,86.43,0,86.89113016
F571-8,SPARC,6.11,116,4,9.45,81.42,0,81.96657184
F571-8,SPARC,7.22,124,4,10.47,76.23,0,76.94565485
F571-8,SPARC,9.33,135,4,11.28,68.45,0,69.37320016
F571-8,SPARC,11.1,140,4,11.8,64.24,0,65.3147579
F571-8,SPARC,15.55,144,5,11.28,55.43,0,56.56609674
