galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC5985,SPARC,3.54,223,8,-9.23,117.85,111.1,161.9624416
NGC5985,SPARC,4.23,230,6.13,-10.88,124.82,101.71,161.0122868
NGC5985,SPARC,4.97,248,5.1,-12.52,131.42,93.86,161.4958699
NGC5985,SPARC,5.74,258,6.6,-13.93,141.81,87.33,166.5431025
NGC5985,SPARC,6.47,263,7,-14.91,151.83,82.27,172.6867158
NGC5985,SPARC,7.22,272,6.25,-15.46,163.57,77.87,181.1598239
NGC5985,SPARC,8.02,287,4.01,-16,173.43,73.88,188.5105284
NGC5985,SPARC,8.79,289,7.25,-16.33,181.85,70.57,195.0629319
NGC5985,SPARC,9.5,292,6.93,-16.22,190.1,67.89,201.8590154
NGC5985,SPARC,10.27,302,10.4,-15.46,200.43,65.29,210.7960365
NGC5985,SPARC,11.08,302,10.3,-13.5,209.52,62.86,218.7464514
NGC5985,SPARC,11.82,304,10.4,-9.2,214.14,60.86,222.6204824
NGC5985,SPARC,12.56,303,10.4,5.72,217.36,59.04,225.3082546
NGC5985,SPARC,13.39,305,10.1,13.39,220.24,57.18,227.9353024
NGC5985,SPARC,14.1,300,8.78,17.64,222.33,55.72,229.883703
NGC5985,SPARC,14.93,295,9.72,21.66,222.27,54.15,229.7941057
NGC5985,SPARC,15.64,294,5.32,24.38,221.26,52.91,228.8008743
NGC5985,SPARC,16.35,290,5.32,26.24,221.1,51.75,228.5865484
NGC5985,SPARC,17.18,291,4.03,27.98,220.98,50.48,228.3928002
NGC5985,SPARC,17.89,286,3.25,29.72,218.99,49.47,226.4667291
NGC5985,SPARC,18.72,287,3.61,31.57,215.15,48.36,222.766418
NGC5985,SPARC,19.44,294,3.35,33.2,212.39,47.46,220.1458691
NGC5985,SPARC,20.26,290,3.75,35.16,210.49,46.49,218.4115056
NGC5985,SPARC,20.98,288,3.04,37.01,208.75,45.68,216.8708487
NGC5985,SPARC,21.69,290,6.4,38.65,206.74,44.93,215.0673267
NGC5985,SPARC,22.52,294,4.19,40.5,204.38,44.09,212.9679847
NGC5985,SPARC,23.23,297,4.12,41.91,202.43,43.41,211.2315817
NGC5985,SPARC,24.06,293,5.15,43.22,200.72,42.66,209.7054181
NGC5985,SPARC,24.77,291,6.21,44.2,199.42,42.04,208.5409744
NGC5985,SPARC,25.95,297,4,45.18,197.86,41.07,207.0665519
NGC5985,SPARC,28.92,292,4,43.33,193.43,38.91,202.0065393
NGC5985,SPARC,31.76,288,4,45.72,184.74,37.13,193.9015804
NGC5985,SPARC,34.72,285,4,47.57,180.34,35.51,189.8588439
