galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
F579-V1,SPARC,0.42,35.7,9.1,-1.7,15.39,0,15.39
F579-V1,SPARC,1.47,83.3,9.3,-4.3,40.7,0,40.7
F579-V1,SPARC,2.11,94.2,10.4,-3.8,48.7,0,48.7
F579-V1,SPARC,2.84,97.6,9.1,-0.8,53.6,0,53.6
F579-V1,SPARC,3.9,101,9.1,5.9,57.61,0,57.91132963
F579-V1,SPARC,4.74,105,16.7,10.47,63.1,0,63.96273055
F579-V1,SPARC,5.69,106,9.1,13.24,67.96,0,69.23770071
F579-V1,SPARC,6.32,108,11.5,14.88,69.85,0,71.41734313
F579-V1,SPARC,7.37,110,23,17.96,72.36,0,74.55555781
F579-V1,SPARC,8.21,112,19.7,20.83,72.55,0,75.4810665
F579-V1,SPARC,9.16,113,9.1,23.19,73.73,0,77.29093737
F579-V1,SPARC,10.85,114,9.1,26.37,73.37,0,77.96495238
F579-V1,SPARC,12.21,114,9.1,28.32,69.96,0,75.474658
F579-V1,SPARC,15.16,114,11.2,33.04,63.57,0,71.64346795
