galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
UGCA444,SPARC,0.12,6.48,2.6,-0.66,2.2,0,2.2
UGCA444,SPARC,0.19,8.6,2.65,0.47,2.24,0,2.288776966
UGCA444,SPARC,0.26,10.2,3.03,1.82,2.72,0,3.272735859
UGCA444,SPARC,0.33,11.7,3.55,3.08,2.9,0,4.230413691
UGCA444,SPARC,0.4,12.7,3.75,4.2,2.92,0,5.115310352
UGCA444,SPARC,0.47,14.1,3.43,5.32,3.03,0,6.122360656
UGCA444,SPARC,0.55,16,3.33,6.65,3.44,0,7.487062174
UGCA444,SPARC,0.62,18.1,2.66,7.97,3.69,0,8.782767218
UGCA444,SPARC,0.69,21.2,3.78,9.25,3.81,0,10.00392923
UGCA444,SPARC,0.76,21.6,3.33,10.36,3.95,0,11.08747492
UGCA444,SPARC,0.83,23.3,3.09,11.58,4.15,0,12.30117474
UGCA444,SPARC,0.9,24.5,3.26,12.39,4.32,0,13.12152811
UGCA444,SPARC,0.97,24.4,3.29,13.1,4.46,0,13.83841031
UGCA444,SPARC,1.04,25.3,2.78,13.71,4.57,0,14.45160891
UGCA444,SPARC,1.11,25.4,2.78,14.22,4.69,0,14.97345985
UGCA444,SPARC,1.19,25.9,2.73,14.63,4.81,0,15.40042207
UGCA444,SPARC,1.26,26.7,2.67,14.83,4.88,0,15.61228042
UGCA444,SPARC,1.33,27.1,3.16,15.03,4.95,0,15.82413979
UGCA444,SPARC,1.4,28.6,3.34,15.13,5.03,0,15.94420898
UGCA444,SPARC,1.48,28.9,3.21,15.24,5.09,0,16.06753559
UGCA444,SPARC,1.55,30.4,4.14,15.34,5.13,0,16.17505796
UGCA444,SPARC,1.62,30.8,4.35,15.54,5.17,0,16.37743875
UGCA444,SPARC,1.69,30.5,4.56,15.54,5.21,0,16.39010982
UGCA444,SPARC,1.75,33,4.04,15.54,5.22,0,16.39329131
UGCA444,SPARC,1.83,32.1,4.35,15.64,5.25,0,16.49763923
UGCA444,SPARC,1.9,32.9,4.36,15.64,5.28,0,16.50721055
UGCA444,SPARC,1.97,34.2,4.9,15.64,5.3,0,16.51361862
UGCA444,SPARC,2.04,32.6,3.98,15.64,5.31,0,16.51683081
UGCA444,SPARC,2.11,33.7,4.73,15.74,5.33,0,16.61795715
UGCA444,SPARC,2.19,33.8,4.67,15.64,5.35,0,16.52973382
UGCA444,SPARC,2.26,34.9,3.74,15.64,5.36,0,16.53297311
UGCA444,SPARC,2.33,36.1,5.47,15.64,5.39,0,16.54272348
UGCA444,SPARC,2.4,37.2,5.39,15.24,5.42,0,16.17510433
UGCA444,SPARC,2.48,37.6,7.1,14.73,5.5,0,15.72332344
UGCA444,SPARC,2.55,35.6,4.73,14.22,5.46,0,15.23220273
UGCA444,SPARC,2.62,38.3,7.78,13.81,5.25,0,14.77425463
