galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC6503,SPARC,0.76,77,10,4.04,70.72,0,70.83530193
NGC6503,SPARC,1.52,100,5,7.62,123.17,0,123.4054833
NGC6503,SPARC,2.28,110,2,9.72,142.64,0,142.9707942
NGC6503,SPARC,3.04,118,2,12.42,134.42,0,134.9925657
NGC6503,SPARC,3.79,121,2,13.35,121.97,0,122.6984246
NGC6503,SPARC,4.55,121,2,14.78,111.53,0,112.5050634
NGC6503,SPARC,5.31,117,2,17.55,103.23,0,104.7112
NGC6503,SPARC,6.07,116,2,19.2,96.65,0,98.53863456
NGC6503,SPARC,6.83,116,2,20.33,91.96,0,94.18041463
NGC6503,SPARC,7.59,116,2,21.66,87.62,0,90.25752046
NGC6503,SPARC,8.35,115,1,22.79,83.25,0,86.31307317
NGC6503,SPARC,9.11,115,1,23.92,79.58,0,83.09718888
NGC6503,SPARC,9.86,116,1,24.84,76.81,0,80.72670995
NGC6503,SPARC,10.64,117,1,25.46,74.18,0,78.42757168
NGC6503,SPARC,11.38,117,1,26.38,71.5,0,76.21124851
NGC6503,SPARC,12.12,118,1,27.2,69.18,0,74.3351357
NGC6503,SPARC,12.86,117,1,28.13,67.04,0,72.70253434
NGC6503,SPARC,13.7,116,1,28.74,64.84,0,70.92399594
NGC6503,SPARC,14.44,115,1,28.64,63.05,0,69.24992491
NGC6503,SPARC,15.18,117,1,28.33,61.39,0,67.61154487
NGC6503,SPARC,15.91,116,1,28.13,59.88,0,66.15822927
NGC6503,SPARC,16.65,115,2,28.33,58.45,0,64.95376356
NGC6503,SPARC,17.49,115,2,28.23,56.93,0,63.54492741
NGC6503,SPARC,18.23,115,2,27.82,55.71,0,62.27002891
NGC6503,SPARC,18.97,114,2,27.2,54.55,0,60.95524998
NGC6503,SPARC,19.71,115,2,26.9,53.46,0,59.84631651
NGC6503,SPARC,20.45,114,2,26.69,52.44,0,58.84139444
NGC6503,SPARC,21.29,116,2,26.49,51.35,0,57.78012288
NGC6503,SPARC,22.03,115,3,26.18,50.44,0,56.82944659
NGC6503,SPARC,22.76,118,4,25.87,49.61,0,55.95005809
NGC6503,SPARC,23.5,115,10,25.46,48.79,0,55.03340531
