galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
DDO064,SPARC,0.1,6.29,4.62,-1.13,1.96,0,1.96
DDO064,SPARC,0.3,13.9,4.62,-2.45,6.31,0,6.31
DDO064,SPARC,0.49,15.6,4.62,-0.64,9.67,0,9.67
DDO064,SPARC,0.69,18.4,4.62,2.49,13.92,0,14.14095117
DDO064,SPARC,0.89,22.5,4.62,1.87,15.16,0,15.27489771
DDO064,SPARC,1.09,26.5,4.62,4.97,16.41,0,17.14610743
DDO064,SPARC,1.29,35.3,4.62,9.29,17.34,0,19.67179961
DDO064,SPARC,1.48,40.5,4.62,13.62,18.34,0,22.8442553
DDO064,SPARC,1.68,44.2,4.89,16.26,19.12,0,25.09904381
DDO064,SPARC,1.88,46.3,4.62,18.16,19.54,0,26.67577928
DDO064,SPARC,2.08,46.4,4.62,19.64,19.1,0,27.39597781
DDO064,SPARC,2.27,46.3,4.62,20.17,18.77,0,27.55252801
DDO064,SPARC,2.37,46.4,6.73,20.59,18.61,0,27.75392225
DDO064,SPARC,2.98,46.9,8.65,22.17,17.21,0,28.06586895
