galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
F583-4,SPARC,0.22,10.7,4.9,0.47,5.59,0,5.609723701
F583-4,SPARC,0.76,24.7,4.9,1.87,17.63,0,17.72889731
F583-4,SPARC,1.31,38.9,4.9,3.27,26.64,0,26.83994225
F583-4,SPARC,1.94,42.7,7.89,4.87,32.27,0,32.63540715
F583-4,SPARC,3.92,55,4.9,8.5,38.26,0,39.19282587
F583-4,SPARC,4.35,57.2,4.9,9.17,38.43,0,39.50890786
F583-4,SPARC,5,59.8,4.9,10.3,39.09,0,40.42422665
F583-4,SPARC,5.05,62.5,3.43,10.4,39.06,0,40.42083126
F583-4,SPARC,5.83,61.8,3.98,12.1,38.38,0,40.24219676
F583-4,SPARC,6.09,64.4,4.9,12.72,38.13,0,40.19571246
F583-4,SPARC,6.74,67.2,4.9,14.18,39.23,0,41.71408995
F583-4,SPARC,7.29,69.9,4.9,15.33,36.96,0,40.0131291
