galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
DDO168,SPARC,0.41,15,4.1,10.41,8.28,0,13.30137211
DDO168,SPARC,0.82,23.4,1.3,18.08,12.66,0,22.07174665
DDO168,SPARC,1.24,29.2,1.5,20.09,15.11,0,25.13802299
DDO168,SPARC,1.64,36.2,1.1,20.2,15.99,0,25.76276577
DDO168,SPARC,2.06,44,1.1,22,16.89,0,27.7357549
DDO168,SPARC,2.47,52.1,1.2,22.63,17.03,0,28.32203736
DDO168,SPARC,2.89,52.9,1.7,22.95,16.99,0,28.5545548
DDO168,SPARC,3.3,54.8,2.2,22.74,17.19,0,28.50620459
DDO168,SPARC,3.71,55,2.5,22.74,17.16,0,28.48812384
DDO168,SPARC,4.12,52,2.7,22.74,16.37,0,28.01935938
