galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
UGC06917,SPARC,1.74,59.2,3.5,0,56.25,0,56.25
UGC06917,SPARC,2.61,71.2,4,0,59.09,0,59.09
UGC06917,SPARC,3.5,84.5,4.4,6.4,61.72,0,62.05093392
UGC06917,SPARC,4.37,93.5,4.5,14.66,63.73,0,65.39440725
UGC06917,SPARC,5.24,97.5,3.5,17.89,64.38,0,66.81943205
UGC06917,SPARC,6.11,100,3.5,20.91,64.3,0,67.61448144
UGC06917,SPARC,6.98,101,4,24.79,64.23,0,68.84792662
UGC06917,SPARC,7.85,103,3.5,27.59,62.94,0,68.72155193
UGC06917,SPARC,8.72,105,4,29.1,61.95,0,68.44422912
UGC06917,SPARC,9.6,110,4.9,32.76,60.68,0,68.95853827
UGC06917,SPARC,10.47,111,6,36.86,60.19,0,70.57971167
