galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC3877,SPARC,0.87,37.8,9,0,101.87,0,101.87
NGC3877,SPARC,1.74,80.1,9,0,114.98,0,114.98
NGC3877,SPARC,2.61,121,8.5,0,122,0,122
NGC3877,SPARC,3.5,142,7.3,8.66,132.74,0,133.0221906
NGC3877,SPARC,4.37,153,6.2,14.44,143.94,0,144.6624941
NGC3877,SPARC,5.24,160,5.3,18.43,159.88,0,160.9387439
NGC3877,SPARC,6.11,162,5.3,22.09,181.37,0,182.7102761
NGC3877,SPARC,6.98,167,4.5,25.11,193.57,0,195.1918467
NGC3877,SPARC,7.85,169,5.3,26.73,197.84,0,199.6375679
NGC3877,SPARC,8.72,171,4.9,28.23,200.86,0,202.8341009
NGC3877,SPARC,9.6,171,4.9,29.63,201.7,0,203.864727
NGC3877,SPARC,10.47,170,5.7,30.28,195.05,0,197.3863747
NGC3877,SPARC,11.35,169,7,30.28,189.75,0,192.1508285
