galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
F568-V1,SPARC,0.39,17.4,30.4,-1.11,12.25,0,12.25
F568-V1,SPARC,1.18,46.3,37.1,-2.76,28.99,0,28.99
F568-V1,SPARC,1.95,69.1,13.1,-2.63,34.78,0,34.78
F568-V1,SPARC,2.74,85.2,6.2,-0.03,37.08,0,37.08
F568-V1,SPARC,3.53,93.2,6.2,3.84,41.2,0,41.3785645
F568-V1,SPARC,4.3,100,12.4,7.34,44.37,0,44.97301969
F568-V1,SPARC,5.09,108,6.2,9.92,45.35,0,46.42228883
F568-V1,SPARC,5.87,112,6.2,12.15,44.94,0,46.5534757
F568-V1,SPARC,6.4,113,24.9,13.65,45.12,0,47.13954709
F568-V1,SPARC,7.44,113,15.5,17.06,45.76,0,48.83667884
F568-V1,SPARC,8.21,112,13.1,19.87,46.01,0,50.11723257
F568-V1,SPARC,9,111,26.4,22.99,44.52,0,50.1055935
F568-V1,SPARC,9.72,111,19.4,26.1,43.69,0,50.89229902
F568-V1,SPARC,11.79,113,12.5,34.23,40.77,0,53.23425401
F568-V1,SPARC,17.63,118,14.6,36.03,33.12,0,48.93971087
