model,n,mean_chi2,median_chi2,min_chi2,max_chi2
beta_abar,175,2815.3257043489925,575.959597346149,1.0333433870838846,84233.63258375757
beta_formula,175,1952.5605452575162,288.14274979748177,1.0410256576942905,85305.2964326131
delta_chi2,175,862.7651590914764,55.86504185126455,-3132.2747662053553,37095.50228742247
