galaxy,beta,rmse,maf,status
CamB,262.5817073170732,191.83689096401866,35.32432104298122,ok
D512-2,206.5490972222222,32.33035333960258,0.9645154061740511,ok
D564-8,70.43799836601308,19.889659295529512,0.9999999308417379,ok
D631-7,176.89675139275764,74.86270899884995,2.767210645027593,ok
DDO064,294.89539265251096,190.29367978126106,9.897435133270335,ok
DDO154,113.39115958443993,39.69865478431331,0.9999999550212957,ok
DDO161,203.02229299363057,85.65662242286102,2.3631081087783357,ok
DDO168,349.09260200070753,130.89354471829188,3.8621006729813105,ok
DDO170,145.149332915392,53.381244056770406,0.9999999511467809,ok
ESO079-G014,1608.9090643776824,270.3505606860224,3.0128538510467657,ok
ESO116-G012,1185.491162227603,359.94443808369425,5.5118890285288105,ok
ESO444-G084,303.16933701657456,104.40556026332307,2.8013302074859654,ok
ESO563-G021,4465.040597400861,615.4858075202958,5.775843656928945,ok
F561-1,372.01707452824746,39.64426421297894,0.8642911817393385,ok
F563-1,156.14697624190066,77.01129882691266,0.919366715016187,ok
F563-V1,140.38075087800775,34.419268270632486,1.6111050515852512,ok
F563-V2,366.5083344301131,193.4937412766726,5.096136571199842,ok
F565-V2,136.88976127320953,57.133728926837826,0.9114599365374366,ok
F567-2,188.49739130434784,34.67296011109164,0.7630302101279567,ok
F568-1,399.4879274891775,142.90798009491843,2.853355289060499,ok
F568-3,432.68924740271166,119.51788597371134,2.8545347564251364,ok
F568-V1,369.2037649063032,146.62114806763984,2.583239011769725,ok
F571-8,1790.4438784067086,925.8303783785474,22.27441292079512,ok
F571-V1,221.19778920308482,74.0427610625456,1.1077318935034708,ok
F574-1,364.4962482269504,144.99689790779647,3.0342985380341116,ok
F574-2,201.78452023121386,14.286359098244517,0.5599566196563857,ok
F579-V1,780.6208149807635,223.45425744370044,2.453094087524865,ok
F583-1,156.08329519450797,81.62025106623348,2.8005531280279023,ok
F583-4,325.17850306930694,162.4911373314449,5.2385404457206475,ok
IC2574,143.23285763613387,42.717156954378346,1.2256613554866989,ok
IC4202,4577.361699034203,225.57969554505857,0.9999999844473351,ok
KK98-251,177.04964157706092,102.03959766606724,7.696392116173391,ok
NGC0024,2176.6304273504275,873.3707604958838,13.668561868686403,ok
NGC0055,430.4765943012212,72.4209276837104,0.9533738455314227,ok
NGC0100,572.6412977099235,233.6568251422356,7.88167763339026,ok
NGC0247,449.4103549864976,103.93986367444921,1.3061248263103065,ok
NGC0289,465.23016957284534,137.55307392212052,0.7588339057204718,ok
NGC0300,412.2658018867924,82.30499127321049,0.9999999705015702,ok
NGC0801,3441.5983909348447,210.08514336070047,0.9999999807813774,ok
NGC0891,7672.427715856535,219.63960089527066,0.9999999867182727,ok
NGC1003,194.6186893538341,88.8580074836462,0.8950614687218573,ok
NGC1090,1645.2062744877437,548.9496210131872,6.247516983506547,ok
NGC1705,322.24443263991054,69.90562346542372,0.9999999764742297,ok
NGC2366,273.39292671882924,147.1236162498355,8.068649403353927,ok
NGC2403,2903.4940633245387,1336.3802806663793,9.992763736027012,ok
NGC2683,1302.1040439052572,178.9545357898429,0.9999999760832371,ok
NGC2841,5366.0651961550775,301.8852387729723,0.9999999850305487,ok
NGC2903,4686.78359837963,872.3496916129717,1.9800250802864194,ok
NGC2915,156.23544051830063,76.21049791793506,0.9999999707437758,ok
NGC2955,11234.73445360696,253.2879586800528,0.9999999873325575,ok
NGC2976,2782.7392511013213,2077.6212799208715,65.01914451318808,ok
NGC2998,3718.225576,1383.96098621238,6.6009857890273445,ok
NGC3109,113.16475728155339,62.31498394824155,2.2552949437433925,ok
NGC3198,2740.306332179931,311.4765429373752,1.7472895318051864,ok
NGC3521,20126.36903797468,208.03956970507562,0.9999999903362771,ok
NGC3726,2181.7475889344114,153.0479189116874,0.9999999755211451,ok
NGC3741,62.766108949416356,37.897428748162746,0.9999999558562345,ok
NGC3769,779.5212131601876,116.31324079009117,0.9999999691256356,ok
NGC3877,5055.686628571429,476.85322324329394,1.957482982028355,ok
NGC3893,3104.9381882295975,179.12341808108613,0.9999999829915858,ok
NGC3917,1401.0041762452108,197.53264682008646,1.5937155683096897,ok
NGC3949,8354.517986270024,153.81528603691984,0.9999999867969389,ok
NGC3953,6368.252248779825,214.0855522778417,0.9999999859658398,ok
NGC3972,1960.3350696361863,129.85668506976774,1.1168802764395802,ok
NGC3992,1655.6918095930232,254.0059003737734,0.9999999796486563,ok
NGC4010,1615.7787131809846,540.329366634292,5.946766087859224,ok
NGC4013,1138.8862424505674,178.73047266471477,0.9999999763728444,ok
NGC4051,4485.998497706421,164.54188612800536,1.0912949136693009,ok
NGC4068,458.40876758835077,253.70492504064666,23.252289591958903,ok
NGC4085,6279.111731843575,113.34072967439356,0.9999999828447859,ok
NGC4088,4732.361785111256,350.33856544110427,1.657121427253515,ok
NGC4100,1965.265297959518,303.97270529486894,1.337215870035455,ok
NGC4138,1860.9677558685448,166.56401297257744,0.9999999803324781,ok
NGC4157,2234.475216836735,378.06785605999113,1.7766249531665341,ok
NGC4183,670.1451766953198,103.28768495105103,0.9999999703696546,ok
NGC4214,735.9389734293841,75.62408275104514,0.9999999790970459,ok
NGC4217,5269.303887614678,451.59761985099493,2.9516037915976785,ok
NGC4389,6119.834118101795,78.08145144035075,0.9999999752315879,ok
NGC4559,990.5384813412618,112.09246000256607,0.9999999725520033,ok
NGC5005,21660.17275912335,252.76679852874187,0.9999999915445428,ok
NGC5033,1316.8768980570999,211.86315917287237,0.9999999794077571,ok
NGC5055,3173.368248375824,188.0236456646962,0.9999999779325334,ok
NGC5371,4393.762316831684,221.70202430251985,0.9999999804873293,ok
NGC5585,1093.1413466299566,643.2796387240152,13.221173099562137,ok
NGC5907,1250.7879660404624,219.3798261761633,0.9871629135168788,ok
NGC5985,3347.1764769820966,277.84066536735014,0.9562409379229037,ok
NGC6015,1362.6143442616171,396.58579342270065,2.7734698529210036,ok
NGC6195,6786.696482982172,243.61471362261273,0.9999999856331485,ok
NGC6503,455.9168646864688,300.2462644140683,1.7459691179748302,ok
NGC6674,796.4537696614237,216.09635260295437,0.8264283960426835,ok
NGC6789,950.1695608947805,916.8184105036798,36.65925243994801,ok
NGC6946,3224.3933654391203,163.94411063985578,0.9999999816203179,ok
NGC7331,3822.9825423705015,241.99672462000365,0.9999999832263798,ok
NGC7793,4123.389404761905,302.25171861555253,2.07945679631079,ok
NGC7814,3341.8771299975288,225.01913205529146,0.999999986370756,ok
PGC51017,275.5621774891775,70.99994814165372,2.204834514689139,ok
