galaxy,source_file,beta_mode,beta_raw,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_numerator,beta_denominator,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,398.63446615665885,332.3845060855748,332.3845060855748,False,False,45.01271730786435,0.1129172741680968,262.5817073170732,232.41966823803128,0.037336850721720084,0.0,0.11201055216516026,1,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.456043378666573,3.8933433677826903,0.5609650303924937,0.5335457208397473,79.42529037023283,9.928161296279104,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,structural,1048.846996936973,688.0286206495097,688.0286206495097,False,False,1757.0403787548203,1.6752113357677887,206.5490972222222,189.03041345193063,0.6444558371078537,0.6433834759263046,0.6471497770545063,4,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.502174031947634,4.256966650553899,0.12783779050925753,0.12470925939268071,5.224415778134206,1.7414719260447356,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,structural,421.47154527124695,348.1119124396191,348.1119124396191,False,False,1559.651774705166,3.700491272077262,70.43799836601308,65.81715615091065,0.7437098129955872,0.8073553417774658,0.7853333975745865,6,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,2.6014336931197706,2.288286727316901,0.1520590638123663,0.12568716176521477,14.189574440097765,2.837914888019553,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,structural,2365.8964939841444,1083.8078718742688,1083.8078718742688,False,True,24245.22082541485,10.247794392977081,176.89675139275764,177.4202934561785,0.6724602818035884,0.7795720157257535,0.8003044105595102,13,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,10.999634938758597,8.890723653512993,0.20115120370855552,0.21170482292525328,263.8438601604073,17.589590677360487,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,1069.3049935107915,696.773371021482,696.773371021482,False,False,8198.10253249392,7.666757924301401,294.89539265251096,254.48699639190355,0.7228155557448395,0.7067216638198567,0.7400172741372036,14,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,10.455513975496093,9.11808194057943,0.49946133094087886,0.2363939222631159,63.99026955009911,4.922328426930701,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,structural,1521.0229034026474,863.9664921990484,863.9664921990484,False,False,15447.569211931108,10.156039844879183,113.39115958443993,117.12170534208285,0.8718543223316527,0.9798661099465111,0.919965572040524,12,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,8.341673517644944,7.3409447740904215,0.1836425059096882,0.21147449021832077,9043.42398461982,822.1294531472563,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,structural,3516.3560171920753,1274.883639211511,1274.883639211511,False,True,38007.430295135266,10.808754889809318,203.02229299363057,210.89414656458226,0.5021797997527665,0.6140659995452603,0.5904824405301667,31,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,12.268278319284448,9.653706089871509,0.16736930784989557,0.20049233624436583,3337.5028413228847,111.25009471076282,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,structural,2312.1543056167934,1072.3894099082208,1072.3894099082208,False,True,9444.069376492049,4.084532487105239,349.09260200070753,336.41905162291397,0.5791672291175376,0.7172389175291844,0.6391034726164644,10,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,9.188898346514765,7.678206584226731,0.1765195417980003,0.2208162393496772,259.91757789294917,28.87973087699435,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,structural,2738.759828576947,1155.89729281528,1155.89729281528,False,True,12800.813031487418,4.673945081974819,145.149332915392,133.28663783148613,0.7553064515659542,0.7677610835554414,0.7643579889336719,8,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,12.881807049915933,11.851231357407086,0.21479197009651352,0.23562008001632037,1099.5703208172856,157.08147440246938,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,structural,22562.959906595264,1837.1531763594182,1837.1531763594182,False,True,39421.547222430396,1.7471797754206566,1608.9090643776824,1661.706405566926,0.2923605939739489,0.35991824475278344,0.3412896888196943,12,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.33451271774085,21.937646526598915,0.1597617869948494,0.18069425991915028,1418.5618379075272,101.32584556482337,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\ESO079-G014_rotation_curve.png,ok,
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,structural,10015.70737837934,1667.1024123642135,1667.1024123642135,False,True,48682.57339962514,4.860622576166213,1185.491162227603,908.1374332486461,0.5132683519834494,0.5542350267038193,0.5692464361572067,15,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,27.370408803982375,22.819819461483288,0.23930309564695731,0.27400279372919717,1782.9133587138906,127.35095419384933,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\ESO116-G012_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\ESO116-G012_rotation_curve.png,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,structural,2213.0011831628267,1050.5580639317361,1050.5580639317361,False,True,17429.98168227819,7.876173684357104,303.16933701657456,228.23036697311002,1.0404722179288277,0.9726678811938095,1.060739208850945,7,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,15.193564367459453,13.639693251808897,0.3043984084053716,0.2980490361521596,456.87381179281414,76.14563529880236,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\tables\ESO444-G084_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_111608_structural\figures\ESO444-G084_rotation_curve.png,ok,
