galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs_mean,eta_obs_std,eta_transition_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,10,2,2.2841906530715903,0.10762250956485397,0.15180946286566027,0.37830426088002156,0.00898837447879088,0.33066982021725205,0.12374873871656884,-0.9333128583995915,0.6216957391199786,0.008988374478790898,0.5,1.9769999999999999,75300744.96280545
ESO563-G021,30,5,2.0898387264367373,0.017069328710298003,9.589525437365252e-10,0.39811423190049494,0.01890942016108129,0.3147385952704379,0.12985608107240942,0.5357007224208848,0.6018857680995049,0.018909420161081283,0.46117278041041415,8.5,4972515764.711152
IC4202,32,5,2.147029425853597,0.036824752083930566,0.0003804181291224536,0.377221059982943,0.019888961359110596,0.2156063382860122,0.08128782148377418,-0.004097625084036786,0.6227789400170569,0.019888961359110613,0.5275097706397651,3.9700000000000006,870273012.8993666
NGC0100,21,5,2.405069179446495,0.1359863979797785,0.2795102686227423,0.3709664572701725,0.04249811290393136,0.29156956392020095,0.11138895247191975,0.4910304382711425,0.6290335427298275,0.04249811290393135,0.5407548370809208,2.0,56584745.922046766
NGC2403,73,5,2.1830250312414097,0.074618590735259,0.07111330903866815,0.38765652172760784,0.023913698856136797,0.21066590603576663,0.08322729970061672,0.33370293062566225,0.6123434782723921,0.023913698856136784,0.49953029971681295,3.38,1357749636.4929445
NGC2683,11,2,2.2029389564334108,0.1849904057081675,0.22634290675663676,0.3791254961157081,0.008684495775825115,0.16949354890544696,0.0635225083259481,-0.7879595616666825,0.6208745038842919,0.008684495775825155,0.5,14.424999999999999,24312998.44047567
NGC2841,50,5,2.1636952457552936,0.07485608749846331,0.07305374978016702,0.393147012964359,0.026019282328690975,0.25255408391929535,0.10164664404354046,0.5250908520489902,0.6068529870356411,0.02601928232869098,0.49503138515412215,12.240000000000002,607651636.969469
NGC2998,13,3,2.226069473156314,0.22787037020636713,0.39393741734120113,0.41411717113241536,0.015592445106348865,0.17477439758625726,0.0737825151293137,0.681741816884423,0.5858828288675846,0.015592445106348872,0.49980434867163204,13.850000000000001,222861850.65588945
NGC3198,43,5,2.1754597816309404,0.0728659060543857,0.0492310045461115,0.3914607998686243,0.017046860264699135,0.2543189814811753,0.10202008107615052,0.5031849877564469,0.6085392001313757,0.017046860264699138,0.4947833592448356,5.259999999999999,284176339.1599391
NGC3769,12,3,2.1412520781800217,0.12213373364093894,0.08457091851185333,0.3827241746477692,0.0063121966824811184,0.30586435108052396,0.1178217057510143,0.8051998299272614,0.6172758253522307,0.006312196682481116,0.49978323530191976,5.799999999999999,123821242.45870626
NGC3917,17,4,2.225375092504513,0.05441203105514447,0.00997494124959658,0.3877925234109645,0.05511926318597706,0.21411745063476587,0.0824093674497964,-0.12915692623564512,0.6122074765890355,0.055119263185977034,0.4389355698548686,2.6250000000000004,168121561.79605794
NGC4010,12,3,2.334579553007335,0.09769311973896277,0.2722955949781994,0.3946263347539059,0.013261016930087844,0.1602889067540161,0.06374150760097712,0.5589364468736926,0.605373665246094,0.013261016930087839,0.4827316940029675,2.620000000000001,91188656.95228384
NGC4013,36,5,2.1252709714603166,0.04196591875538851,0.004618575667509331,0.39476183929918846,0.02139549217801745,0.18814133608173686,0.07429107742371124,0.007975955327822882,0.6052381607008117,0.02139549217801747,0.3980207833731593,4.42,610229883.7962602
NGC4068,6,1,2.295121031684408,0.0,0.0,0.0,0.0,0.23167014543970335,0.0,,0.4095540857120779,5.551115123125783e-17,0.0,2.12,72804900.72936271
NGC4088,12,3,2.12109938500992,0.04497484612552172,0.00022914777947450672,0.37819562105788146,0.005342838562541469,0.2845006411780338,0.10845419220430824,0.8959047207493538,0.6218043789421185,0.005342838562541473,0.49860742152384496,5.24,1338497201.579239
NGC4157,17,4,2.2268638059964565,0.08784681531381872,0.1138675208904642,0.39352417382082433,0.025836198010426772,0.20689145811463103,0.0810115836772819,-0.11968097183280131,0.6064758261791756,0.025836198010426793,0.4517378763932335,5.2299999999999995,119491006.83341289
NGC4183,23,5,2.2514120650391183,0.060720913255322806,0.05244233168955255,0.38725171783134116,0.01629565507382509,0.30366475554203115,0.1168421073268784,-0.6147434063798731,0.612748282168659,0.016295655073825105,0.489511117377875,3.5,41664180.60558628
NGC4389,6,1,2.2294507833895354,0.0,0.0,0.0,0.0,0.9893533787901543,0.0,,0.4095540857120779,5.551115123125783e-17,0.0,4.45,366126910.5563718
NGC5907,19,4,2.16086671598128,0.042164677820171026,0.001221634214041191,0.3825263120525235,0.004086294082262035,0.16779597136578384,0.06386847150680736,-0.7155227066265358,0.6174736879474766,0.0040862940822620365,0.4975355035730279,10.07,56853720.71159631
NGC5985,33,5,2.1409455579805514,0.03513319032728783,0.0009233879370471957,0.3699735734750125,0.038450236398277694,0.27895294167349766,0.10330096231840882,0.058041137436689455,0.6300264265249874,0.03845023639827771,0.4977002998948256,4.4799999999999995,480240442.70134723
UGC01281,25,5,2.7305281114276942,0.15404777325245989,0.2535493520291553,0.3802770628197083,0.02617996089504418,0.5286287579286911,0.19908680115621027,-0.1297161028319985,0.6197229371802916,0.02617996089504414,0.5096886466886872,2.0,9546723.325059151
