r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.58,23.9,3.87,25.52995874066005,834.9767241379312,353.3520683161243,74.13637648793149,2.230055266376497,0.5033701775843313,0.34588414322293703,17781.510524492594,288.7798160341454,0.3458537318298245,1123.7565401720767
1.17,34.7,3.87,40.751306186027776,1043.4544444444446,192.9422382215483,77.36632457494503,2.244646174177776,0.5130974494518508,0.36051902335278035,8188.236409457422,375.92073151058617,0.36026559042616724,1419.3751759550307
1.75,42.8,3.87,34.61525690934033,1060.7191428571427,-18.16055777547582,82.14881110204982,2.2691219970197194,0.5294146646798129,0.38094367826493586,-847.8115420503558,-376.02427948592367,0.35449938093232514,684.6948633712191
2.33,51.3,3.87,37.68770697293049,1022.3881974248926,-73.37851217984522,88.06109010709085,2.302986435872215,0.5519909572481433,0.4073419074332718,-2547.3067945942535,-412.7902330997966,0.4037509765268209,609.597964325096
2.91,57.7,3.87,40.09569881560721,975.6000687285223,-67.59660341565916,94.61234198317794,2.343135249265207,0.5787568328434712,0.4400838774588414,-2043.4967962156477,-423.13784759041744,0.43372060043198185,552.4622211381048
3.5,67.3,3.87,42.58577153752129,943.3001714285714,-37.53998553865246,101.5788779938762,2.387871361040954,0.6085809073606361,0.47725530363612284,-1064.4636164739638,-425.1436178725834,0.45069812425532474,518.156553555988
4.07,75.4,3.87,54.20323745950212,932.0536855036854,-8.044300540973676,108.9031985657059,2.43402764443243,0.6393517629549533,0.516622546206015,-215.0124013883933,-210.1885869554854,0.2255112449256597,721.8650985482
4.65,79.5,3.87,45.5325296066332,934.0492258064517,-52.233710553220035,116.9940315448145,2.483044110657089,0.6720294071047259,0.5516070325125071,-1257.189969352076,-488.197343574424,0.5226676818375582,445.85188223202766
5.23,82.8,3.87,44.09137711399429,871.4625812619502,-133.07651102792454,125.0174019306101,2.531860295426674,0.7045735302844491,0.5813954349821262,-2483.7237820372115,-499.7513889467571,0.5734628195086422,371.71119231519305
5.82,85.6,3.87,42.63828825067498,778.34970790378,-157.81842942062747,131.11025555116632,2.573302631003959,0.7322017540026392,0.6053940626694333,-2564.1173041804605,-465.9745146138061,0.5986698650774211,312.3751932899739
