dataset,shell,shell_center_kpc,n_shell,distance_median_shell_kpc,standard_vt_median_shell_kms,standard_vt_mad_shell_kms,standard_vt_variance_shell,standard_vt_centered_variance_shell,standard_rv_median_shell_kms,standard_rv_mad_shell_kms,standard_rv_variance_shell,standard_rv_centered_variance_shell,standard_speed_median_shell_kms,standard_speed_mad_shell_kms,standard_speed_variance_shell,standard_speed_centered_variance_shell,standard_vt_variance_shell_model,standard_vt_variance_shell_model_source,standard_speed_variance_shell_model,standard_speed_variance_shell_model_source,standard_rv_variance_shell_model,standard_rv_variance_shell_model_source
5d,5-10,7.5,8610,7.411249411763444,138.2143582824848,82.71192882777173,19969.820666005413,19969.820666005417,,,,,,,,,4262.495891729064,log_linear_shell_variance_fit,,not_applicable,,not_applicable
5d,10-20,15.0,7593,13.407333278986368,210.72764814952183,97.46504547097273,30165.229927636065,30165.229927636065,,,,,,,,,42850.694628720536,log_linear_shell_variance_fit,,not_applicable,,not_applicable
5d,20-40,30.0,3458,26.33514087218088,359.07411908142234,147.45579196659722,91847.04710541131,91847.04710541131,,,,,,,,,430776.2580432704,log_linear_shell_variance_fit,,not_applicable,,not_applicable
5d,40-80,60.0,1512,53.13603355087021,645.1360130250531,253.35837446552281,241909.23611924233,241909.23611924233,,,,,,,,,4330575.877511799,log_linear_shell_variance_fit,,not_applicable,,not_applicable
5d,80+,100.0,1344,151.76345715691087,1971.1478897227826,1089.6704150535925,603980010.5888257,603980010.5888257,,,,,,,,,23724756.66872477,log_linear_shell_variance_fit,,not_applicable,,not_applicable
