dataset,rows_read,rows_written,shells_nonempty,median_distance_proxy_kpc,median_vt_total_proxy_kms,median_vt_variance_model,median_speed_total_proxy_kms,median_speed_variance_model
5d,22517,22517,5,12.212382660001252,233.88759708360183,430776.2580432704,,
6d,858,858,3,6.109299448862755,314.3938465830056,341026.2461243763,348.47843572795205,347163.87133936863
