dataset,shell,shell_center_kpc,n_shell,distance_median_shell_kpc,standard_vt_median_shell_kms,standard_vt_mad_shell_kms,standard_vt_variance_shell,standard_vt_centered_variance_shell,standard_rv_median_shell_kms,standard_rv_mad_shell_kms,standard_rv_variance_shell,standard_rv_centered_variance_shell,standard_speed_median_shell_kms,standard_speed_mad_shell_kms,standard_speed_variance_shell,standard_speed_centered_variance_shell,standard_vt_variance_shell_model,standard_vt_variance_shell_model_source,standard_speed_variance_shell_model,standard_speed_variance_shell_model_source,standard_rv_variance_shell_model,standard_rv_variance_shell_model_source
6d,5-10,7.5,824,6.061092597879844,308.64957649875566,92.18059705301096,21628.618264161803,21628.618264161803,6.188044548034668,108.2530517578125,22642.53536434946,22642.535364349456,343.6476315992652,85.4690077332557,19799.74727412438,19799.74727412438,21628.618264161785,log_linear_shell_variance_fit,19799.74727412436,log_linear_shell_variance_fit,22642.53536434948,log_linear_shell_variance_fit
6d,10-20,15.0,31,11.215767333402532,623.5158004175852,198.5465236171479,85883.21428244424,85883.21428244423,13.319314002990724,124.34982967376709,27716.683764323014,27716.683764323014,645.6565740939456,178.338247375739,82908.12333677658,82908.12333677658,85883.21428244414,log_linear_shell_variance_fit,82908.12333677645,log_linear_shell_variance_fit,27716.683764322974,log_linear_shell_variance_fit
6d,20-40,30.0,0,,,,,,,,,,,,,,341026.2461243763,log_linear_shell_variance_fit,347163.87133936863,log_linear_shell_variance_fit,33927.93901079795,log_linear_shell_variance_fit
6d,40-80,60.0,3,68.86601588185187,3701.566510974159,1271.4457451063413,1803655.2431536857,1803655.243153685,26.08787727355957,66.39196586608887,22173.02315278407,22173.02315278407,3701.6584408216336,1277.3515312526365,1811095.2847156005,1811095.2847156003,1354151.6991109725,log_linear_shell_variance_fit,1453690.527691348,log_linear_shell_variance_fit,41531.12454968845,log_linear_shell_variance_fit
6d,80+,100.0,0,,,,,,,,,,,,,,3741286.0638173847,log_linear_shell_variance_fit,4176557.395707964,log_linear_shell_variance_fit,48204.9034836395,log_linear_shell_variance_fit
