r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.49,13.8,1.6,9.623116889082054,12.865601423952167,337.8034693877552,-135.49764584621732,-133.45915480868933,-50.03738455693339,108.83349411831506,2.29114015482919,0.556456061931676,0.4701498632230371,0.8211847930821193,-9211.37503197543,-148.8149415082934,188.98852787946177,0.440537042967646,0.0
0.99,21.6,0.8,11.898284122698952,16.350966332299752,270.0546464646465,-146.11639004496158,-119.06079611430053,-49.57417902704337,107.97021993699853,2.315628113644572,0.5662512454578289,0.47727363306023923,0.8188023972515467,-6656.199540712342,-127.05548983386878,142.99915663077775,0.4704806656622437,0.4632055298900184
1.48,28.9,0.7,11.754601584642048,16.907377088123397,193.1482432432432,-114.68644645983302,-100.17405084108971,-48.21486507043975,105.84678864743168,2.339642056232745,0.5758568224930981,0.4842595072677077,0.81691739305467,-3726.9369115204936,-99.78969026103418,93.35855298220902,0.5166481899364884,1.3593139566036214
1.97,34.3,0.5,12.520057545371774,17.623677255328978,157.66192893401015,-63.50585237427337,-77.21669922184246,-44.690287973113215,102.53165242723847,2.354407356989315,0.581762942795726,0.48855486748780075,0.8152636015037757,-2434.9495321574927,-78.09246652821285,79.5694624057973,0.49531593997494905,3.524577097326535
2.47,38.2,0.4,12.591286246889146,17.938375065763346,130.27744939271255,-41.063919480163136,-52.1383214640795,-38.564440930651244,98.03533914750493,2.358906492389237,0.5835625969556949,0.489863706876869,0.8142837578321934,-1617.275184843438,-66.09101645704465,64.18643293566791,0.507309720639508,6.12584704246197
2.96,42.0,0.2,13.15364891556292,18.61036270468687,117.00864864864865,-20.71088774998115,-35.11666910490507,-31.74907210772189,92.7847293113573,2.3666359470083655,0.5866543788033463,0.4921122754933428,0.813785651204554,-1066.460900407758,-58.556459529091356,58.45218911955729,0.5004455671043906,6.815368822929354
3.46,44.6,0.2,13.968555043623253,19.48889170784219,109.77367052023122,-20.724501256146816,-28.245886659372474,-26.372586949603804,88.36517582457599,2.3823907350187894,0.5929562940075158,0.49669548655092055,0.8122645031738407,-727.7102067971132,-53.3804537552796,56.39321676495162,0.4862773878499546,5.376485158118086
3.95,46.3,0.2,13.856317486500899,19.522832786253126,96.4913924050633,-29.578184663960876,-24.896944832430535,-23.89629978896715,85.0268825701073,2.400162218780431,0.6000648875121725,0.5018653727361254,0.8092069846356275,-536.5789703059882,-47.88442169956694,48.60697070549635,0.4962558888004424,2.476287160636655
4.44,47.4,0.3,13.231506972394246,18.93923176900267,80.78704954954955,-29.15194014661038,-24.773594924006304,-22.85540902038787,81.94452002019082,2.4281843240879923,0.611273729635197,0.5100172579165069,0.8060226527502456,-429.4708226514933,-41.356243972856404,39.430805576693146,0.5119167515517591,1.0408907685792776
4.94,48.2,0.6,12.685865194261664,18.27832049177385,67.63097165991901,-24.319210345453453,-24.20923144475018,-22.035240987280147,78.95996476700958,2.4525921000127524,0.621036840005101,0.5171177018218917,0.8037360396912081,-355.2717153216283,-35.05381058158308,32.577161078335934,0.5183100245528108,0.8201680331077235
5.43,47.4,0.7,12.117542232997371,17.548244926487662,56.71103130755065,-20.094138207860002,-21.874131283931234,-20.61066223099655,76.87365257150361,2.461964830996668,0.6247859323986672,0.5198443144717579,0.8019931678254905,-296.06692352491666,-29.66962619365103,27.041405113899618,0.5231720444784212,1.4245787562835979
5.92,45.5,1.3,11.30325218629937,16.8462814888034,47.93871621621622,-17.90268385986617,-19.624280026582397,-19.33631728983656,74.76554292845489,2.4658678840768506,0.6263471536307403,0.5209797480950838,0.8015850882852402,-260.0661179419598,-26.357042231911915,21.581673984304306,0.5498070101217296,1.2743449411599883
