dataset,obs_date_raw,days_since_ref,radius_arcsec,ra_offset_arcsec,dec_offset_arcsec,x_center_arcsec,y_center_arcsec,distance_note,source_note,verify_against_pdf
Tylenda_Table1,2002-04-30,120.0,18.55,,,-0.84,0.46,t in days since 2002-01-01 per paper,Outer edge circle fit results,yes
Tylenda_Table1,2002-05-20,140.0,20.89,,,-1.12,0.51,t in days since 2002-01-01 per paper,Outer edge circle fit results,yes
Tylenda_Table1,2002-09-02,245.0,30.32,,,-2.27,0.37,t in days since 2002-01-01 per paper,Outer edge circle fit results,yes
Tylenda_Table1,2002-10-28,301.0,33.68,,,-2.36,1.11,t in days since 2002-01-01 per paper,Outer edge circle fit results,yes
Tylenda_Table1,2002-12-17,351.0,36.66,,,-2.61,1.58,t in days since 2002-01-01 per paper,Outer edge circle fit results,yes
Crause_Table4,2002-05-01,85,19.5,-1,1,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2002-06-02,117,21.4,0,0,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2002-09-16,223,31.9,-2,0,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2002-10-31,268,34.1,-2,2,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2003-01-26,355,39.4,-3,2,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2003-04-19,438,44.3,-4,3,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2003-05-21,470,46.5,-5,3,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2003-09-12,584,51.8,-6,3,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2003-11-03,636,53.9,-7,3,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2004-03-24,778,58.6,-7,5,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2004-05-07,822,61.4,-8,7,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
Crause_Table4,2004-12-11,1040,70.1,-10,9,,,time since 2002-02-05 peak per paper,Measured light echo radius and center offsets,yes
