galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,rho_eff_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,beta_i,psi_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,sigma_desc_i,tau_i,v_desc_segment_kms,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,g_transform_km2s2_per_kpc
NGC4157,1,1.74,6.98,4.36,5.24,0.35,50.2418576806817,8863968392.735493,101393004304.20541,92529035911.46992,1841672266.57003,215.8670910476772,161.6,9.475,4,29.61,3.355936162541273,3.355936162541273,0.0,0.0,0.85,0.5818855165060808,0.9484980026126395,0.5,0.14724755150287067,0.47424900130631975,0.0,0.0,215.8670910476772,10687.752522336274,10687.752522336274,0.0
NGC4157,2,8.72,13.94,11.33,5.219999999999999,0.35,130.06137037193974,131657710132.97191,130638306911.3281,1e-12,7.688678022846254e-15,227.09331741195047,192.75,6.525,4,29.61,3.0,3.355936162541273,-0.35593616254127314,-1.0,0.85,0.8962737435960273,7.688678022846254e-23,0.5,0.38264099966227627,3.844339011423127e-23,-0.4029144882363977,-1.1800330272347748e-23,227.09331741195047,4551.754175919231,4551.754175919231,0.0
NGC4157,3,15.68,20.9,18.29,5.219999999999999,0.35,209.95785208321075,127734232883.73857,124762772829.471,1e-12,4.762860688838057e-15,173.7702629094548,182.5,6.699999999999999,4,29.61,3.0,3.355936162541273,-0.35593616254127314,-1.0,0.85,0.9742159707488347,4.762860688838057e-23,0.5,0.6176967240797028,2.3814303444190285e-23,-0.4029144882363977,-7.945567802838399e-24,173.7702629094548,1650.9625080164594,1650.9625080164594,0.0
NGC4157,4,22.65,29.61,26.13,6.960000000000001,0.35,399.941583738604,127131929904.36913,121923652564.92233,1e-12,2.500365154961194e-15,143.6010859755771,185.2,10.84,5,29.61,3.0,3.355936162541273,-0.35593616254127314,-1.0,0.85,0.9946250177107656,2.500365154961194e-23,0.5,0.8824721377912867,1.250182577480597e-23,-0.4029144882363977,-4.2585782442790255e-24,143.6010859755771,789.1799423407992,789.1799423407992,0.0
