galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,eta_obs_i,I_ext_i,DeltaD_i
DDO168,1,0.41,2.06,1.235,1.6500000000000001,1.24,29.560000000000002,22.801932483717632,1.8199999999999998,149296598.71170092,5,75300744.96280545,2.52681,59085011.817944735,2.3509089911554155,2.3250948245526186,2.338001907854017,0.10762250956485397,0.2219632202903082,1.9769999999999999,1.0,2.0,1411436.8717334084,1695138.329382244,0.5,0.4287848130859181,0.49696216929046677,0.5023092326732498,0.5,0.11321075640156243,0.44584976208354155,0.5942755186696984,1007379.2099105192,0.40572448133030153
DDO168,2,2.47,4.12,3.295,1.65,1.24,53.36,28.378055993417775,2.06,616964743.3162987,5,75300744.96280545,6.7415699999999985,91516478.10766615,2.1608119839267066,2.2999468126516196,2.230379398289163,0.10762250956485397,0.0816557054410123,1.9769999999999999,1.0,2.0,804246.0719736515,1302136.844268526,0.5,0.5554263853448579,0.503001360212636,0.497669238241929,0.5,0.1282747452316831,0.5445094489218615,0.6465864782342139,841944.0763145993,0.35341352176578605
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,101.05,133.77833333333334,6.423333333333333,11131020785.313784,6,4972515764.711152,4.166312500000001,2671672080.6021585,2.0392838014105603,2.1748339766646794,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,8.5,1.0,2.0,4.636661338935868e-13,0.047892032377770975,0.30227060945009593,0.4933892781048106,0.49294598265833217,0.2388065281117719,0.5984095373694257,0.017556225703226517,0.04819487018648217,0.438735507046358,0.02101193510874194,0.561264492953642
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,270.8333333333333,237.24166715144466,5.251666666666668,116796493543.85747,6,4972515764.711152,19.585912500000003,5963290887.971518,2.0126918725852097,2.218752526407413,2.1157221994963114,0.013928168292118626,1.0419012351871175e-12,8.5,1.0,2.0,8.65379400830692e-05,0.09990735130182454,0.4105499708069207,0.48781779779458306,0.5020262318725883,0.38972958368316135,0.6191354107346833,0.039295233486143895,0.15537653533390802,0.48753944763030826,0.048708774867898694,0.5124605523696918
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,314.6666666666667,278.4423539022395,13.983333333333334,318887922616.5412,6,4972515764.711152,52.62775000000003,6059311344.6146,2.0065857164233027,2.1864726303182285,2.0965291733707656,0.019997466301749034,1.72835225064044e-09,8.5,1.0,2.0,0.20942595352579113,0.27996466846501017,0.5,0.5,0.5022035808343649,0.6234008414994479,0.5,0.16961076229901667,0.5,0.629742342008758,0.17630560599886097,0.37025765799124205
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,313.1666666666667,252.23871582961138,9.881666666666666,413175036792.438,6,4972515764.711152,83.09175000000002,4972515764.711152,2.0047538262405844,2.146700707545042,2.0757272668928133,0.021186534992294392,2.009090196220961e-09,8.5,1.0,2.0,0.2116584141169008,0.29798954040557485,0.5144360510536082,0.5125654293731843,0.5,0.6362479273180217,0.26232009636057163,0.18007858338439872,0.5636714223432651,0.6295624308067134,0.18760301941270904,0.3704375691932866
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,316.8333333333333,209.86750819634457,9.916666666666666,390785484287.7604,6,4972515764.711152,113.52600000000001,3442255380.1575,2.003822981426408,2.104489225345945,2.054156103386177,0.02157116350663646,1.0562783705660053e-09,8.5,1.0,2.0,0.07843231701656393,0.16080365478787534,0.5189289039853073,0.5249454465023223,0.4958475121061965,0.5,0.3207971621071392,0.1350735060115893,0.5309261248007761,0.6170756163034072,0.09922801438206852,0.38292438369659276
IC4202,1,0.77,5.5,3.135,4.73,3.4400000000000004,141.28571428571428,185.46424308097198,3.8814285714285712,25072496151.305027,7,870273012.8993666,51.010212,491519152.1122285,2.244980924181924,2.1718382004440793,2.2084095623130016,0.0434347636560557,0.0012146536683018835,3.9700000000000006,1.0,2.0,25931.663276641877,26201.18647808398,0.516207405831753,0.4586883536583009,0.4929637481316631,0.5285782145436242,0.4821104543283011,0.1608506226432733,0.5721085336066037,0.6506715287028355,17048.366059522967,0.34932847129716443
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,3.44,236.0,226.0905499053524,4.985,98111867703.5664,6,870273012.8993666,112.736884,870273012.8993666,2.133420738594158,2.1965288587197342,2.164974798656946,0.026262016339137828,2.8820027976789913e-06,3.9700000000000006,1.0,2.0,65.86853155217779,8119.366791578804,0.39214990182711673,0.4933082476250014,0.5,0.49802574030824265,0.4729176052650614,0.04953866636540398,0.41649672236648494,0.5733595122596473,4655.316183476801,0.4266404877403526
IC4202,3,11.02,14.59,12.805,3.5700000000000003,3.44,243.16666666666666,242.07131385357616,6.103333333333333,174464023029.3473,6,870273012.8993666,157.255644,1109429325.3433073,2.103983936699942,2.2077871225695094,2.155885529634726,0.01678423076007496,1.2473450227668306e-09,3.9700000000000006,1.0,2.0,0.023226709147853,5162.726590852484,0.2919425945906274,0.5,0.5029314862502344,0.4851304751605728,0.5872795414820369,0.03561552705646606,0.3105060581428073,0.5354248681458741,2764.2522041803895,0.46457513185412586
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,3.44,245.83333333333334,229.03959164474358,9.143333333333334,205096211569.96982,6,870273012.8993666,212.28601199999986,966131539.4156538,2.085995093868017,2.1768175804055745,2.131406337136796,0.04070731405410477,0.00011683730347461101,3.9700000000000006,1.0,2.0,4595.049909309406,8720.116882461789,0.5,0.5171733640719395,0.5012658723544662,0.5,0.5985818287942049,0.12962067875000735,0.5,0.6370751159584984,5555.369474066004,0.3629248840415016
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,3.4400000000000004,241.71428571428572,205.63923030792338,12.457142857142857,223781325725.8618,7,870273012.8993666,491.68883199999993,455127941.0101831,2.055920449539374,2.093021353513658,2.0744709015265164,0.05693543561027958,0.0005677164236930717,3.9700000000000006,1.0,2.0,14711.183218707003,15925.68573214737,0.5830994703239809,0.5528911248040754,0.4920012105713162,0.5160606054054345,0.5,0.20272016734981987,0.7110626883678814,0.7241150879764593,11532.029325019335,0.27588491202354076
NGC0100,1,0.23,1.59,0.91,1.36,6.87,25.6275,27.599172151429467,5.07,161165896.55079004,4,56584745.922046766,8.502312,18955537.805574536,3.284057484401865,2.18826084997771,2.7361591671897876,0.27465116065773865,0.4232249963251689,2.0,1.0,2.0,2203377.2412100662,6940981.291248361,0.7593032695009988,0.5262268481962883,0.4841999506989164,0.5050428114512279,0.7304945495197217,0.2502277809216386,0.5804552030844845,0.713162965310455,4950050.799831072,0.28683703468954497
NGC0100,2,2.05,3.42,2.735,1.37,6.87,58.800000000000004,51.73566053421866,4.0,1702068257.98356,4,56584745.922046766,25.7415465,66121445.26683974,2.61088439273119,2.312131620332907,2.461508006532049,0.2103450818445718,0.8327727344370564,2.0,1.0,2.0,11582470.357646946,12683895.849880569,0.7072595108953769,0.15328671725651782,0.5021717968672585,0.514428314805265,0.6022147216663961,0.07980305666302782,0.5,0.6290211365130409,7978438.582904918,0.3709788634869591
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,6.87,76.9,55.162498029489754,4.388,3388933201.254637,5,56584745.922046766,59.891286,56584745.922046766,2.4001735903536785,2.2307644166476095,2.315469003500644,0.08706354766721658,0.12009192524658932,2.0,1.0,2.0,591629.1137108267,5067558.675465132,0.5,0.4646379374667792,0.5,0.5,0.410944925788216,0.1161594843666948,0.549019935030642,0.6295365957338002,3190213.6372336047,0.37046340426619984
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,6.87,82.6,50.06994501779251,5.423333333333333,3987034338.207448,3,56584745.922046766,63.907487999999994,62387592.79988361,2.3525925889619885,2.2221692334332435,2.2873809111976158,0.04532009734413123,0.00917294638978738,2.0,1.0,2.0,25935.696668389006,1852030.1872016676,0.34233909589244527,0.5,0.5013635004476367,0.48315080530654836,0.5,0.045067196342350554,0.40687228808055265,0.5677692295954457,1051525.752575,0.4322307704045542
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,6.87,88.84,46.49011326914392,8.472,4422252397.665824,5,56584745.922046766,99.14783999999992,44602609.57440755,2.287711452374378,2.1619461652503853,2.2248288088123815,0.06255210238523423,0.012288740715109438,2.0,1.0,2.0,34285.42685070535,724543.5204285318,0.4180852896291619,0.5641178237361723,0.4966452831121812,0.4663850799017784,0.47972752945999375,0.0610454699376198,0.39920910133623316,0.5735026711772073,415527.6443499005,0.4264973288227927
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.5300000000000001,67.01333333333334,67.7444087710755,1.6440000000000003,923002052.025577,15,1357749636.4929445,0.6464145000000002,1427879560.290768,2.2621679756103483,2.48065124850791,2.3714096120591295,0.03857399025529418,0.03566435763417429,3.38,1.0,2.0,1964357.590820983,72375589.14841884,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,0.4893039058819742,35413658.46083037,0.5106960941180257
NGC2403,2,1.67,2.98,2.325,1.31,0.5300000000000001,97.4,103.12050731849263,1.6521428571428576,5748475495.621661,14,1357749636.4929445,1.6142475000000005,3561086819.4757366,2.1137141528506986,2.5519570907569715,2.3328356218038353,0.11760446653430745,0.2413730022703897,3.38,1.0,2.0,101086944.72530797,109727098.2741486,0.6838702048941996,0.3148320279639672,0.5112062152367026,0.5072065293124516,0.5054355978439676,0.1637924370992717,0.47216360518633566,0.616128570348151,67606000.18810225,0.38387142965184895
NGC2403,3,3.08,6.46,4.77,3.38,0.5300000000000001,113.33333333333333,102.2789615368371,3.049333333333334,11601940773.34021,15,1357749636.4929445,8.544978000000002,1357749636.4929445,2.0413310620354737,2.2310702959455555,2.1362006789905146,0.14281400802194932,0.07828772883914108,3.38,1.0,2.0,15180434.315882659,64838943.06990127,0.7242878266145674,0.5,0.5,0.5,0.4361833752745964,0.2508616888625198,0.7676334148554145,0.7474825590067509,48465979.08918284,0.25251744099324913
NGC2403,4,6.96,13.42,10.19,6.46,0.5300000000000001,128.64285714285714,81.8632729073081,1.542142857142857,15877862509.71826,14,1357749636.4929445,34.88852200000001,455102755.84956723,2.0169560498412564,2.077459161678617,2.0472076057599367,0.054364520698440666,0.000241456409649827,3.38,1.0,2.0,5973.980042285286,13050095.371259099,0.5,0.554490556032265,0.48665864427655525,0.47667980026908074,0.47482551429696634,0.06472453986674837,0.6752887846652527,0.6962622977748651,9086289.389373992,0.3037377022251349
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.5300000000000001,134.26666666666668,66.5174223471972,4.1066666666666665,17889988026.41557,15,1357749636.4929445,64.14823200000002,278885130.0908116,2.011053901830036,2.043889373357231,2.0274716375936332,0.019735968166303408,3.998578131374268e-11,3.38,1.0,2.0,0.00022008446136437057,1550562.746396773,0.26634059327634874,0.5650038516917162,0.4804475835588297,0.44210439183232625,0.5,0.031963889009644475,0.5,0.6006930286590905,931412.2322590348,0.3993069713409096
NGC2683,1,2.89,14.43,8.66,11.54,21.58,195.8,205.08057127289626,7.4,84685016096.57663,5,24312998.44047567,2156.6275119999996,39267335.51592411,2.3218599146027215,2.269008403972268,2.2954341592874945,0.1849904057081675,0.3309398473929812,14.424999999999999,1.0,2.0,2403973.635254783,2467479.6230093976,0.5,0.4078047790570358,0.5104663599512778,0.5083785425250144,0.5,0.1203345469868145,0.45546373691043956,0.5976841876970079,1474773.5541372912,0.40231581230299207
NGC2683,2,17.31,34.62,25.964999999999996,17.31,21.58,162.5,122.61999609272766,10.333333333333334,90771720697.67372,6,24312998.44047567,9699.220556999997,9358661.365027227,2.150895765558236,2.0699917416004174,2.110443753579327,0.1849904057081675,0.12174596612029234,14.424999999999999,1.0,2.0,210774.23331619104,935088.196370131,0.5,0.56735571926524,0.4890763151794161,0.4913309204689719,0.5,0.08742949174837979,0.5378020202184901,0.6435622711961129,601787.4834246383,0.35643772880388713
NGC2841,1,3.44,6.51,4.975,3.07,2.04,305.2,282.98789495077904,9.407,92633579806.6337,10,607651636.969469,31.15743,2973081534.858096,2.1381760293976515,2.583509036442754,2.360842532920203,0.05949324800127709,0.09641954085914786,12.240000000000002,1.0,2.0,17054522.264138997,85323855.35561012,0.5,0.25742402839295453,0.5188847395026175,0.5056874639980321,0.5233345088895944,0.08796258884142528,0.26839603068692947,0.514916106216656,43934627.36710393,0.48508389378334404
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,2.04,320.4,287.1012252081233,12.484,160890513395.27368,10,607651636.969469,52.576206,3060139284.2091665,2.0953309974454415,2.5073675723924107,2.301349284918926,0.13113095150437437,0.21982943476389094,12.240000000000002,1.0,2.0,88212930.49303818,103173185.64180756,0.6879029621865335,0.33104585612682585,0.5192148258885262,0.5082739398957066,0.45264985952427467,0.17325191227935777,0.5,0.6234946970793809,64327934.12845353,0.3765053029206191
NGC2841,3,10.27,22.51,16.39,12.240000000000002,2.04,313.3,255.45435211970735,7.552,248682492174.21008,10,607651636.969469,409.2517440000001,607651636.969469,2.032051673648386,2.1651095861745224,2.098580629911454,0.13311290443188684,0.04901490874767479,12.240000000000002,1.0,2.0,3964633.3527636207,56580796.9399782,0.6911144984222569,0.5,0.5,0.5,0.4783241317790595,0.17277862460556423,0.7723848921590727,0.7511022228001689,42497962.34942262,0.2488977771998311
NGC2841,4,24.59,43.08,33.835,18.49,2.04,284.1,173.643980848759,3.818,237205794261.24164,10,607651636.969469,1276.242666,185862611.06964248,2.015951630987609,2.0542953211226957,2.035123476055152,0.03800016247036009,4.864530121467234e-06,12.240000000000002,1.0,2.0,34.35724915512777,13604857.965236684,0.38977159878323375,0.5366255654063252,0.4849156376833925,0.47920999846655177,0.5324631059427862,0.04860505775420442,0.6707106045278834,0.6892330357743391,9376917.556658778,0.31076696422566086
NGC2841,5,45.16,63.64,54.4,18.480000000000004,2.04,284.1,139.79052367963587,5.090000000000001,247169004647.41183,10,607651636.969469,2050.8364800000004,120521068.87010893,2.011574510006392,2.033586099935076,2.022580304970734,0.012543171084418159,2.950060331572786e-17,12.240000000000002,1.0,2.0,4.459654543265603e-11,2535218.618750096,0.1741226346842238,0.5432390456667582,0.47916977594352983,0.45236690249943706,0.5,0.020503426534481083,0.4721014924817498,0.5786707520388801,1467056.8646950887,0.4213292479611199
NGC2998,1,0.33,2.64,1.485,2.31,3.31,135.75,106.16040290309387,16.75,3891268650.0421133,4,222861850.65588945,11.354458500000002,342708430.3528973,2.5290947913511697,2.4807111135511164,2.5049029524511432,0.38075969747175353,0.9872057876304251,13.850000000000001,1.0,2.0,128820047.14177023,133891558.34585129,0.6256011947032522,0.012876763175564222,0.505534842491449,0.5075583934154705,0.5166544421382256,0.0058526741867269624,0.013520416990486788,0.4278099679805674,57280143.288806915,0.5721900320194325
NGC2998,2,3.63,17.48,10.555,13.850000000000001,3.31,208.25,209.6220323237375,8.75,107837978329.4842,4,222861850.65588945,483.8781425000001,222861850.65588945,2.064247383009163,2.1840391269496164,2.1241432549793897,0.22787037020636713,0.19215896952049263,13.850000000000001,1.0,2.0,9758526.62997037,76685154.7151798,0.5,0.5,0.5,0.5,0.5,0.125,0.6379689837047089,0.6814299200829754,52255558.84911558,0.3185700799170245
NGC2998,3,22.46,42.28,32.370000000000005,19.82,3.31,211.2,164.01718193338445,2.4,202470164762.45087,5,222861850.65588945,2123.607954,95342534.56768267,2.0252130013742615,2.073111422702557,2.049162212038409,0.07498104294098074,0.0024474948726855997,13.850000000000001,1.0,2.0,17496.85370111191,15889720.772707867,0.24758359936890842,0.5453499085511644,0.48870760840968097,0.4773431385657151,0.4821568896673714,0.0316156576429034,0.5,0.5973120098692452,9491121.051007232,0.4026879901307548
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,2.1,64.87777777777778,81.2176359373249,13.370000000000001,2461588022.4261374,9,284176339.1599391,8.662185000000001,284176339.1599391,2.35425879892846,2.345850924884671,2.3500548619065658,0.05489475818329126,0.06512140818386014,5.259999999999999,1.0,2.0,1015880.3846187086,6134781.542037063,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,0.06822145060217247,0.2689232403156669,0.5102273137482795,3130133.1066260985,0.4897726862517205
NGC3198,2,3.21,5.46,4.335,2.25,2.1,118.625,116.00314163581649,5.38875,13563389991.596958,8,284176339.1599391,20.482875,662181944.263047,2.1767790098026314,2.4135411976439176,2.2951601037232745,0.09430454017399503,0.11393688179903576,5.259999999999999,1.0,2.0,7114989.541853446,9206184.700673865,0.5788946893906203,0.37696377404266296,0.5106338253139697,0.5064093262870191,0.47482859182345244,0.15393934752214739,0.48601666240335584,0.6126143934929678,5639841.256787559,0.38738560650703224
NGC3198,3,5.78,11.04,8.41,5.259999999999999,2.1,145.66666666666666,136.86619416809776,1.9344444444444444,36629249726.67642,9,284176339.1599391,92.89685999999998,394300191.9190426,2.07740420026371,2.245487362853441,2.1614457815585757,0.12438391918085046,0.0657530791310667,5.259999999999999,1.0,2.0,3224833.6754672513,6783399.97227139,0.6445301580665609,0.5,0.5041713769522692,0.5016024497310027,0.40666240998699515,0.2050536155771059,0.7296314967369393,0.7219984017410441,4897603.938350187,0.2780015982589559
NGC3198,4,12.05,26.1,19.075000000000003,14.05,2.1,153.125,108.54440155319925,2.0,52253940816.11608,8,284176339.1599391,562.8078750000001,92845077.57841177,2.0277599362975125,2.065024594425635,2.0463922653615736,0.06859994297693128,0.00134365314845846,5.259999999999999,1.0,2.0,8557.951329649297,901481.5983077526,0.5,0.5726199458012878,0.4852073939357023,0.4673209707850078,0.5,0.06608060375237225,0.6972605336698063,0.7092717484843674,639395.4294582218,0.2907282515156327
