r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,vdgrad_i,dyn_persist_i,e_struct_i,p_stat_i,beta_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
1.16,78.5,79.61182952300493,1.6,NGC2403,4.75,79.47,0.0,5312.284482758621,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,5463.830517241379,5463.830517241379,79.61182952300493,-1.1118295230049284,-1.1118295230049284
1.27,83.4,82.34121021699889,1.8,NGC2403,5.15,82.18,0.0,5476.818897637796,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,5338.641653543309,5338.641653543309,82.34121021699889,1.0587897830011173,1.0587897830011173
1.36,86.4,85.36800454502846,1.6,NGC2403,5.51,85.19,0.0,5488.941176470588,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,5358.600147058823,5358.600147058823,85.36800454502846,1.0319954549715504,1.0319954549715504
1.47,87.4,88.12843581954691,1.41,NGC2403,5.76,87.94,0.0,5196.435374149661,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,5283.415782312924,5283.415782312924,88.12843581954691,-0.7284358195469025,-0.7284358195469025
1.67,93.3,94.184948372869,1.6,NGC2403,6.21,93.98,0.0,5212.508982035928,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,2,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.8553228361138318,0.5,0.11140392908481074,1.142741522849705,0.11140392908481074,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,823.7026178268832,0.0,0.0,3887.6400753461494,0.0,5311.8589820359275,5311.8589820359275,94.184948372869,-0.8849483728690046,-0.8849483728690046
1.77,93.3,97.07252958484186,1.41,NGC2403,6.42,96.86,0.0,4918.016949152542,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,2,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.8553228361138318,0.5,0.11140392908481074,1.142741522849705,0.11140392908481074,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,823.7026178268832,0.0,0.0,3887.6400753461494,0.0,5323.771751412428,5323.771751412428,97.07252958484186,-3.7725295848418625,-3.7725295848418625
1.87,95.2,99.42995625061896,1.25,NGC2403,6.61,99.21,0.0,4846.545454545455,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,2,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.8553228361138318,0.5,0.11140392908481074,1.142741522849705,0.11140392908481074,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,823.7026178268832,0.0,0.0,3887.6400753461494,0.0,5286.800106951871,5286.800106951871,99.42995625061896,-4.2299562506189545,-4.2299562506189545
1.97,97.2,101.64837677011866,1.6,NGC2403,6.81,101.42,0.0,4795.8578680203045,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,2,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.8553228361138318,0.5,0.11140392908481074,1.142741522849705,0.11140392908481074,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,823.7026178268832,0.0,0.0,3887.6400753461494,0.0,5244.8692893401,5244.8692893401,101.64837677011866,-4.4483767701186565,-4.4483767701186565
2.08,99.1,104.02645913420298,2.02,NGC2403,7.01,103.79,0.0,4721.543269230769,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,2,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.8553228361138318,0.5,0.11140392908481074,1.142741522849705,0.11140392908481074,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,823.7026178268832,0.0,0.0,3887.6400753461494,0.0,5202.646250000002,5202.646250000002,104.02645913420298,-4.926459134202986,-4.926459134202986
2.18,98.2,106.31884969279906,2.02,NGC2403,7.27,106.07,0.0,4423.504587155963,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,2,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.8553228361138318,0.5,0.11140392908481074,1.142741522849705,0.11140392908481074,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,823.7026178268832,0.0,0.0,3887.6400753461494,0.0,5185.18247706422,5185.18247706422,106.31884969279906,-8.11884969279906,-8.11884969279906
