galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,eta_max,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6195_normalized.csv,local_structural_coupling_v3,81.10724600547921,111.90927050773533,2.265531504931854,2.4125188000953735,0.5270210032879022,0.4386831735043057,0.5937480863987677,0.30592924413933126,0.3679623056808803,computed_from_baryonic_velocity,18.175226387678894,0.05828560185710299,23,ok,
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5371_normalized.csv,local_structural_coupling_v3,74.5005252741776,105.57392386726785,2.242940488281885,2.3734940872598194,0.5119603255212565,0.44501574937353017,0.5949648700344097,0.207871004414839,0.2769205557111523,computed_from_baryonic_velocity,18.742639294572143,0.06708439140943644,19,ok,
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2955_normalized.csv,local_structural_coupling_v3,69.96235503924521,102.51005594757935,2.224584044056964,2.357915354002702,0.49972269603797614,0.46127355687873006,0.5895321295679044,0.3573296058178614,0.46083528017393116,computed_from_baryonic_velocity,33.72343387495178,0.10984876622022931,24,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0801_normalized.csv,local_structural_coupling_v3,61.92535930449666,92.48405793238776,2.196460071716668,2.3076632132179773,0.4809733811444453,0.4567714134792136,0.5776966562364398,0.2059338176785994,0.35726982427569903,computed_from_baryonic_velocity,26.228353475928106,0.1160252067970014,13,ok,
NGC5005,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5005_normalized.csv,local_structural_coupling_v3,74.38904398264665,101.33280246484786,2.23788804419964,2.3523144450414764,0.5085920294664265,0.4471657643585218,0.5827229734064269,0.43961946940228114,0.5612703704857414,computed_from_baryonic_velocity,40.21927493519394,0.12461973160673846,18,ok,
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06628_normalized.csv,local_structural_coupling_v3,79.71154194613311,90.23667365777001,2.2555354587901877,2.298844233700015,0.5203569725267919,0.4556917858419025,0.54930225283661,0.42523947742677803,0.48034540425879196,computed_from_baryonic_velocity,5.491629421374154,0.1266527690082348,7,ok,
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3521_normalized.csv,local_structural_coupling_v3,81.5284264809898,119.21882504173904,2.2746761326422003,2.459144933024418,0.5331174217614669,0.4519280201123226,0.6101140608381723,0.44635295484166404,0.5741107681114344,computed_from_baryonic_velocity,38.59928606752031,0.12824324650695715,41,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling_v3,83.15652184394082,98.12769843507499,2.277358421878328,2.3416136650488237,0.5349056145855517,0.46036696753190903,0.548570349743293,0.3279838397388285,0.4345007245302872,computed_from_baryonic_velocity,7.648924484686243,0.132542504681278,6,ok,
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3949_normalized.csv,local_structural_coupling_v3,61.92865989405227,78.52213522626906,2.1911947207459197,2.2501552410894505,0.4774631471639463,0.4433097907753349,0.5394415882476357,0.4405785067998799,0.534741457313232,computed_from_baryonic_velocity,30.592457076811392,0.14043290653849913,7,ok,
NGC4051,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4051_normalized.csv,local_structural_coupling_v3,95.40586394333336,109.003300246069,2.330737167337844,2.3970307579822303,0.5704914448918962,0.47293004109357667,0.5692681662042911,0.4010263358171143,0.5447238730811549,computed_from_baryonic_velocity,23.802127430297915,0.14947551823027386,7,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,local_structural_coupling_v3,81.4905916734755,83.99571952808947,2.259650169559952,2.2700769836110313,0.523100113039968,0.4568607335728715,0.5274690245340795,0.2863908130543257,0.5057267954741713,computed_from_baryonic_velocity,5.4892939049337075,0.17025356296995706,5,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling_v3,72.14400594229768,80.22247537235424,2.2248548256128657,2.255580782283535,0.4999032170752436,0.44997125547134714,0.5338119985192964,0.4282764034310281,0.4891751094967503,computed_from_baryonic_velocity,5.093264414574974,0.17468858961489506,6,ok,
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\PGC51017_normalized.csv,local_structural_coupling_v3,58.85559766556498,71.40173948055276,2.1791788510128614,2.2223527365920344,0.4694525673419075,0.4409274125005465,0.5263878089270481,0.44066109050303476,0.525773023390499,computed_from_baryonic_velocity,3.7912880684040533,0.17546257145547595,6,ok,
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3953_normalized.csv,local_structural_coupling_v3,90.53253660752192,112.56727062887546,2.315616077486232,2.4226473357759657,0.5604107183241549,0.4670956085341075,0.5772332269875653,0.4268105915727647,0.5264303619651478,computed_from_baryonic_velocity,41.53906976507578,0.18130034447889903,8,ok,
UGC05253,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05253_normalized.csv,local_structural_coupling_v3,75.61337483530073,106.59119916605738,2.2418184826763032,2.3790396697289995,0.5112123217842023,0.46366244778889515,0.598224890600011,0.39165790348478763,0.49013515112637795,computed_from_baryonic_velocity,52.344022210823326,0.1930737856476828,73,ok,
UGC02953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02953_normalized.csv,local_structural_coupling_v3,84.18004830376007,118.14956902537894,2.2855451573474257,2.4498072057107585,0.540363438231617,0.4505910071666925,0.6151084642428628,0.3246913900557442,0.49918502119549163,computed_from_baryonic_velocity,69.95425255823655,0.19527905668199014,115,ok,
