galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
UGC07089,0.87,20.9,19.68121185293223,4.7,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.4183837626670943,2.3685511519689073,-0.010599561772519656,0.435947220482701,0.142074496885936,0.46012882363344293,0.46012882363344293,12915382.662322914,52.8107945,1,19.68121185293223,0.05831522234774017,0.026832514658788345
UGC07089,1.74,36.4,34.07028323921009,3.9,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.4183837626670943,2.3685511519689073,-0.010599561772519656,0.435947220482701,0.142074496885936,0.46012882363344293,0.46012882363344293,12915382.662322914,52.8107945,1,34.07028323921009,0.06400320771400844,0.029449720674213604
UGC07089,2.61,43.4,44.03643264389158,3.9,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.4054501079820687,2.3640463382155863,-0.011003764834285236,0.4442594132444879,0.14526973595735623,0.46530294575734726,0.46530294575734726,15562652.184317932,60.15271005343511,1,44.03643264389158,0.014664346633446568,0.006823363686149526
UGC07089,3.5,51.2,48.7767905873275,4.7,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.3783655134651913,2.354612728238044,-0.011850213598923742,0.4616661227927005,0.1519609424833892,0.4761381662050529,0.4761381662050529,21106346.006848678,75.52754497709923,1,48.7767905873275,0.04732830884125988,0.022534814181263872
UGC07089,4.37,59.7,52.13794971035973,3.9,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.3518895615217272,2.3453911094959516,-0.012677641043008576,0.4786816703285936,0.1585017848178259,0.48672989855281,0.48672989855281,26525462.440109074,90.5568779923664,2,52.13794971035973,0.1266675090392006,0.061652863824587255
UGC07089,5.24,64.5,53.93761303580276,4.4,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.325413609578263,2.3361694907538597,-0.01350506848709341,0.4956972178644868,0.16504262715226262,0.49732163090056714,0.49732163090056714,31944578.87336947,105.58621100763355,2,53.93761303580276,0.16375793742941452,0.08144036451530946
UGC07089,6.11,67.9,54.11803119109194,3.9,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.3051935395787924,2.3233098066893705,-0.01433249593117826,0.5103339110256856,0.17414975853061906,0.5102569586423723,0.5102569586423723,33271949.88378492,122.40896199999997,2,54.11803119109194,0.20297450381307905,0.10356915299760631
UGC07089,6.55,72.8,54.11797945230401,7.3,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.296038153818103,2.3161833091373776,-0.014750964983359106,0.5173291738738419,0.17919495102162059,0.5172001306464397,0.5172001306464397,33242855.546114594,131.22400999999996,2,54.11797945230401,0.25662116136945035,0.13272449818692078
UGC07089,6.98,70.3,54.096145888593576,6.1,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.2870908450065195,2.309218777438839,-0.015159923375263116,0.5241654534754494,0.18412548004691756,0.5239855032867783,0.5239855032867783,33214422.443391316,139.838716,3,54.096145888593576,0.23049579105841284,0.12077645308322654
UGC07089,7.85,73.7,53.82706010920529,6.1,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.268988150434247,2.2951277481883077,-0.015987350819347972,0.5379969959252131,0.19410120156321609,0.5377140479311843,0.5377140479311843,33156895.002997715,157.26846999999998,3,53.82706010920529,0.26964640286017244,0.1449926587920262
UGC07089,8.72,77.6,53.22826692651189,6.1,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.264410457553902,2.291564499412311,-0.016196585345438396,0.5414946273492913,0.19662379780871686,0.541185633933218,0.541185633933218,33142347.834162552,161.675994,3,53.22826692651189,0.3140687251738158,0.1699694821317891
UGC07089,9.16,79.1,52.60427739262274,7.3,9.19,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC07089_structure_enriched.csv,2.264410457553902,2.291564499412311,-0.016196585345438396,0.5414946273492913,0.19662379780871686,0.541185633933218,0.541185633933218,33142347.834162552,161.675994,3,52.60427739262274,0.3349648875774621,0.1812781850289779
