TrackName,Imp,On,Name,TrackRefs,TrackRefsLatex,Notes,from-Members,width_phi2,width_phi2_Ref,width_pm_phi1_cosphi2,width_pm_phi1_cosphi2_Ref,width_pm_phi2,width_pm_phi2_Ref,total_v_sigma,total_v_sigma_Ref,Lv_stream,L_Ref,width_comment,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,InfoFlags_raw,InfoFlags_str,has_empirical_track_from_flag,has_D_from_flag,has_pm_from_flag,has_vrad_from_flag
Gaia-7-I21,st,True,Gaia-7,ibata2021,Ibata2021,-,0,0.37,visual,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,14.564265590655308,175.00327432397307,-8.38693009096021,4.558076264339244,184.2847001159234,-19.849445090105288,5.106542055603429,179.4833926583622,-14.194605158315102,4.777008256866298,258.9166508497209,35.942963967593364,1110,1,1,1,0,Ibata2019,41,1110,1110,1,1,1,0
Gaia-7-I24,st,False,Gaia-7,ibata2024,Ibata2024,-,1,0.49,from-Members,0.37,from-Members,0.31,from-Members,-1.0,from-Members,0.0,--------,apparent,14.849854765093829,176.87042431225342,-11.002220620799276,1.0000000000000009,186.93544537769748,-22.291245853560905,1.000000000000001,181.5480278299608,-16.866930609721614,1.0000000000000002,258.36640740075563,36.96164263850893,1111,1,1,1,1,Ibata2019,,1111,1111,1,1,1,1
Gaia-8-I21,st,True,Gaia-8,ibata2021,Ibata2021,-,1,0.64,from-Members,1.06,from-Members,0.49,from-Members,-1.0,from-Members,0.0,--------,apparent,21.11882351573905,181.70666733350367,-24.919072095420454,7.467913092473265,199.9937456361054,-12.79839242741325,6.832103620775754,191.21099889663031,-19.114839295529205,7.056831044737793,123.38895872512806,47.44351896042656,1111,1,1,1,1,Ibata2021,42,1111,1111,1,1,1,1
Gaia-8-I24,st,False,Gaia-8,ibata2024,Ibata2024,-,1,0.93,from-Members,0.73,from-Members,0.43,from-Members,-1.0,from-Members,0.0,--------,apparent,46.61224403715252,167.05576497720756,-35.45386741595112,1.0000000000000009,209.2048011222704,-9.695600556965074,0.9999999999999992,188.40925262094615,-21.86036517463244,0.9999999999999994,123.65177467267227,46.75178160251361,1111,1,1,1,1,Ibata2021,,1111,1111,1,1,1,1
Gaia-9-I21,st,True,Gaia-9,ibata2021,Ibata2021,-,1,1.19,from-Members,0.28,from-Members,0.47,from-Members,-1.0,from-Members,0.0,--------,apparent,22.03052608657505,219.92416951601376,70.80981088051067,3.777449699678969,244.22128896734824,51.76585833333504,5.267849298340578,236.30161551508365,61.908636487961466,4.156065250217799,354.0588260481169,13.928133061224193,1111,1,1,1,1,Ibata2021,43,1111,1111,1,1,1,1
Gaia-9-I24,st,False,Gaia-9,ibata2024,Ibata2024,-,1,1.87,from-Members,0.33,from-Members,0.76,from-Members,-1.0,from-Members,0.0,--------,apparent,36.4826332955856,212.16473213753804,72.3604799576909,1.0000000000000029,247.8552836692912,40.31349414160852,1.000000000000001,237.3669370321975,57.25007673943057,1.0000000000000009,347.7278736617613,12.609114726098191,1111,1,1,1,1,Ibata2021,,1111,1111,1,1,1,1
Gjoll-I21,st,False,NGC3201-Gjoll,ibata2021,Ibata2021,GC,1,0.69,from-Members,1.01,from-Members,0.28,from-Members,-1.0,from-Members,0.0,--------,apparent,57.46723556760004,64.8788806821623,2.3506694348519277,3.941982928023932,112.18563929741732,-34.12825638178731,3.310548600616668,86.13375697417506,-17.30012951265954,3.319798251668681,156.89966601034638,46.6034752686525,1111,1,1,1,1,"Palau2021,Ibata2019",,1111,1111,1,1,1,1
Gjoll-I24,st,False,NGC3201-Gjoll,ibata2024,Ibata2024,-,1,0.66,from-Members,0.69,from-Members,0.42,from-Members,-1.0,from-Members,0.0,--------,apparent,111.61146319622291,55.266805765892464,12.25689122975597,0.9999999999999992,163.60238511300207,-47.46286990181888,0.9999999999999996,97.37694907435562,-25.401981221010296,1.0,157.16038223370856,46.64800738458533,1111,1,1,1,1,"Palau2021,Ibata2019",,1111,1111,1,1,1,1
Gunnthra-I21,st,True,Gunnthra,ibata2021,Ibata2021,-,1,1.6,from-Members,0.78,from-Members,0.5,from-Members,-1.0,from-Members,0.0,--------,apparent,20.2005670615312,265.94483478188977,-76.43766291410586,3.085708611179772,300.1136350015303,-60.28685987103997,3.243443246563633,292.9604939415194,-69.80147468491599,3.081510309057572,227.71763131116856,8.754730800080225,1111,1,1,1,1,Ibata2021,44,1111,1111,1,1,1,1
Hermus-G14,st,True,Hermus,grillmair2014,Grillmair2014,-,0,0.3,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,47.62104859892955,245.4160702896852,4.999980848603858,18.94701647008075,253.191142114462,50.00007259218514,14.854761837437405,241.5105382198183,27.91660123489753,19.648202568803494,150.9206579399296,1.11900293407601,1100,1,1,0,0,Grillmair2014,45,1100,1100,1,1,0,0
Hrid-I21,st,True,Hrid,ibata2021,Ibata2021,-,1,0.87,from-Members,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,61.73005839436336,278.58977526546283,15.17508982770735,3.2118512679847693,288.8806152138292,76.66408347087736,3.912764858673016,280.9482657943546,45.97653229121997,3.1356185775756344,188.6701865056898,2.1998132998578126,1111,1,1,1,1,Ibata2021,46,1111,1111,1,1,1,1
Hrid-I24,st,False,Hrid,ibata2024,Ibata2024,-,1,2.49,from-Members,1.62,from-Members,1.08,from-Members,-1.0,from-Members,0.0,--------,apparent,77.14418144389779,284.4499490002248,82.49540285291293,0.9999999999999984,276.9099846468896,5.480557708134681,0.9999999999999988,279.8621072877877,43.97211414325298,0.9999999999999994,8.528475949301608,-1.4241520981077394,1111,1,1,1,1,Ibata2021,,1111,1111,1,1,1,1
Hydrus-I24,st,True,Hydrus,ibata2024,Ibata2024,-,1,0.2,from-Members,0.46,from-Members,0.23,from-Members,-1.0,from-Members,0.0,--------,apparent,5.995325192286106,29.334273082778264,-78.55818922225784,0.9999999999999992,60.68561386647013,-80.61579105394482,1.0000000000000102,44.19117105802477,-79.64340978173159,1.0000000000000018,66.80158303192552,9.568004236802556,1111,1,1,1,1,Ibata2024,47,1111,1111,1,1,1,1
Hyllus-G14,st,True,Hyllus,grillmair2014,"Grillmair2014,GrillmairCarlin2016",-,0,0.2,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,23.513433765092508,249.0581371143224,11.000736150918565,22.99959921763179,246.89344480076693,34.00081979156672,18.49930316688233,245.958556987074,22.338512895924463,20.781441933051426,157.96121549812068,-4.852359098191702,1100,1,1,0,0,Grillmair2014,48,1100,1100,1,1,0,0
Indus-I24,st,False,Indus,ibata2024,Ibata2024,-,1,1.75,from-Members,0.48,from-Members,0.47,from-Members,-1.0,from-Members,0.0,--------,apparent,90.30922466046692,113.03738687396978,-38.20633803983205,1.000000000000001,318.2232526440284,-51.00518561370933,1.0000000000000009,50.7484794430838,-67.03274612593505,1.0,215.1772813906548,-21.905746848050494,1111,1,1,1,1,Shipp2018,,1111,1111,1,1,1,1
Indus-S19,st,True,Indus,shipp2019,"Shipp2019,Shipp2018",-,1,0.7,from-Members,0.17,from-Members,0.11,from-Members,-1.0,from-Members,0.0,--------,apparent,18.22253703164688,324.14614301137647,-51.96994821434679,16.599999999999994,350.28201037476896,-64.19253416352409,16.600000000000012,335.13066506280194,-58.453272473901215,16.60000000000001,24.80265970219499,21.58022350094879,1011,1,0,1,1,Shipp2018,49,1011,1011,1,0,1,1
