ra,dec,distance,pm_ra_cosdec,pm_dec,radial_velocity,ID,StreamName,TrackName,track_point_index,source_table,point_uid
280.22587880281264,-41.03140510411615,27.65255864361741,0.0,0.0,0.0,1,20.0-1,20.0-1-M18,0,end_points,end_points_0000000
311.5228167599443,-16.281973327905295,25.12672508215169,0.0,0.0,0.0,1,20.0-1,20.0-1-M18,1,end_points,end_points_0000001
151.80000501357952,16.046962361139933,17.963332941831744,-4.440892098500626e-16,-1.1102230246251563e-16,298.52295912771336,2,300S,300S-F18,0,end_points,end_points_0000002
163.17000930877413,14.448968680194918,14.350059975054725,-8.881784197001252e-16,2.220446049250313e-16,288.5960742945197,2,300S,300S-F18,1,end_points,end_points_0000003
8.928510296135647,-20.20628716831248,18.995105354992702,-0.6344932912586935,-0.9409420886064932,-148.98761766536538,3,AAU-ATLAS,AAU-ATLAS-L21,0,end_points,end_points_0000004
30.745903146539856,-33.545163510556115,25.557784325161418,0.1688682817750696,-0.7901862576523198,-54.32088891241594,3,AAU-ATLAS,AAU-ATLAS-L21,1,end_points,end_points_0000005
31.157871414867984,-32.879052435292685,25.60982328595285,0.1723710321843753,-0.7866165944392246,-55.480417142070245,4,AAU-AliqaUma,AAU-AliqaUma-L21,0,end_points,end_points_0000006
40.87617046477374,-38.48681074855997,30.84590462749396,0.2167093263275231,-0.5046522643923932,0.2001459278366376,4,AAU-AliqaUma,AAU-AliqaUma-L21,1,end_points,end_points_0000007
154.39841805705242,80.03816201409792,11.699999999999523,0.7614732611818209,-0.4076250608008924,2.6314897280851058e-15,5,ACS,ACS-R21,0,end_points,end_points_0000008
125.52507630167663,23.95004456548837,11.699999999999068,-0.5675727935135806,-0.5795161854165738,-2.1051917824680845e-15,5,ACS,ACS-R21,1,end_points,end_points_0000009
230.0,-2.0,3.5,0.0,0.0,0.0,6,Acheron,Acheron-G09,0,end_points,end_points_0000010
259.0,21.0,3.8,0.0,0.0,0.0,6,Acheron,Acheron-G09,1,end_points,end_points_0000011
