galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
IC2574,0.85,10.3,0.2,0.0,9.59,0.0,124.81176470588238
IC2574,1.14,12.9,2.7,0.0,11.99,0.0,145.97368421052633
IC2574,1.42,16.4,1.8,0.94,13.83,0.0,189.40845070422534
IC2574,1.71,18.6,2.1,3.44,15.27,0.0,202.31578947368425
IC2574,1.99,19.8,2.0,5.14,16.76,0.0,197.00502512562815
IC2574,2.28,26.1,0.6,5.82,17.77,0.0,298.7763157894737
IC2574,2.55,27.7,2.7,6.87,18.7,0.0,300.89803921568625
IC2574,2.84,29.7,2.6,7.58,19.36,0.0,310.5950704225352
IC2574,3.13,33.0,3.4,8.21,19.89,0.0,347.9233226837061
IC2574,3.41,34.8,1.2,8.78,20.19,0.0,355.1436950146627
IC2574,3.7,35.0,0.9,8.64,20.15,0.0,331.08108108108104
IC2574,3.98,39.0,10.2,7.98,20.39,0.0,382.1608040201005
IC2574,4.26,35.9,5.4,7.97,21.28,0.0,302.537558685446
IC2574,4.55,40.0,4.1,10.01,22.72,0.0,351.64835164835165
IC2574,4.84,38.7,1.4,11.42,24.6,0.0,309.44008264462815
IC2574,5.12,41.8,0.5,12.67,25.34,0.0,341.25781249999994
IC2574,5.41,42.9,0.4,13.13,25.74,0.0,340.1866913123844
IC2574,5.68,44.4,1.7,13.93,26.48,0.0,347.07042253521126
IC2574,5.97,46.1,1.3,14.5,27.15,0.0,355.9815745393635
IC2574,6.26,49.0,0.9,15.98,27.39,0.0,383.54632587859425
IC2574,6.54,51.9,0.6,17.58,27.31,0.0,411.86697247706417
IC2574,6.83,53.1,2.1,18.38,26.75,0.0,412.8272327964861
IC2574,7.1,54.0,0.5,19.29,26.25,0.0,410.7042253521127
IC2574,7.39,55.9,1.1,19.86,26.04,0.0,422.8430311231394
IC2574,7.68,58.8,3.6,21.01,25.86,0.0,450.18749999999994
IC2574,7.96,57.3,4.6,21.81,25.77,0.0,412.4736180904522
IC2574,8.25,54.0,9.0,22.49,25.57,0.0,353.45454545454544
IC2574,8.52,63.8,12.0,22.38,25.47,0.0,477.7511737089202
IC2574,8.81,60.5,6.2,22.6,25.41,0.0,415.4653802497162
IC2574,9.1,61.0,5.7,22.95,25.38,0.0,408.9010989010989
IC2574,9.38,66.0,1.3,23.63,25.51,0.0,464.39232409381657
IC2574,9.67,65.2,3.4,24.89,25.74,0.0,439.6111685625646
IC2574,9.96,67.1,4.7,25.8,24.84,0.0,452.04919678714845
IC2574,10.23,67.5,9.3,27.17,23.97,0.0,445.38123167155425
