galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC02885,1.7,305.0,10.0,0.0,92.31,265.84,54720.58823529412
UGC02885,3.41,257.0,10.0,0.0,152.76,236.42,19369.208211143694
UGC02885,6.82,256.0,10.0,0.0,220.93,175.44,9609.384164222873
UGC02885,13.67,271.0,10.0,0.0,244.9,123.9,5372.421360643745
UGC02885,19.49,282.0,10.0,0.0,240.52,103.77,4080.2462801436636
UGC02885,23.36,287.0,10.0,28.79,238.85,94.78,3526.070205479452
UGC02885,27.24,283.0,10.0,40.2,232.97,87.77,2940.1248164464023
UGC02885,31.22,280.0,10.0,45.05,223.71,81.99,2511.210762331839
UGC02885,35.1,280.0,10.0,50.3,214.74,77.32,2233.6182336182337
UGC02885,38.97,281.0,10.0,59.7,206.96,73.38,2026.1996407492943
UGC02885,42.85,282.0,10.0,67.17,198.69,69.98,1855.8693115519252
UGC02885,46.73,287.0,10.0,65.05,189.07,67.02,1762.6578215279264
UGC02885,50.71,292.0,10.0,71.21,184.25,64.33,1681.4040623151252
UGC02885,54.58,298.0,10.0,79.19,180.41,62.01,1627.0428728471968
UGC02885,58.46,298.0,10.0,83.33,174.83,59.92,1519.0557646253849
UGC02885,62.34,298.0,10.0,83.33,168.07,58.02,1424.510747513635
UGC02885,66.21,298.0,10.0,82.83,162.78,56.3,1341.2475456879627
UGC02885,70.19,298.0,10.0,85.86,158.17,54.68,1265.1944721470295
UGC02885,74.07,298.0,10.0,86.26,152.97,53.23,1198.9199405967329
