galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC07577,0.19,3.74,3.17,-1.81,3.43,0.0,73.61894736842106
UGC07577,0.38,5.4,3.17,-1.88,6.16,0.0,76.73684210526316
UGC07577,0.57,7.31,3.17,1.42,8.66,0.0,93.74754385964913
UGC07577,0.75,8.85,3.17,4.71,10.45,0.0,104.42999999999999
UGC07577,0.94,10.7,3.17,5.82,11.68,0.0,121.79787234042551
UGC07577,1.13,12.4,3.17,6.52,12.49,0.0,136.070796460177
UGC07577,1.32,14.1,3.17,7.99,13.06,0.0,150.61363636363635
UGC07577,1.51,15.9,3.17,8.69,12.91,0.0,167.42384105960264
UGC07577,1.69,17.8,3.17,9.12,11.87,0.0,187.47928994082844
