galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
DDO064,0.1,6.29,4.62,-1.13,1.96,0.0,395.641
DDO064,0.3,13.9,4.62,-2.45,6.31,0.0,644.0333333333334
DDO064,0.49,15.6,4.62,-0.64,9.67,0.0,496.65306122448976
DDO064,0.69,18.4,4.62,2.49,13.92,0.0,490.66666666666663
DDO064,0.89,22.5,4.62,1.87,15.16,0.0,568.8202247191011
DDO064,1.09,26.5,4.62,4.97,16.41,0.0,644.2660550458716
DDO064,1.29,35.3,4.62,9.29,17.34,0.0,965.9612403100773
DDO064,1.48,40.5,4.62,13.62,18.34,0.0,1108.277027027027
DDO064,1.68,44.2,4.89,16.26,19.12,0.0,1162.8809523809525
DDO064,1.88,46.3,4.62,18.16,19.54,0.0,1140.2606382978722
DDO064,2.08,46.4,4.62,19.64,19.1,0.0,1035.076923076923
DDO064,2.27,46.3,4.62,20.17,18.77,0.0,944.3568281938324
DDO064,2.37,46.4,6.73,20.59,18.61,0.0,908.42194092827
DDO064,2.98,46.9,8.65,22.17,17.21,0.0,738.1241610738253
