galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F563-V2,0.28,11.9,7.89,0.95,6.22,0.0,505.75
F563-V2,0.87,34.8,7.89,2.93,17.64,0.0,1391.9999999999998
F563-V2,1.46,58.5,8.68,4.98,27.33,0.0,2344.0068493150684
F563-V2,2.05,81.5,14.2,7.2,35.16,0.0,3240.1219512195125
F563-V2,2.35,91.8,17.5,8.24,37.71,0.0,3586.059574468085
F563-V2,4.76,114.0,8.68,16.62,45.06,0.0,2730.2521008403364
F563-V2,7.86,116.0,8.68,34.33,41.16,0.0,1711.9592875318065
F563-V2,8.7,117.0,16.6,39.57,40.09,0.0,1573.448275862069
F563-V2,10.18,118.0,51.9,39.57,38.11,0.0,1367.779960707269
F563-V2,10.47,118.0,40.3,39.57,37.78,0.0,1329.8949379178605
