galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC3726,3.5,102.0,7.0,0.0,138.23,0.0,2972.5714285714284
NGC3726,5.24,125.0,6.1,0.0,163.99,0.0,2981.8702290076335
NGC3726,6.98,145.0,4.9,8.76,177.95,0.0,3012.177650429799
NGC3726,8.72,164.0,3.9,23.82,182.72,0.0,3084.40366972477
NGC3726,10.47,162.0,4.8,31.14,173.68,0.0,2506.590257879656
NGC3726,12.19,160.0,4.8,37.29,166.41,0.0,2100.082034454471
NGC3726,13.94,156.0,4.8,46.45,159.41,0.0,1745.767575322812
NGC3726,16.03,146.0,4.85,53.13,148.01,0.0,1329.75670617592
NGC3726,22.3,158.0,4.9,48.17,124.21,0.0,1119.4618834080718
NGC3726,27.52,168.0,10.6,42.67,109.5,0.0,1025.5813953488373
NGC3726,30.08,169.0,10.6,40.52,103.96,0.0,949.5013297872341
NGC3726,32.52,167.0,15.2,39.01,99.53,0.0,857.5953259532595
