galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC01281,0.08,1.41,4.0,-5.85,1.5,0.0,24.851249999999997
UGC01281,0.23,4.46,4.0,-5.85,3.55,0.0,86.48521739130435
UGC01281,0.38,7.71,4.0,-0.98,5.31,0.0,156.43184210526314
UGC01281,0.54,11.0,4.0,-2.22,8.22,0.0,224.07407407407405
UGC01281,0.69,14.2,4.0,-3.47,10.22,0.0,292.231884057971
UGC01281,0.84,17.2,5.78,-4.43,12.07,0.0,352.19047619047615
UGC01281,1.0,20.2,4.74,-5.15,13.91,0.0,408.03999999999996
UGC01281,1.15,23.2,4.0,-5.85,15.41,0.0,468.0347826086957
UGC01281,1.3,26.4,7.13,-1.76,16.74,0.0,536.1230769230768
UGC01281,1.46,29.3,4.38,2.33,17.86,0.0,588.0068493150685
UGC01281,1.61,31.6,4.94,5.46,18.77,0.0,620.223602484472
UGC01281,1.76,34.6,4.0,7.63,19.16,0.0,680.2045454545455
UGC01281,1.92,37.4,7.09,9.79,19.52,0.0,728.5208333333334
UGC01281,2.07,39.9,4.0,11.26,19.66,0.0,769.0869565217392
UGC01281,2.22,42.2,4.37,12.73,19.81,0.0,802.1801801801802
UGC01281,2.38,44.4,4.58,13.9,19.88,0.0,828.3025210084033
UGC01281,2.53,46.7,5.91,14.68,20.02,0.0,862.0118577075101
UGC01281,2.68,48.5,7.72,15.47,19.97,0.0,877.7052238805969
UGC01281,2.76,49.3,9.73,15.76,19.92,0.0,880.6123188405797
UGC01281,3.07,53.0,4.0,16.84,19.61,0.0,914.983713355049
UGC01281,3.46,54.1,4.0,18.3,19.28,0.0,845.8988439306358
UGC01281,3.83,55.0,4.0,18.5,18.95,0.0,789.8172323759791
UGC01281,4.23,55.7,4.0,18.21,18.54,0.0,733.4491725768321
UGC01281,4.62,56.4,4.0,19.58,18.33,0.0,688.5194805194806
UGC01281,4.99,56.9,4.0,20.46,18.23,0.0,648.819639278557
