galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F571-8,0.22,12.4,7.0,0.92,38.29,0.0,698.909090909091
F571-8,0.78,37.5,4.0,2.67,85.69,0.0,1802.8846153846152
F571-8,1.33,56.5,4.0,3.9,104.0,0.0,2400.187969924812
F571-8,2.33,69.1,4.0,5.34,114.45,0.0,2049.2746781115875
F571-8,3.44,85.5,7.5,7.09,107.32,0.0,2125.0726744186045
F571-8,3.78,87.1,8.4,7.29,103.7,0.0,2006.9867724867722
F571-8,4.77,105.0,4.0,8.42,92.03,0.0,2311.3207547169814
F571-8,5.44,112.0,6.7,8.94,86.43,0.0,2305.882352941176
F571-8,6.11,116.0,4.0,9.45,81.42,0.0,2202.291325695581
F571-8,7.22,124.0,4.0,10.47,76.23,0.0,2129.639889196676
F571-8,9.33,135.0,4.0,11.28,68.45,0.0,1953.3762057877814
F571-8,11.1,140.0,4.0,11.8,64.24,0.0,1765.7657657657658
F571-8,15.55,144.0,5.0,11.28,55.43,0.0,1333.5048231511253
