galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F568-V1,0.39,17.4,30.4,-1.11,12.25,0.0,776.3076923076922
F568-V1,1.18,46.3,37.1,-2.76,28.99,0.0,1816.686440677966
F568-V1,1.95,69.1,13.1,-2.63,34.78,0.0,2448.6205128205124
F568-V1,2.74,85.2,6.2,-0.03,37.08,0.0,2649.284671532847
F568-V1,3.53,93.2,6.2,3.84,41.2,0.0,2460.691218130312
F568-V1,4.3,100.0,12.4,7.34,44.37,0.0,2325.5813953488373
F568-V1,5.09,108.0,6.2,9.92,45.35,0.0,2291.5520628683694
F568-V1,5.87,112.0,6.2,12.15,44.94,0.0,2136.9676320272574
F568-V1,6.4,113.0,24.9,13.65,45.12,0.0,1995.15625
F568-V1,7.44,113.0,15.5,17.06,45.76,0.0,1716.263440860215
F568-V1,8.21,112.0,13.1,19.87,46.01,0.0,1527.8928136419
F568-V1,9.0,111.0,26.4,22.99,44.52,0.0,1369.0
F568-V1,9.72,111.0,19.4,26.1,43.69,0.0,1267.5925925925926
F568-V1,11.79,113.0,12.5,34.23,40.77,0.0,1083.0364715860899
F568-V1,17.63,118.0,14.6,36.03,33.12,0.0,789.7901304594442
