galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC2683,2.89,189.0,10.0,7.68,203.92,89.57,12360.207612456747
NGC2683,5.77,212.0,5.0,21.36,229.24,63.44,7789.254766031197
NGC2683,8.66,206.0,5.0,17.89,197.87,51.78,4900.230946882217
NGC2683,11.54,200.0,5.0,24.41,185.0,44.86,3466.2045060658584
NGC2683,14.43,172.0,12.0,25.8,159.52,40.12,2050.1732501732504
NGC2683,17.31,190.0,10.0,25.8,143.29,36.63,2085.4997111496245
NGC2683,20.2,169.0,10.0,23.72,130.86,33.91,1413.9108910891089
NGC2683,23.08,150.0,10.0,20.53,121.26,31.72,974.8700173310226
NGC2683,28.85,160.0,10.0,17.48,107.36,28.37,887.3483535528595
NGC2683,31.74,155.0,10.0,16.5,102.03,27.05,756.9313169502205
NGC2683,34.62,151.0,12.0,15.67,97.49,25.9,658.6077411900636
