galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC08286,0.47,22.2,2.81,-3.85,16.14,0.0,1048.595744680851
UGC08286,0.95,43.4,3.47,-1.38,24.37,0.0,1982.6947368421054
UGC08286,1.42,60.2,3.04,-0.63,30.01,0.0,2552.140845070423
UGC08286,1.9,69.6,2.05,8.67,34.64,0.0,2549.5578947368417
UGC08286,2.37,72.5,2.0,11.4,38.52,0.0,2217.827004219409
UGC08286,2.84,74.3,2.02,11.54,39.29,0.0,1943.8345070422536
UGC08286,3.3,75.8,2.01,12.92,40.32,0.0,1741.1030303030302
UGC08286,3.78,77.2,2.05,16.18,39.87,0.0,1576.6772486772488
UGC08286,4.25,79.3,2.08,18.85,39.64,0.0,1479.6447058823528
UGC08286,4.73,81.3,2.08,23.39,37.47,0.0,1397.397463002114
UGC08286,5.2,81.6,2.03,23.16,35.37,0.0,1280.4923076923076
UGC08286,5.67,82.1,2.02,23.39,33.69,0.0,1188.784832451499
UGC08286,6.15,82.9,2.0,22.11,32.23,0.0,1117.4650406504065
UGC08286,6.62,83.2,2.0,22.46,30.9,0.0,1045.6555891238672
UGC08286,7.1,83.5,2.02,26.07,29.56,0.0,982.0070422535211
UGC08286,7.57,83.8,2.0,25.72,28.4,0.0,927.6671070013209
UGC08286,8.04,84.3,2.0,26.3,27.44,0.0,883.8917910447761
