galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,388.6530612244899
DDO154,0.99,21.6,0.8,7.46,14.55,0.0,471.2727272727273
DDO154,1.48,28.9,0.7,10.87,12.95,0.0,564.331081081081
DDO154,1.97,34.3,0.5,13.32,11.54,0.0,597.2030456852791
DDO154,2.47,38.2,0.4,14.77,10.18,0.0,590.7854251012146
DDO154,2.96,42.0,0.2,16.2,9.16,0.0,595.9459459459459
DDO154,3.46,44.6,0.2,17.6,8.37,0.0,574.9017341040462
DDO154,3.95,46.3,0.2,17.91,7.77,0.0,542.706329113924
DDO154,4.44,47.4,0.3,17.48,7.29,0.0,506.0270270270269
DDO154,4.94,48.2,0.6,16.93,6.89,0.0,470.2914979757085
DDO154,5.43,47.4,0.7,16.28,6.55,0.0,413.76795580110496
DDO154,5.92,45.5,1.3,15.64,6.26,0.0,349.7043918918919
