galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC5055,0.72,125.0,17.6,2.2,201.48,0.0,21701.38888888889
NGC5055,1.43,162.0,8.5,3.72,240.13,0.0,18352.447552447553
NGC5055,2.16,178.0,5.22,4.09,263.27,0.0,14668.518518518518
NGC5055,2.87,193.0,1.88,5.34,280.74,0.0,12978.745644599303
NGC5055,3.59,192.0,3.59,6.03,273.32,0.0,10268.523676880222
NGC5055,4.3,190.0,0.97,5.11,272.18,0.0,8395.348837209303
NGC5055,5.03,195.0,0.99,8.42,273.73,0.0,7559.642147117296
NGC5055,5.75,201.0,0.45,14.42,276.2,0.0,7026.260869565217
NGC5055,6.46,204.0,0.81,19.11,279.72,0.0,6442.105263157895
NGC5055,7.18,204.0,0.65,22.51,275.62,0.0,5796.100278551532
NGC5055,7.91,206.0,0.66,25.8,271.43,0.0,5364.8546144121365
NGC5055,8.62,206.0,1.54,28.49,267.09,0.0,4922.9698375870075
NGC5055,11.49,206.0,1.9,33.07,245.58,0.0,3693.2985204525676
NGC5055,14.3,206.0,0.42,45.73,225.03,0.0,2967.5524475524476
NGC5055,17.19,203.0,4.19,47.26,208.52,0.0,2397.265852239674
NGC5055,20.07,200.0,1.23,44.56,190.41,0.0,1993.0244145490783
NGC5055,22.96,194.0,4.09,40.45,175.86,0.0,1639.198606271777
NGC5055,25.85,188.0,5.2,37.41,164.23,0.0,1367.2727272727273
NGC5055,28.74,184.0,1.16,38.46,154.38,0.0,1178.0097425191373
NGC5055,31.62,182.0,2.47,40.22,146.2,0.0,1047.5648323845667
NGC5055,34.51,180.0,3.85,42.57,139.3,0.0,938.8583019414663
NGC5055,37.4,181.0,8.43,40.57,133.34,0.0,875.9625668449198
NGC5055,40.29,180.0,4.55,41.86,128.12,0.0,804.1697691734922
NGC5055,43.17,179.0,0.44,42.92,123.52,0.0,742.2052351169793
NGC5055,45.92,179.0,1.96,44.68,119.59,0.0,697.756968641115
NGC5055,48.81,179.0,2.99,44.56,115.83,0.0,656.4433517721778
NGC5055,51.7,174.0,3.39,43.74,112.43,0.0,585.6092843326885
NGC5055,54.59,172.0,4.84,41.74,109.32,0.0,541.9307565488184
