galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs_mean,eta_obs_std,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,9,2,2.2841906530715903,0.10762250956485397,0.15180946286566027,0.3835686230874787,0.1194518339556493,0.3263395853481885,0.10626482192342107,-0.9396980784798022,0.6164313769125213,0.11945183395564926,1.9769999999999999,75300744.96280545
ESO563-G021,26,5,2.0898387264367373,0.017069328710298003,9.589525437365252e-10,0.33116974914171543,0.1923387268902164,0.34001203252250595,0.1560493834614996,0.4732471813359047,0.6688302508582846,0.19233872689021642,8.5,4972515764.711152
IC4202,28,5,2.147029425853597,0.036824752083930566,0.0003804181291224536,0.39855682600049885,0.10918172841915438,0.2410148019734089,0.10300977047287788,0.11270011877353596,0.601443173999501,0.10918172841915438,3.9700000000000006,870273012.8993666
NGC0100,17,5,2.405069179446495,0.1359863979797785,0.2795102686227423,0.35546531126204256,0.07671941185480287,0.30512000175676945,0.11834647685543397,0.8488967592748136,0.6445346887379576,0.07671941185480287,2.0,56584745.922046766
NGC2403,69,5,2.1830250312414097,0.074618590735259,0.07111330903866815,0.3828844493355583,0.1571063804996429,0.21219374222185824,0.10050984391214277,0.6236094161354944,0.6171155506644415,0.1571063804996429,3.38,1357749636.4929445
NGC2683,10,2,2.2029389564334108,0.1849904057081675,0.22634290675663676,0.4161929010226233,0.08040280382074862,0.18324459176092853,0.08256133021708749,0.7579917498676778,0.5838070989773767,0.08040280382074866,14.424999999999999,24312998.44047567
NGC2841,46,5,2.1636952457552936,0.07485608749846331,0.07305374978016702,0.3549573501266712,0.15792621557172082,0.25402384559994196,0.11298138024195184,0.8239560556111893,0.6450426498733289,0.15792621557172085,12.240000000000002,607651636.969469
NGC2998,11,3,2.226069473156314,0.22787037020636713,0.39393741734120113,0.38796126879464,0.17288917820062574,0.19029386397380232,0.0771474090901214,0.14077164481576,0.61203873120536,0.17288917820062574,13.850000000000001,222861850.65588945
NGC3198,39,5,2.1754597816309404,0.0728659060543857,0.0492310045461115,0.36214509421307106,0.15428902499583305,0.26425411369856583,0.1225169746336472,0.5858666344256557,0.6378549057869294,0.15428902499583305,5.259999999999999,284176339.1599391
NGC3769,10,3,2.1412520781800217,0.12213373364093894,0.08457091851185333,0.38013569656221347,0.16392543612159113,0.33186830768466413,0.14244320249329523,0.6881651291771329,0.6198643034377866,0.16392543612159116,5.799999999999999,123821242.45870626
NGC3917,14,4,2.225375092504513,0.05441203105514447,0.00997494124959658,0.39558793122143404,0.14105294014225747,0.21584548466374678,0.08100757475576471,-0.32931960170986907,0.6044120687785659,0.14105294014225747,2.6250000000000004,168121561.79605794
NGC4010,10,3,2.334579553007335,0.09769311973896277,0.2722955949781994,0.3530558468474919,0.07751702567675103,0.16044310470009046,0.06137212217962721,0.8582053492137444,0.6469441531525081,0.07751702567675103,2.620000000000001,91188656.95228384
NGC4013,32,5,2.1252709714603166,0.04196591875538851,0.004618575667509331,0.3927769524840621,0.13973736106362752,0.1913169977793761,0.08727965536905796,0.738463004078292,0.6072230475159379,0.13973736106362755,4.42,610229883.7962602
NGC4068,6,1,2.295121031684408,0.0,0.0,0.0,0.0,0.23167014543970335,0.0,,0.5977199793976572,0.0,2.12,72804900.72936271
NGC4088,10,3,2.12109938500992,0.04497484612552172,0.00022914777947450672,0.34500111426863356,0.17550971373497282,0.2720048951816609,0.11790828487344603,0.7471511766835662,0.6549988857313664,0.17550971373497287,5.24,1338497201.579239
NGC4157,14,4,2.2268638059964565,0.08784681531381872,0.1138675208904642,0.39516788504675826,0.15765852025717494,0.2192733071215455,0.07853534676125948,-0.3738214547868931,0.6048321149532417,0.15765852025717492,5.2299999999999995,119491006.83341289
NGC4183,19,5,2.2514120650391183,0.060720913255322806,0.05244233168955255,0.3825007810353757,0.11766914955461107,0.3040036737626113,0.11989996500271534,0.38611909307376274,0.6174992189646242,0.11766914955461101,3.5,41664180.60558628
NGC4389,6,1,2.2294507833895354,0.0,0.0,0.0,0.0,0.9893533787901543,0.0,,0.5977199793976572,0.0,4.45,366126910.5563718
NGC5907,16,4,2.16086671598128,0.042164677820171026,0.001221634214041191,0.3930018865331081,0.15423054003406256,0.1752194298352236,0.07967858936241885,0.6342129061084727,0.6069981134668919,0.15423054003406259,10.07,56853720.71159631
NGC5985,29,5,2.1409455579805514,0.03513319032728783,0.0009233879370471957,0.40806874494714396,0.15736373877569962,0.28015358715160427,0.11576207591150688,0.21750363674606726,0.591931255052856,0.15736373877569962,4.4799999999999995,480240442.70134723
UGC01281,21,5,2.7305281114276942,0.15404777325245989,0.2535493520291553,0.35569147304187876,0.12922529312727354,0.5541055778214945,0.2246404918366364,0.34494840144391353,0.644308526958121,0.12922529312727354,2.0,9546723.325059151
UGC04278,21,5,2.51498757826277,0.13012459440714066,0.32218601846575334,0.4379683657858343,0.11299134547170202,0.3644934326705441,0.17121137134596118,0.8669280938810678,0.5620316342141658,0.11299134547170202,2.0,31383623.388630666
UGC05721,19,5,2.3963527282698665,0.1966704196372869,0.2929949966336279,0.3563002957390631,0.16973319964841135,0.4308704316953633,0.18189196362826593,0.8963226302093178,0.6436997042609368,0.16973319964841135,2.0,338250959.87158346
UGC05750,10,2,2.2002487898092395,0.1932360320039792,0.23904499327883333,0.4161929010226233,0.08040280382074866,0.32353282463730815,0.14102797038372242,0.795617654963578,0.5838070989773767,0.08040280382074866,10.905000000000001,8696545.294549238
UGC05986,13,3,2.188879812817919,0.053765618297356266,0.0030456423242588605,0.34561859022579794,0.21034399527949027,0.3346199314463392,0.09075193404017044,-0.9226876313381386,0.6543814097742022,0.21034399527949027,2.51,280998407.210728
UGC06667,8,2,2.3504146211299335,0.10136600556891029,0.25779742000741773,0.32213410250206165,0.2299064188955615,0.6642593806804574,0.2265022630637849,0.921957444585913,0.6778658974979384,0.2299064188955614,3.0549999999999997,5283780.848382281
UGC06917,10,2,2.1740266272968984,0.07270884445441439,0.012738130554513515,0.4161929010226233,0.08040280382074862,0.28465734972554546,0.12425683257465318,0.7498751512943861,0.5838070989773767,0.08040280382074866,3.93,130149362.79198126
UGC07089,10,3,2.3338375871639054,0.07698665255659609,0.18296593697548383,0.3543972717027983,0.07414413310863273,0.17795585336467523,0.06376928413455253,0.08958513320323987,0.6456027282972017,0.07414413310863273,2.1799999999999997,33142347.834162552
UGC08490,26,5,2.222434101871907,0.08362784794122322,0.16614888805889064,0.3863708316892075,0.1515308659496165,0.47581375458920994,0.19937968230885147,0.8616443967682222,0.6136291683107926,0.15153086594961646,2.0,141319636.07975358
UGC08837,7,2,2.241079153589413,0.01627559377506227,1.39051693831611e-07,0.34757478054688135,0.2350109170806937,0.24710181763365166,0.08995302635390465,0.10014637080203491,0.6524252194531186,0.23501091708069366,2.0,115412041.66949572
UGC12506,27,5,2.092870371169788,0.021903421893353904,1.957593767483797e-07,0.3818973080420073,0.16855041471461796,0.3529931238728141,0.1385955113422343,0.2649881375232342,0.6181026919579927,0.16855041471461793,8.200000000000001,399782756.29640204
UGCA281,7,1,2.9796012274239456,0.0,0.0,0.0,0.0,0.2810938055873572,0.0,,0.5977199793976572,0.0,0.9900000000010001,18274882.84595335
