paper_source,table_id,component_label,time_reference,time_value,observation_date,angular_radius_arcsec,angular_radius_err_arcsec,offset_arcsec,offset_err_arcsec,foreground_distance_pc,foreground_distance_err_pc,projected_radius_pc,projected_radius_err_pc,scattering_angle_deg,scattering_angle_err_deg
Yang2017,Table4,Arc,days_since_B_band_maximum,215.8,2014-09-05,0.539,0.02,0.009,0.014,234.6,18.2,9.22,0.36,2.25,0.2
Yang2017,Table4,Arc,days_since_B_band_maximum,276.5,2014-11-06,0.599,0.014,0.006,0.015,226.3,11.8,10.25,0.27,2.6,0.15
Yang2017,Table4,Arc,days_since_B_band_maximum,365.3,2015-02-02,0.689,0.02,0.011,0.014,226.4,14.1,11.79,0.37,2.98,0.21
Yang2017,Table4,Arc,days_since_B_band_maximum,415.6,2015-03-27,0.735,0.012,0.012,0.01,226.6,9.0,12.58,0.25,3.18,0.14
