dataset,shell,shell_center_kpc,n_shell,D_bg_reference,D_halo_shell,Sigma_bg_shell,sigma_local_mean_shell,sigma_local_spread_shell,Sigma_shell_effective,lambda_structural_spread,observed_series_source,standard_series_source,standard_source_path,observed_variance_shell,standard_variance_shell,residual_observed_minus_standard,n_stream_points_overlap,n_unique_tracks_overlap,n_unique_streams_overlap,dominant_halo_usefulness_label,dominant_InfoFlags_str,stream_richness_flag,topological_gradient_term_bg,topological_gradient_term_effective,coupling_shell_diagnostic,coupling_shell_diagnostic_valid,shell_caution_label
5d,5-10,7.5,8610,3.0,2.4143003188793175,-0.5856996811206825,4.785706326807216e-16,0.3389588733622,-0.2467408077584825,1.0,vt_total_proxy_kms_soft,standard_vt_variance_shell_model,C:\Users\mincu\Desktop\topological_gravity_project\results\Our galaxy Halo Stellar Kinematics\output\standard\gaia_rrlyrae_5d_standard_shells.csv,19969.820666005413,4262.495891729064,15707.324774276349,71506,28,28,A_full_6D_like,1111,medium,0.00317097854881645,0.00339219924962475,4630425.166214489,True,stream_moderate_shell
5d,10-20,15.0,7593,3.0,2.390517979763194,-0.6094820202368059,-3.2416063986692504e-16,0.33729971810613774,-0.27218230213066813,1.0,vt_total_proxy_kms_soft,standard_vt_variance_shell_model,C:\Users\mincu\Desktop\topological_gravity_project\results\Our galaxy Halo Stellar Kinematics\output\standard\gaia_rrlyrae_5d_standard_shells.csv,30165.229927636065,42850.694628720536,-12685.464701084471,109642,48,48,B_partial_dynamic,1111,high,0.005952396063690646,0.0045286530673520585,-2801156.218509308,True,stream_rich_shell
5d,20-40,30.0,3458,3.0,2.3012320388078344,-0.6987679611921656,-1.1228065812533958e-16,0.35865586305121655,-0.340112098140949,1.0,vt_total_proxy_kms_soft,standard_vt_variance_shell_model,C:\Users\mincu\Desktop\topological_gravity_project\results\Our galaxy Halo Stellar Kinematics\output\standard\gaia_rrlyrae_5d_standard_shells.csv,91847.04710541131,430776.2580432704,-338929.2109378591,87098,28,28,B_partial_dynamic,1110,high,0.003547613850748643,0.0023171892636075515,-146267383.61897635,True,stream_rich_shell
5d,40-80,60.0,1512,3.0,2.194803623285375,-0.8051963767146249,-8.587211878868279e-18,0.3955686006654493,-0.40962777604917555,1.0,vt_total_proxy_kms_soft,standard_vt_variance_shell_model,C:\Users\mincu\Desktop\topological_gravity_project\results\Our galaxy Halo Stellar Kinematics\output\standard\gaia_rrlyrae_5d_standard_shells.csv,241909.23611924233,4330575.877511799,-4088666.641392557,8861,4,4,B_partial_dynamic,1110,low,0.0025382769343205934,0.0009061000241353187,-4512378912.354987,True,nominal_shell
5d,80+,100.0,1344,3.0,2.0932725459125514,-0.9067274540874486,7.636655715640824e-17,0.4608556770728603,-0.4458717770145883,1.0,vt_total_proxy_kms_soft,standard_vt_variance_shell_model,C:\Users\mincu\Desktop\topological_gravity_project\results\Our galaxy Halo Stellar Kinematics\output\standard\gaia_rrlyrae_5d_standard_shells.csv,603980010.5888257,23724756.66872477,580255253.9201009,60,1,1,D_minimal,1000,low,0.0025382769343205934,0.0009061000241353187,640387637638.3856,True,nominal_shell
