r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,a_i,psi_i,g_scale_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
1.92,37.4,21.837456353705665,7.09,UGC01281,9.79,19.52,0.0,728.5208333333334,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,3,0.35,3.053154927176737,3.035635662183777,0.017519264992960082,1.0,0.024522053924496752,1.0,1.1108470482616746,0.35786564820197825,0.5,0.3837675350701403,0.3837675350701403,0.31818710071400946,244.8558718680204,2.5597046914113992,248.37213541666662,250.93184010807803,21.94969551058761,15.450304489412389,15.562543646294333
2.07,39.9,22.656195620624395,4.0,UGC01281,11.26,19.66,0.0,769.0869565217392,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,3,0.35,3.053154927176737,3.035635662183777,0.017519264992960082,1.0,0.024522053924496752,1.0,1.1108470482616746,0.35786564820197825,0.5,0.3837675350701403,0.3837675350701403,0.31818710071400946,244.8558718680204,2.5597046914113992,247.97256038647348,250.5322650778849,22.772830054940947,17.12716994505905,17.243804379375604
2.38,44.4,24.25746070799662,4.58,UGC01281,13.9,19.88,0.0,828.3025210084033,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,4,0.35,3.037418835336072,3.035635662183777,0.0017831731522952587,0.1017835595849373,0.0024964372270962487,1.0,1.0989825067530399,0.2678893591940335,0.5,0.5460921843687374,0.5460921843687374,0.4201582166601536,231.75013253015703,0.3472141230047529,247.23714285714286,247.58435698014762,24.274488040178134,20.125511959821864,20.142539292003377
2.53,46.7,24.82544662236714,5.91,UGC01281,14.68,20.02,0.0,862.0118577075101,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,4,0.35,3.037418835336072,3.035635662183777,0.0017831731522952587,0.1017835595849373,0.0024964372270962487,1.0,1.0989825067530399,0.2678893591940335,0.5,0.5460921843687374,0.5460921843687374,0.4201582166601536,231.75013253015703,0.3472141230047529,243.59794466403162,243.94515878703638,24.843132888812594,21.85686711118741,21.874553377632864
2.68,48.5,25.26107281965673,7.72,UGC01281,15.47,19.97,0.0,877.7052238805969,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,4,0.35,3.037418835336072,3.035635662183777,0.0017831731522952587,0.1017835595849373,0.0024964372270962487,1.0,1.0989825067530399,0.2678893591940335,0.5,0.5460921843687374,0.5460921843687374,0.4201582166601536,231.75013253015703,0.3472141230047529,238.1051492537313,238.45236337673606,25.27948444588324,23.22051555411676,23.23892718034327
2.76,49.3,25.400472436551254,9.73,UGC01281,15.76,19.92,0.0,880.6123188405797,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,4,0.35,3.037418835336072,3.035635662183777,0.0017831731522952587,0.1017835595849373,0.0024964372270962487,1.0,1.0989825067530399,0.2678893591940335,0.5,0.5460921843687374,0.5460921843687374,0.4201582166601536,231.75013253015703,0.3472141230047529,233.76231884057972,234.10953296358448,25.419329475410894,23.880670524589103,23.899527563448743
3.46,54.1,26.58210676376122,4.0,UGC01281,18.3,19.28,0.0,845.8988439306358,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,5,0.35,3.023172615954869,3.035635662183777,-0.012463046228907704,-0.7113909307220273,-0.017446494274872375,1.0,1.0807921615183582,0.17560470153271013,0.5,0.846693386773547,0.846693386773547,0.5704426417892609,168.32901457338662,-2.6874197668426665,204.2220809248555,201.53466115801282,26.406626585134354,27.693373414865647,27.51789323623878
3.83,55.0,26.48306062372701,4.0,UGC01281,18.5,18.95,0.0,789.8172323759791,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,5,0.35,3.023172615954869,3.035635662183777,-0.012463046228907704,-0.7113909307220273,-0.017446494274872375,1.0,1.0807921615183582,0.17560470153271013,0.5,0.846693386773547,0.846693386773547,0.5704426417892609,168.32901457338662,-2.6874197668426665,183.1207571801567,180.433337413314,26.28801404239188,28.71198595760812,28.51693937627299
4.23,55.7,25.987221859983418,4.0,UGC01281,18.21,18.54,0.0,733.4491725768321,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,5,0.35,3.023172615954869,3.035635662183777,-0.012463046228907704,-0.7113909307220273,-0.017446494274872375,1.0,1.0807921615183582,0.17560470153271013,0.5,0.846693386773547,0.846693386773547,0.5704426417892609,168.32901457338662,-2.6874197668426665,159.65382978723403,156.96641002039135,25.767574864279634,29.93242513572037,29.712778140016585
4.62,56.4,26.820986186193824,4.0,UGC01281,19.58,18.33,0.0,688.5194805194806,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,5,0.35,3.023172615954869,3.035635662183777,-0.012463046228907704,-0.7113909307220273,-0.017446494274872375,1.0,1.0807921615183582,0.17560470153271013,0.5,0.846693386773547,0.846693386773547,0.5704426417892609,168.32901457338662,-2.6874197668426665,155.70677489177487,153.0193551249322,26.588520467998716,29.811479532001282,29.579013813806174
4.99,56.9,27.403366581498705,4.0,UGC01281,20.46,18.23,0.0,648.819639278557,UGC01281,UGC1281,Bizyaev_2014,,False,unique_to_2014,NED,,EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,5,0.35,3.023172615954869,3.035635662183777,-0.012463046228907704,-0.7113909307220273,-0.017446494274872375,1.0,1.0807921615183582,0.17560470153271013,0.5,0.846693386773547,0.846693386773547,0.5704426417892609,168.32901457338662,-2.6874197668426665,150.48987975951906,147.80245999267638,27.157582281260883,29.742417718739116,29.496633418501293
