galaxy_id,filename,catalog_prefix,catalog_number,name_normalized,row_count
CamB,CamB.csv,CAMB,,CAMB,9
D512-2,D512-2.csv,OTHER,512-2,D5122,4
D564-8,D564-8.csv,OTHER,564-8,D5648,6
D631-7,D631-7.csv,OTHER,631-7,D6317,16
DDO064,DDO064.csv,DDO,064,DDO064,14
DDO154,DDO154.csv,DDO,154,DDO154,12
DDO161,DDO161.csv,DDO,161,DDO161,31
DDO168,DDO168.csv,DDO,168,DDO168,10
DDO170,DDO170.csv,DDO,170,DDO170,8
ESO079-G014,ESO079-G014.csv,ESO,079-G014,ESO079G014,15
ESO116-G012,ESO116-G012.csv,ESO,116-G012,ESO116G012,15
ESO444-G084,ESO444-G084.csv,ESO,444-G084,ESO444G084,7
ESO563-G021,ESO563-G021.csv,ESO,563-G021,ESO563G021,30
F561-1,F561-1.csv,F,561-1,F5611,6
F563-1,F563-1.csv,F,563-1,F5631,17
F563-V1,F563-V1.csv,F,563-V1,F563V1,6
F563-V2,F563-V2.csv,F,563-V2,F563V2,10
F565-V2,F565-V2.csv,F,565-V2,F565V2,7
F567-2,F567-2.csv,F,567-2,F5672,5
F568-1,F568-1.csv,F,568-1,F5681,12
F568-3,F568-3.csv,F,568-3,F5683,18
F568-V1,F568-V1.csv,F,568-V1,F568V1,15
F571-8,F571-8.csv,F,571-8,F5718,13
F571-V1,F571-V1.csv,F,571-V1,F571V1,7
F574-1,F574-1.csv,F,574-1,F5741,14
F574-2,F574-2.csv,F,574-2,F5742,5
F579-V1,F579-V1.csv,F,579-V1,F579V1,14
F583-1,F583-1.csv,F,583-1,F5831,25
F583-4,F583-4.csv,F,583-4,F5834,12
IC4202,IC4202.csv,IC,4202,IC4202,32
KK98-251,KK98-251.csv,KK,98-251,KK98251,15
NGC0801,NGC0801.csv,NGC,0801,NGC0801,13
NGC0891,NGC0891.csv,NGC,0891,NGC0891,18
NGC1003,NGC1003.csv,NGC,1003,NGC1003,36
NGC2366,NGC2366.csv,NGC,2366,NGC2366,26
NGC2403,NGC2403.csv,NGC,2403,NGC2403,73
NGC2915,NGC2915.csv,NGC,2915,NGC2915,30
NGC2955,NGC2955.csv,NGC,2955,NGC2955,24
NGC2998,NGC2998.csv,NGC,2998,NGC2998,13
NGC3109,NGC3109.csv,NGC,3109,NGC3109,25
NGC3741,NGC3741.csv,NGC,3741,NGC3741,21
NGC6195,NGC6195.csv,NGC,6195,NGC6195,23
NGC6674,NGC6674.csv,NGC,6674,NGC6674,15
NGC6789,NGC6789.csv,NGC,6789,NGC6789,4
NGC6946,NGC6946.csv,NGC,6946,NGC6946,58
NGC7331,NGC7331.csv,NGC,7331,NGC7331,36
PGC51017,PGC51017.csv,PGC,51017,PGC51017,6
UGC00128,UGC00128.csv,UGC,00128,UGC00128,22
UGC00731,UGC00731.csv,UGC,00731,UGC00731,12
UGC01230,UGC01230.csv,UGC,01230,UGC01230,11
UGC01281,UGC01281.csv,UGC,01281,UGC01281,25
UGC02023,UGC02023.csv,UGC,02023,UGC02023,5
UGC02259,UGC02259.csv,UGC,02259,UGC02259,8
UGC02455,UGC02455.csv,UGC,02455,UGC02455,8
UGC02487,UGC02487.csv,UGC,02487,UGC02487,17
UGC02885,UGC02885.csv,UGC,02885,UGC02885,19
UGC02916,UGC02916.csv,UGC,02916,UGC02916,43
UGC02953,UGC02953.csv,UGC,02953,UGC02953,115
UGC03205,UGC03205.csv,UGC,03205,UGC03205,48
UGC03546,UGC03546.csv,UGC,03546,UGC03546,30
UGC03580,UGC03580.csv,UGC,03580,UGC03580,47
UGC04278,UGC04278.csv,UGC,04278,UGC04278,25
UGC04325,UGC04325.csv,UGC,04325,UGC04325,8
UGC05005,UGC05005.csv,UGC,05005,UGC05005,11
UGC05253,UGC05253.csv,UGC,05253,UGC05253,73
UGC05414,UGC05414.csv,UGC,05414,UGC05414,6
UGC05716,UGC05716.csv,UGC,05716,UGC05716,12
UGC05721,UGC05721.csv,UGC,05721,UGC05721,23
UGC05750,UGC05750.csv,UGC,05750,UGC05750,11
UGC05986,UGC05986.csv,UGC,05986,UGC05986,15
