galaxy,matched_sparc_name,h_kpc_source,v_vis_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.45,18.9,65.19,1.38,0.45,42.41,0.8900000000000001,2.609238575955086,0.0,0.21997883505866708,1.0,6.808125946252124,6.059232092164391,0.00012866517529040437,0.007609160852596163,65.19000044408136,-46.290000444081365,46.290000444081365,2142.764141113053
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),1.34,58.3,120.17,1.38,0.45,42.41,0.8900000000000001,2.2086069035601414,0.40063167239494435,0.21997883505866708,0.16182686233457402,0.7893824457065479,6.761782468843219,1.619272923592439e-05,0.004658138810312407,120.1700000902815,-61.87000009028151,61.87000009028151,3827.8969111714337
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),2.23,74.1,137.48,1.38,0.45,42.41,0.8899999999999999,2.123416484622353,0.08519041893778834,0.21997883505866708,0.6789101862897353,3.0611364872859705,9.486193942527732,8.202584800190885e-06,0.0042768871980010965,137.48000006652518,-63.380000066525184,63.380000066525184,4017.0244084327323
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),3.12,119.0,146.18,1.38,0.45,42.41,0.8900000000000001,2.0864002846498555,0.03701619997249761,0.21997883505866708,0.8451242315271801,3.6788816829354687,12.7603986403403,5.63668168078806e-06,0.0041936197781938635,146.18000006015342,-27.180000060153418,27.180000060153418,738.7524032699398
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),4.01,141.0,157.86,1.38,0.45,42.41,0.8899999999999997,2.0658712210808474,0.020529063569008077,0.21997883505866708,0.9108993203368516,3.8875578917312166,16.22032516398108,4.337497789511176e-06,0.004170535473526129,157.86000005509112,-16.86000005509112,16.86000005509112,284.2596018576726
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),4.9,195.0,175.79,1.38,0.45,42.41,0.8900000000000006,2.0529035017729194,0.01296771930792806,0.21997883505866708,0.9427540471811492,3.9731547119938897,19.756432857655643,3.5382199620124637e-06,0.004163805688773322,175.79000004931245,19.209999950687546,19.209999950687546,369.02409810541553
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),5.79,227.0,199.19,1.38,0.45,42.41,0.8899999999999997,2.0440114179332123,0.008892083839707077,0.21997883505866708,0.9603836377224353,4.012466201334129,23.327527776843016,2.9921271395928595e-06,0.004162260940671868,199.19000004348717,27.809999956512826,27.809999956512826,773.3960975812433
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),6.69,246.0,217.87,1.38,0.45,42.41,0.9000000000000004,2.0374951233177754,0.006516294615436902,0.21997883505866708,0.9708120713435978,4.030216008130811,26.954722184160747,2.5897096796166603e-06,0.004162350028125393,217.87000003976033,28.129999960239672,28.129999960239672,791.296897763084
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),7.58,268.0,228.65,1.38,0.45,42.41,0.8899999999999997,2.032625293946093,0.004869829371682233,0.21997883505866708,0.9781055232381306,4.0411071188856145,30.551307519968944,2.2864401935357325e-06,0.004163077787767225,228.65000003789902,39.34999996210098,39.34999996210098,1548.4224970173473
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),8.47,283.0,241.76,1.38,0.45,42.41,0.8900000000000006,2.028818595369631,0.0038066985764619865,0.21997883505866708,0.9828440286452553,4.045489115281584,34.151792832569555,2.046987271975248e-06,0.004163890271564604,241.76000003585784,41.23999996414216,41.23999996414216,1700.737597042445
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),10.23,291.0,260.94,1.38,0.45,42.41,1.7599999999999998,2.0233196614151145,0.005498933954516616,0.21997883505866708,0.9753122925570723,3.9927553612440683,41.17904226835911,1.6919730055635743e-06,0.004160394674416763,260.9400000331664,30.059999966833573,30.059999966833573,903.6035980060344
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),12.06,310.0,275.0400029086679,1.38,0.45,42.41,1.83,2.019377820798657,0.003941840616457526,0.21997883505866708,0.9822404125934444,4.005465196374435,48.50904357772433,1.434156521044684e-06,0.004158837294701356,275.04000294011047,34.95999705988953,34.95999705988953,1222.2013944274847
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),13.44,310.0,277.98028779033956,1.38,0.45,42.41,1.379999999999999,2.0171497907544715,0.0022280300441854806,0.21997883505866708,0.9899227356614188,4.027889965209492,54.06753172971342,1.2870827267893004e-06,0.0041591335453491024,277.98028782145394,32.01971217854606,32.01971217854606,1025.2619679969307
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),15.18,310.0,282.2671334038024,1.38,0.45,42.41,1.7400000000000002,2.0149476562992126,0.002202134455258964,0.21997883505866708,0.9900392747871938,4.01957337323755,61.06158939914676,1.1394440817191119e-06,0.0041589375037978295,282.2671334344414,27.732866565558595,27.732866565558595,769.1118879430778
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),16.83,314.0,283.7363587910439,1.38,0.45,42.41,1.6499999999999986,2.0133025798060906,0.0016450764931219553,0.21997883505866708,0.9925495533371003,4.023187732136133,67.69984915717137,1.0277510393715102e-06,0.004158972227921523,283.7363588215248,30.26364117847521,30.26364117847521,915.8879773795005
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),18.56,317.0,277.4176075882712,1.38,0.45,42.41,1.7300000000000004,2.0119093039162994,0.0013932758897912123,0.21997883505866708,0.9936863339278986,4.022222721947394,74.65829446614036,9.319456300988047e-07,0.00415895550524814,277.4176076194461,39.58239238055393,39.58239238055393,1566.7657865681335
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),20.3,319.0,274.1903712751416,1.38,0.45,42.41,1.740000000000002,2.010761186472125,0.0011481174441745345,0.21997883505866708,0.9947943786860602,4.022113386293114,81.65677175829039,8.520568772856625e-07,0.0041589367161449994,274.1903713066831,44.80962869331688,44.80962869331688,2007.9028236329275
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),21.94,318.0,275.0623645648383,1.38,0.45,42.41,1.6400000000000006,2.0098555376624105,0.0009056488097143323,0.21997883505866708,0.9958914815804845,4.022922842895054,88.25436522063828,7.883723872115477e-07,0.0041589530143320156,275.06236459628,42.93763540371998,42.93763540371998,1843.6405340627875
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),23.68,317.0,274.2245512349323,1.38,0.45,42.41,1.7399999999999984,2.009039999699173,0.0008155379632377446,0.21997883505866708,0.9962995163230223,4.021305673788608,95.25143709303045,7.304266263796548e-07,0.004158906408260497,274.2245512664694,42.775448733530595,42.775448733530595,1829.7390143549042
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),25.41,317.0,265.4585180400132,1.38,0.45,42.41,1.7300000000000004,2.0083465782643493,0.0006934214348235379,0.21997883505866708,0.996852744155907,4.0207616605261265,102.20735476574065,6.806773100493657e-07,0.0041588472499425105,265.45851807259083,51.541481927409166,51.541481927409166,2656.5243592734455
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),27.06,312.0,257.17034238029856,1.38,0.45,42.41,1.6499999999999986,2.0077729052707345,0.0005736729936147711,0.21997883505866708,0.9973955420975844,4.020653073355111,108.84143233677658,6.391563668813758e-07,0.004158794451257482,257.17034241392525,54.829657586074745,54.829657586074745,3006.291351006204
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),28.8,312.0,247.63895028851982,1.38,0.45,42.41,1.740000000000002,2.007243565227031,0.0005293400437036411,0.21997883505866708,0.9975965702671072,4.019343247507471,115.83508958743958,6.00514666794452e-07,0.004158704414079007,247.63895032343925,64.36104967656075,64.36104967656075,4142.344715468721
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),30.53,311.0,238.15547211853016,1.38,0.45,42.41,1.7300000000000004,2.0067808239425484,0.00046274128448242635,0.21997883505866708,0.9978986391091524,4.018706739327504,122.78745224647616,5.664594614693291e-07,0.004158606420263718,238.15547215483838,72.84452784516162,72.84452784516162,5306.325236984527
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),32.18,310.0,230.78446091537447,1.38,0.45,42.41,1.6499999999999986,2.00638876174671,0.0003920621958384274,0.21997883505866708,0.9982193149518253,4.018427544899789,129.4178576955608,5.37391239777834e-07,0.004158515371626116,230.7844609528407,79.2155390471593,79.2155390471593,6275.1016265320195
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),33.91,313.0,224.30081163473304,1.38,0.45,42.41,1.7299999999999969,2.006021263286312,0.00036749846039807466,0.21997883505866708,0.9983307864222954,4.017404190829903,136.3679669456965,5.099472356192705e-07,0.004158402428799966,224.30081167328018,88.69918832671982,88.69918832671982,7867.54600981891
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),35.65,320.0,217.71449767987434,1.38,0.45,42.41,1.740000000000002,2.0056899097280447,0.00033135355826718893,0.21997883505866708,0.9984948364467657,4.0167370540632,143.35708941976648,4.850299561971686e-07,0.004158283051744921,217.71449771958532,102.28550228041468,102.28550228041468,10462.323976756716
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),37.3,321.0,212.31512287164097,1.38,0.45,42.41,1.6499999999999986,2.005406083093128,0.0002838266349165508,0.21997883505866708,0.9987105868135504,4.016467984977767,149.98426159497978,4.635498888502133e-07,0.00415817398074118,212.3151229123597,108.6848770876403,108.6848770876403,11812.40250755548
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),39.03,320.0,206.59717931278735,1.38,0.45,42.41,1.730000000000004,2.005135923651114,0.00027015944201425057,0.21997883505866708,0.9987726382116758,4.015635378242165,156.93131079933875,4.42976773246984e-07,0.004158050439789035,206.59717935463058,113.40282064536942,113.40282064536942,12860.199730325823
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),40.76,315.0,201.30546962266078,1.38,0.45,42.41,1.7299999999999969,2.004890175856902,0.0002457477942119368,0.21997883505866708,0.9988834808696663,4.015096674126368,163.87742804557735,4.2414977822981527e-07,0.0041579255597770474,201.30546966560135,113.69453033439865,113.69453033439865,12926.446227959495
ESO563-G021,ESO563-G021,structure_2002_Z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),42.41,312.0,196.97196805637088,1.38,0.45,42.41,1.6499999999999986,2.0046756815353928,0.00021449432150921766,0.21997883505866708,0.9990254072299342,4.014807968210905,170.50186119312534,4.076252092551118e-07,0.004157810135697552,196.97196810025375,115.02803189974625,115.02803189974625,13231.448122729042
