galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,structural,1185.491162227603,computed_from_baryonic_velocity,359.94443808369425,5.5118890285288105,196146.41203865557,15,ok
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,structural,303.16933701657456,computed_from_baryonic_velocity,104.40556026332307,2.8013302074859654,22356.1468052223,7,ok
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO563-G021_normalized.csv,structural,4465.040597400861,computed_from_baryonic_velocity,615.4858075202958,5.775843656928945,244107.20319671778,30,ok
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F561-1_normalized.csv,structural,372.01707452824746,computed_from_baryonic_velocity,39.64426421297894,0.8642911817393385,360.77344617871205,6,ok
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-1_normalized.csv,structural,156.14697624190066,computed_from_baryonic_velocity,77.01129882691266,0.919366715016187,878.3310040686665,17,ok
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,structural,140.38075087800775,computed_from_baryonic_velocity,34.419268270632486,1.6111050515852512,284.3246467885843,6,ok
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,computed_from_baryonic_velocity,193.4937412766726,5.096136571199842,4896.831732705216,10,ok
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,structural,136.88976127320953,computed_from_baryonic_velocity,57.133728926837826,0.9114599365374366,587.4998831911389,7,ok
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,structural,188.49739130434784,computed_from_baryonic_velocity,34.67296011109164,0.7630302101279567,200.3506280545745,5,ok
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,structural,399.4879274891775,computed_from_baryonic_velocity,142.90798009491843,2.853355289060499,2610.3192190096906,12,ok
