galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status
UGC04483,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC04483_normalized.csv,structural,246.75249961520706,computed_from_baryonic_velocity,228.42621111164746,18.050424583640492,70611.09430573338,8,ok
UGC04499,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC04499_normalized.csv,structural,446.4303516483517,computed_from_baryonic_velocity,62.76605381275033,0.9999999665285093,4588.762403795506,9,ok
UGC05005,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05005_normalized.csv,structural,276.00904651162784,computed_from_baryonic_velocity,73.03428000926989,1.4734812338849161,592.6344522976755,11,ok
UGC05253,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05253_normalized.csv,structural,17407.449125799572,computed_from_baryonic_velocity,6641.401854607709,4.334610571343864,3402777.4395530396,73,ok
UGC05414,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05414_normalized.csv,structural,547.5696699227135,computed_from_baryonic_velocity,164.96876777311022,4.334425827349167,26882.41816513947,6,ok
UGC05716,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05716_normalized.csv,structural,147.90493832820238,computed_from_baryonic_velocity,65.37636612735835,0.9999999625506635,85998.6236980438,12,ok
UGC05721,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05721_normalized.csv,structural,797.8060386473431,computed_from_baryonic_velocity,459.458045475941,7.10004693163802,199219.47349142758,23,ok
UGC05750,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05750_normalized.csv,structural,204.00340136054425,computed_from_baryonic_velocity,70.22105165960755,5.734018723741364,1621.8160613961288,11,ok
UGC05764,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05764_normalized.csv,structural,196.75975720359003,computed_from_baryonic_velocity,85.08680144417076,1.939315201055368,41670.8969915861,10,ok
UGC05829,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05829_normalized.csv,structural,198.61541114058355,computed_from_baryonic_velocity,53.621694610990744,1.4242379323456746,1235.3007960793752,11,ok
UGC05918,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05918_normalized.csv,structural,125.3296171171171,computed_from_baryonic_velocity,35.654292526338494,1.0420064449095738,658.4586889154177,8,ok
UGC05986,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05986_normalized.csv,structural,1133.4418525896413,computed_from_baryonic_velocity,139.47303949463839,1.347514304219198,41221.64308413615,15,ok
UGC05999,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05999_normalized.csv,structural,245.6576295585413,computed_from_baryonic_velocity,66.93998105670765,0.7905664116167688,896.1922127744762,5,ok
UGC06399,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06399_normalized.csv,structural,485.8862068965518,computed_from_baryonic_velocity,115.9875458045281,2.183755083626487,4045.1696689134715,9,ok
UGC06446,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06446_normalized.csv,structural,274.23346080305924,computed_from_baryonic_velocity,74.22319848025721,0.9999999707316249,4721.471897762379,17,ok
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,computed_from_baryonic_velocity,186.8467033709804,0.9999999757110264,3762.4854030867323,13,ok
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06628_normalized.csv,structural,522.4674487471526,computed_from_baryonic_velocity,39.441980644331295,0.999999949260982,159.2225049681273,7,ok
UGC06667,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06667_normalized.csv,structural,154.1405714285714,computed_from_baryonic_velocity,49.9826295132897,0.6142272281254458,2167.335889560953,9,ok
UGC06786,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06786_normalized.csv,structural,7267.390083333333,computed_from_baryonic_velocity,4135.924129666137,4.826148615693078,865734.5927017467,45,ok
UGC06787,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06787_normalized.csv,structural,7986.838723076924,computed_from_baryonic_velocity,7476.837846083244,8.441671855911682,3097789.059655283,71,ok
UGC06818,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06818_normalized.csv,structural,466.52635174893754,computed_from_baryonic_velocity,54.99262253405541,0.9999999615903766,890.8772554095447,8,ok
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06917_normalized.csv,structural,748.2353682487725,computed_from_baryonic_velocity,95.45052256392496,0.9999999748665677,6034.682809408887,11,ok
UGC06923,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06923_normalized.csv,structural,1134.680917912405,computed_from_baryonic_velocity,69.386260069037,0.9999999746447639,1235.9165186350722,6,ok
UGC06930,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06930_normalized.csv,structural,580.5852936196032,computed_from_baryonic_velocity,98.87182307473094,0.9999999702893204,2675.5770265789834,10,ok
UGC06973,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06973_normalized.csv,structural,9035.44296992481,computed_from_baryonic_velocity,173.81535320412587,0.9999999873605019,10407.925011681502,9,ok
UGC06983,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06983_normalized.csv,structural,442.7627637614679,computed_from_baryonic_velocity,102.01624723914571,0.9999999722676295,6618.063778941807,17,ok
UGC07089,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07089_normalized.csv,structural,463.2386382229107,computed_from_baryonic_velocity,132.11435520983747,2.661402129755577,10336.553320268828,12,ok
UGC07125,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07125_normalized.csv,structural,195.46571428571426,computed_from_baryonic_velocity,52.59407389719575,0.8967808365314032,5688.622058990221,13,ok
UGC07151,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07151_normalized.csv,structural,897.0361666666668,computed_from_baryonic_velocity,259.92496403702296,4.44129666030051,140892.7167505186,11,ok
UGC07232,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07232_normalized.csv,structural,1218.6287596006146,computed_from_baryonic_velocity,823.2311076735002,27.552401760096288,248929.09334851726,4,ok
UGC07261,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07261_normalized.csv,structural,682.9812073490813,computed_from_baryonic_velocity,235.50166816777622,2.808565019049925,12118.619597218027,7,ok
UGC07323,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07323_normalized.csv,structural,938.6746986175115,computed_from_baryonic_velocity,223.06968057625335,4.242015036472978,33224.55407486977,10,ok
UGC07399,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07399_normalized.csv,structural,503.45770818580934,computed_from_baryonic_velocity,89.90297921897074,0.9999999805019633,7849.526426880077,10,ok
UGC07524,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07524_normalized.csv,structural,283.75669691470057,computed_from_baryonic_velocity,48.32146400706137,0.730883221847727,5537.280090556805,31,ok
UGC07559,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07559_normalized.csv,structural,269.80758620689653,computed_from_baryonic_velocity,101.25085630259645,5.304639689482596,6878.447154105113,7,ok
UGC07577,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07577_normalized.csv,structural,160.38688741721853,computed_from_baryonic_velocity,100.61914668341679,12.338654726637397,9067.45157317622,9,ok
UGC07603,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07603_normalized.csv,structural,518.8142209409124,computed_from_baryonic_velocity,62.01798018220463,1.3622550219421787,5526.126170731184,12,ok
UGC07608,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07608_normalized.csv,structural,175.68189850634627,computed_from_baryonic_velocity,33.18459393640314,0.6540508364453326,196.8388263899605,8,ok
UGC07690,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07690_normalized.csv,structural,904.6292372881355,computed_from_baryonic_velocity,56.67562945407126,0.9999999739641076,1210.4203152495056,7,ok
UGC07866,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC07866_normalized.csv,structural,282.73030303030305,computed_from_baryonic_velocity,49.910288433110445,1.7342207258624902,1052.6630550340747,7,ok
UGC08286,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08286_normalized.csv,structural,453.32990588235293,computed_from_baryonic_velocity,91.29061602537672,1.5381139722723827,27887.382710372323,17,ok
UGC08490,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08490_normalized.csv,structural,279.3234539784884,computed_from_baryonic_velocity,85.88619226634225,1.1602664061164378,16252.314587902058,30,ok
UGC08550,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08550_normalized.csv,structural,217.43356164383562,computed_from_baryonic_velocity,82.3000687217359,1.6616424671781216,17740.80425099411,11,ok
UGC08699,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08699_normalized.csv,structural,3659.376815642459,computed_from_baryonic_velocity,2375.6160301028763,3.409212570471636,225769.69364984424,41,ok
UGC08837,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC08837_normalized.csv,structural,295.3078593426501,computed_from_baryonic_velocity,76.13733099945124,3.5541542559601647,9915.797085299328,8,ok
UGC09037,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC09037_normalized.csv,structural,1518.487816673853,computed_from_baryonic_velocity,140.08861745095464,0.9999999732535961,12884.395596052409,22,ok
UGC09133,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC09133_normalized.csv,structural,6623.2401230283285,computed_from_baryonic_velocity,2756.5093276983575,2.156952752849296,1105229.544025618,68,ok
UGC09992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC09992_normalized.csv,structural,314.74085470085475,computed_from_baryonic_velocity,32.09470211164417,0.9999999544105982,160.76956630048707,5,ok
UGC10310,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC10310_normalized.csv,structural,419.25904977375563,computed_from_baryonic_velocity,106.89718889328287,1.8781453208362038,3124.133440336649,7,ok
UGC11455,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11455_normalized.csv,structural,8194.350783701804,computed_from_baryonic_velocity,1415.1070151707156,8.15534504634632,3158933.6772299455,36,ok
UGC11557,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11557_normalized.csv,structural,1634.6260051406925,computed_from_baryonic_velocity,471.2649266878846,34.16394223929705,41090.888290441784,12,ok
UGC11820,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11820_normalized.csv,structural,236.4291803158818,computed_from_baryonic_velocity,221.18951829950714,6.986378731292936,67130.96056968378,10,ok
UGC11914,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC11914_normalized.csv,structural,26103.61195822454,computed_from_baryonic_velocity,280.63430714348993,0.9999999935661538,287280.69824103406,65,ok
UGC12506,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC12506_normalized.csv,structural,1103.3007870916965,computed_from_baryonic_velocity,281.15512106840885,1.1955090469032066,9939.936017782136,31,ok
UGC12632,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC12632_normalized.csv,structural,201.66424999999998,computed_from_baryonic_velocity,55.95141603984805,0.8056117609203721,5056.036438106588,15,ok
UGC12732,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC12732_normalized.csv,structural,182.66865162037033,computed_from_baryonic_velocity,63.58079698036499,0.8888545198316727,5181.979400601144,16,ok
UGCA281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGCA281_normalized.csv,structural,536.7199999999999,computed_from_baryonic_velocity,565.7141538832486,34.57475815910424,718004.6079006259,7,ok
UGCA442,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGCA442_normalized.csv,structural,154.9649014667915,computed_from_baryonic_velocity,72.43306581781414,2.258576746795974,17291.44218627253,8,ok
UGCA444,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGCA444_normalized.csv,structural,140.92046486775317,computed_from_baryonic_velocity,89.76186658806125,3.5812146600804176,26777.787291766886,36,ok
