galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,beta_formula,beta_value,rs_kpc,status,source_file
CamB,9,84.5750363338924,10.57187954173655,4.598234344123089,4.214271092935359,4.214271092935359,6.429388876683932,median(a_bar),262.5817073170732,5.0,success,data\raw\sparc_csv\CamB.csv
D512-2,4,37.609232906915736,12.536410968971913,11.065533113606948,10.843930731160377,10.843930731160377,13.629676355696581,median(a_bar),206.5490972222222,5.0,success,data\raw\sparc_csv\D512-2.csv
D564-8,6,144.86852920926307,28.973705841852613,9.199485229959695,8.251097853781697,8.251097853781697,12.88741642060788,median(a_bar),70.43799836601308,5.0,success,data\raw\sparc_csv\D564-8.csv
D631-7,16,1106.6823120802178,73.77882080534785,20.933462595528677,17.691673452981465,17.691673452981465,30.84302060041852,median(a_bar),176.89675139275764,5.0,success,data\raw\sparc_csv\D631-7.csv
DDO064,14,103.34097355355244,7.9493056579655725,13.575434242229344,12.37879694616015,12.37879694616015,18.456097758029333,median(a_bar),294.89539265251096,5.0,success,data\raw\sparc_csv\DDO064.csv
DDO154,12,53968.22937430347,4906.202670391224,20.12225973440467,18.46463745122104,18.46463745122104,25.909183875854268,median(a_bar),113.39115958443993,5.0,success,data\raw\sparc_csv\DDO154.csv
DDO161,31,5237.342304162653,174.57807680542177,15.896939838988898,13.134237873014127,13.134237873014127,23.212862955559288,median(a_bar),203.02229299363057,5.0,success,data\raw\sparc_csv\DDO161.csv
DDO168,10,1035.7707070596696,115.08563411774107,16.487949371877942,14.0797659960528,14.0797659960528,22.974075089323982,median(a_bar),349.09260200070753,5.0,success,data\raw\sparc_csv\DDO168.csv
DDO170,8,2279.3172868177016,325.61675525967166,18.774439706845104,18.264878533382344,18.264878533382344,22.211084079438365,median(a_bar),145.149332915392,5.0,success,data\raw\sparc_csv\DDO170.csv
ESO079-G014,15,521.7955702986044,37.27111216418603,19.40780601571762,16.872736535183897,16.872736535183897,30.65926822943483,median(a_bar),1608.9090643776824,5.0,success,data\raw\sparc_csv\ESO079-G014.csv
ESO116-G012,15,1240.468962833654,88.60492591668957,23.176307940017498,20.26396354539459,20.26396354539459,32.13719642767403,median(a_bar),1185.491162227603,5.0,success,data\raw\sparc_csv\ESO116-G012.csv
ESO444-G084,7,1494.993057691485,249.16550961524752,28.387553579785656,26.53166060228663,26.53166060228663,38.00763264079877,median(a_bar),303.16933701657456,5.0,success,data\raw\sparc_csv\ESO444-G084.csv
ESO563-G021,30,479.81125486659715,16.545215685055073,23.68848852945674,17.538970458754527,17.538970458754527,63.379999999999995,median(a_bar),4465.040597400861,5.0,success,data\raw\sparc_csv\ESO563-G021.csv
F561-1,6,4.438520068938445,0.8877040137876889,4.746299740437314,3.950044996313594,3.950044996313594,7.935003060798209,median(a_bar),372.01707452824746,5.0,success,data\raw\sparc_csv\F561-1.csv
F563-1,17,296.76715146045774,18.54794696627861,46.44998784113733,44.377531052667074,44.377531052667074,55.80906413312671,median(a_bar),156.14697624190066,5.0,success,data\raw\sparc_csv\F563-1.csv
F563-V1,6,1.0333433870838846,0.2066686774167769,2.074993360515366,1.5643982214890946,1.5643982214890946,4.096450878569275,median(a_bar),140.38075087800775,5.0,success,data\raw\sparc_csv\F563-V1.csv
F563-V2,10,118.9954002522,13.221711139133333,41.849687199684254,38.856102277008326,38.856102277008326,57.58548617671912,median(a_bar),366.5083344301131,5.0,success,data\raw\sparc_csv\F563-V2.csv
F565-V2,7,206.2482269580123,34.37470449300205,33.967886817833296,31.802726222443937,31.802726222443937,43.161891982344926,median(a_bar),136.88976127320953,5.0,success,data\raw\sparc_csv\F565-V2.csv
F567-2,5,11.695474481828914,2.9238686204572284,8.398618797901264,7.450846306912384,7.450846306912384,11.695048478592092,median(a_bar),188.49739130434784,5.0,success,data\raw\sparc_csv\F567-2.csv
F568-1,12,248.18211001990142,22.56201000180922,50.54104968268267,46.92275834862486,46.92275834862486,63.11581914872167,median(a_bar),399.4879274891775,5.0,success,data\raw\sparc_csv\F568-1.csv
F568-3,18,160.91610540508867,9.465653259122863,24.188937610778964,21.711917511432926,21.711917511432926,32.762403582233034,median(a_bar),432.68924740271166,5.0,success,data\raw\sparc_csv\F568-3.csv
F568-V1,15,357.45231934623484,25.53230852473106,45.40389955912802,43.18996445653978,43.18996445653978,56.679025781718614,median(a_bar),369.2037649063032,5.0,success,data\raw\sparc_csv\F568-V1.csv
F571-8,13,850.3123471595843,70.85936226329869,34.25515422803157,32.20276914023211,32.20276914023211,48.23158694436958,median(a_bar),1790.4438784067086,5.0,success,data\raw\sparc_csv\F571-8.csv
F571-V1,7,120.81750686867579,20.136251144779298,26.156499052118686,24.762623241698034,24.762623241698034,30.653792687234358,median(a_bar),221.19778920308482,5.0,success,data\raw\sparc_csv\F571-V1.csv
F574-1,14,526.5479089240625,40.503685301850965,28.09735414145147,26.418489084185715,26.418489084185715,34.15775022133804,median(a_bar),364.4962482269504,5.0,success,data\raw\sparc_csv\F574-1.csv
F574-2,5,3.3569881462025783,0.8392470365506446,7.294377305917471,7.0283879765900155,7.0283879765900155,10.67319703006014,median(a_bar),201.78452023121386,5.0,success,data\raw\sparc_csv\F574-2.csv
F579-V1,14,98.70302861110763,7.592540662392894,27.088098173668023,25.813089405076344,25.813089405076344,40.514512047907466,median(a_bar),780.6208149807635,5.0,success,data\raw\sparc_csv\F579-V1.csv
F583-1,25,722.0425513055909,30.08510630439962,28.607305129168637,25.552412927322735,25.552412927322735,39.53232051120049,median(a_bar),156.08329519450797,5.0,success,data\raw\sparc_csv\F583-1.csv
F583-4,12,133.4158910105602,12.128717364596382,15.186319288444233,14.282189794973023,14.282189794973023,22.74942796861601,median(a_bar),325.17850306930694,5.0,success,data\raw\sparc_csv\F583-4.csv
IC2574,34,5245.261423249421,158.94731585604305,15.523928425829672,13.802720751804214,13.802720751804214,25.178432429908618,median(a_bar),143.23285763613387,5.0,success,data\raw\sparc_csv\IC2574.csv
IC4202,32,1660.272584171963,53.557180134579454,31.090325657895402,18.203941094174187,18.203941094174187,103.4490504524355,median(a_bar),4577.361699034203,5.0,success,data\raw\sparc_csv\IC4202.csv
KK98-251,15,187.69885982087288,13.407061415776635,7.074816554905583,6.16999686426744,6.16999686426744,11.004700502825049,median(a_bar),177.04964157706092,5.0,success,data\raw\sparc_csv\KK98-251.csv
NGC0024,29,610.6693428739402,21.809619388355006,25.3715572965784,24.124781864025096,24.124781864025096,32.16668017287431,median(a_bar),2176.6304273504275,5.0,success,data\raw\sparc_csv\NGC0024.csv
NGC0055,21,790.7079480849659,39.53539740424829,15.675974419364184,14.14447089241017,14.14447089241017,21.238643784871513,median(a_bar),430.4765943012212,5.0,success,data\raw\sparc_csv\NGC0055.csv
NGC0100,21,283.2711141167246,14.163555705836231,19.70860468497583,16.67161130804116,16.67161130804116,30.511171139020924,median(a_bar),572.6412977099235,5.0,success,data\raw\sparc_csv\NGC0100.csv
NGC0247,26,2785.874793633245,111.43499174532981,22.372519694051462,21.99942740528072,21.99942740528072,29.07824384729389,median(a_bar),449.4103549864976,5.0,success,data\raw\sparc_csv\NGC0247.csv
NGC0289,28,649.2601613385744,24.046672642169423,31.74352041985024,30.070388700670318,30.070388700670318,46.74119058037007,median(a_bar),465.23016957284534,5.0,success,data\raw\sparc_csv\NGC0289.csv
NGC0300,25,1399.9931205544272,58.3330466897678,27.232834895315552,25.685666379083372,25.685666379083372,36.732292268074225,median(a_bar),412.2658018867924,5.0,success,data\raw\sparc_csv\NGC0300.csv
NGC0801,13,575.959597346149,47.99663311217909,35.725128471794356,30.454457752566782,30.454457752566782,68.68792205534706,median(a_bar),3441.5983909348447,5.0,success,data\raw\sparc_csv\NGC0801.csv
NGC0891,18,3701.669379913164,217.74525764195081,69.83902549549678,51.02609226933681,51.02609226933681,149.794746506911,median(a_bar),7672.427715856535,5.0,success,data\raw\sparc_csv\NGC0891.csv
NGC1003,36,7289.30473685653,208.26584962447228,33.59952450565337,30.80289638902122,30.80289638902122,44.97812093663596,median(a_bar),194.6186893538341,5.0,success,data\raw\sparc_csv\NGC1003.csv
NGC1090,24,755.1892508950211,32.83431525630527,17.738119627493187,14.712126614746042,14.712126614746042,36.591798233626804,median(a_bar),1645.2062744877437,5.0,success,data\raw\sparc_csv\NGC1090.csv
NGC1705,14,733.9277718607574,56.45598245082749,32.62796174316545,31.764305123487382,31.764305123487382,37.5456127598171,median(a_bar),322.24443263991054,5.0,success,data\raw\sparc_csv\NGC1705.csv
NGC2366,26,1234.1317973478567,49.36527189391427,13.463073512825522,11.81253572605864,11.81253572605864,19.706220421005753,median(a_bar),273.39292671882924,5.0,success,data\raw\sparc_csv\NGC2366.csv
NGC2403,73,45106.009700704715,626.4723569542322,14.30118246978329,11.332934967986207,11.332934967986207,25.720007102291035,median(a_bar),2903.4940633245387,5.0,success,data\raw\sparc_csv\NGC2403.csv
NGC2683,11,79.76548880823097,7.976548880823097,22.999111737078277,19.85747351931505,19.85747351931505,35.21424042407486,median(a_bar),1302.1040439052572,5.0,success,data\raw\sparc_csv\NGC2683.csv
NGC2841,50,706.7533700947195,14.423538165198357,21.715155652307047,19.46932501759782,19.46932501759782,34.19596026512818,median(a_bar),5366.0651961550775,5.0,success,data\raw\sparc_csv\NGC2841.csv
NGC2903,34,6225.092893237519,188.6391785829551,57.34395416998386,44.6216110869351,44.6216110869351,153.82000025275502,median(a_bar),4686.78359837963,5.0,success,data\raw\sparc_csv\NGC2903.csv
NGC2915,30,1119.411523193787,38.6003973515099,42.7936183040063,41.03945974941201,41.03945974941201,50.65870645745606,median(a_bar),156.23544051830063,5.0,success,data\raw\sparc_csv\NGC2915.csv
NGC2955,24,1382.4226556629874,60.1053328549125,43.882186292312326,35.08358889030717,35.08358889030717,79.8590323509568,median(a_bar),11234.73445360696,5.0,success,data\raw\sparc_csv\NGC2955.csv
NGC2976,27,28.039336397365997,1.0784360152833075,3.655351705532062,3.025500687422635,3.025500687422635,7.369045369346566,median(a_bar),2782.7392511013213,5.0,success,data\raw\sparc_csv\NGC2976.csv
NGC2998,13,251.70025499331882,20.975021249443234,19.709005739304644,16.35006839222133,16.35006839222133,45.44,median(a_bar),3718.225576,5.0,success,data\raw\sparc_csv\NGC2998.csv
NGC3109,25,2730.068387291465,113.75284947047771,27.630388790521394,25.151130717563234,25.151130717563234,39.098968666584454,median(a_bar),113.16475728155339,5.0,success,data\raw\sparc_csv\NGC3109.csv
NGC3198,43,711.5061595053583,16.940622845365674,13.354997173866105,9.721490457551887,9.721490457551887,38.88,median(a_bar),2740.306332179931,5.0,success,data\raw\sparc_csv\NGC3198.csv
NGC3521,41,1144.4634508687643,28.61158627171911,51.593720572328024,49.136751105164876,49.136751105164876,66.5494842931862,median(a_bar),20126.36903797468,5.0,success,data\raw\sparc_csv\NGC3521.csv
NGC3726,12,209.57940866154476,19.05267351468589,27.376042622388557,25.038238972757096,25.038238972757096,38.99000000000001,median(a_bar),2181.7475889344114,5.0,success,data\raw\sparc_csv\NGC3726.csv
NGC3741,21,2033.3818822976998,101.66909411488498,22.94931703046516,20.888278235813203,20.888278235813203,32.59719863980992,median(a_bar),62.766108949416356,5.0,success,data\raw\sparc_csv\NGC3741.csv
NGC3769,12,123.51550446333516,11.22868222393956,22.076465879607028,20.315893273476735,20.315893273476735,39.28499674646051,median(a_bar),779.5212131601876,5.0,success,data\raw\sparc_csv\NGC3769.csv
NGC3877,13,308.63051260908105,25.71920938409009,30.155586136025967,25.167651386448274,25.167651386448274,64.07000000000001,median(a_bar),5055.686628571429,5.0,success,data\raw\sparc_csv\NGC3877.csv
NGC3893,10,138.69667329219638,15.410741476910708,27.709520459896883,23.431396574007472,23.431396574007472,57.95003744764375,median(a_bar),3104.9381882295975,5.0,success,data\raw\sparc_csv\NGC3893.csv
NGC3917,17,218.55700221632128,13.65981263852008,14.881673047035227,14.20085231331726,14.20085231331726,24.193427351055618,median(a_bar),1401.0041762452108,5.0,success,data\raw\sparc_csv\NGC3917.csv
NGC3949,7,196.6026845794991,32.767114096583185,32.0110334348227,27.96203783133525,27.96203783133525,49.16262202506704,median(a_bar),8354.517986270024,5.0,success,data\raw\sparc_csv\NGC3949.csv
NGC3953,8,69.07293117977918,9.86756159711131,18.26639069797791,17.322946655904058,17.322946655904058,24.202183713197826,median(a_bar),6368.252248779825,5.0,success,data\raw\sparc_csv\NGC3953.csv
NGC3972,10,86.37120662800334,9.596800736444814,14.603781655526335,13.675945385124246,13.675945385124246,23.21814975110661,median(a_bar),1960.3350696361863,5.0,success,data\raw\sparc_csv\NGC3972.csv
NGC3992,9,147.8585610686183,18.482320133577286,25.081639773140584,24.18442845364067,24.18442845364067,30.83373882746949,median(a_bar),1655.6918095930232,5.0,success,data\raw\sparc_csv\NGC3992.csv
NGC4010,12,91.92518348669891,8.356834862427174,14.204280236652078,13.009415706031108,13.009415706031108,20.98846534673406,median(a_bar),1615.7787131809846,5.0,success,data\raw\sparc_csv\NGC4010.csv
NGC4013,36,1299.637123444235,37.132489241263855,29.14597713681344,25.924682255746994,25.924682255746994,44.267194276269464,median(a_bar),1138.8862424505674,5.0,success,data\raw\sparc_csv\NGC4013.csv
NGC4051,7,104.70544359698778,17.45090726616463,29.682131008832762,27.489778346876484,27.489778346876484,48.0,median(a_bar),4485.998497706421,5.0,success,data\raw\sparc_csv\NGC4051.csv
NGC4068,6,24.04650832012841,4.809301664025682,5.610790470359889,4.536911745595811,4.536911745595811,10.787883002374212,median(a_bar),458.40876758835077,5.0,success,data\raw\sparc_csv\NGC4068.csv
NGC4085,7,219.1782268360194,36.5297044726699,33.53583468853068,29.69720148014877,29.69720148014877,52.599999999999994,median(a_bar),6279.111731843575,5.0,success,data\raw\sparc_csv\NGC4085.csv
NGC4088,12,618.4607426534136,56.223703877583056,50.763791059163694,43.68750110482362,43.68750110482362,87.01993252386183,median(a_bar),4732.361785111256,5.0,success,data\raw\sparc_csv\NGC4088.csv
NGC4100,24,229.4525897367081,9.976199553769916,17.637408246267114,16.00816389778197,16.00816389778197,28.07077615924544,median(a_bar),1965.265297959518,5.0,success,data\raw\sparc_csv\NGC4100.csv
NGC4138,7,18.759195110505345,3.1265325184175574,24.40367464338152,19.64119321510747,19.64119321510747,51.38943226632597,median(a_bar),1860.9677558685448,5.0,success,data\raw\sparc_csv\NGC4138.csv
NGC4157,17,323.42414229200836,20.214008893250522,36.53508863304588,31.896792209892872,31.896792209892872,66.45501605468607,median(a_bar),2234.475216836735,5.0,success,data\raw\sparc_csv\NGC4157.csv
NGC4183,23,196.13337800980813,8.915153545900369,16.19651880221336,15.91579092055015,15.91579092055015,23.126947302032804,median(a_bar),670.1451766953198,5.0,success,data\raw\sparc_csv\NGC4183.csv
NGC4214,14,259.3678753665549,19.951375028196534,27.8555463523026,25.857846853884155,25.857846853884155,35.64013470857155,median(a_bar),735.9389734293841,5.0,success,data\raw\sparc_csv\NGC4214.csv
NGC4217,19,1587.8123997071293,88.2117999837294,64.16060498859653,46.820260744540136,46.820260744540136,122.69797517125465,median(a_bar),5269.303887614678,5.0,success,data\raw\sparc_csv\NGC4217.csv
NGC4389,6,479.21468814459195,95.84293762891839,57.39781645079807,56.31212209049402,56.31212209049402,64.67312511814619,median(a_bar),6119.834118101795,5.0,success,data\raw\sparc_csv\NGC4389.csv
NGC4559,32,442.8319309168173,14.284900997316688,17.018338537061364,15.53626432113174,15.53626432113174,25.249613741629204,median(a_bar),990.5384813412618,5.0,success,data\raw\sparc_csv\NGC4559.csv
NGC5005,18,251.4164593960225,14.789203493883676,57.02955192190641,53.236780920756786,53.236780920756786,83.74284770530113,median(a_bar),21660.17275912335,5.0,success,data\raw\sparc_csv\NGC5005.csv
NGC5033,22,2985.0310755118117,142.14433692913389,42.09839974249755,36.316267400548526,36.316267400548526,91.63274333748996,median(a_bar),1316.8768980570999,5.0,success,data\raw\sparc_csv\NGC5033.csv
NGC5055,28,84233.63258375757,3119.764169768799,52.730821209893605,43.21320188317893,43.21320188317893,87.7907818999762,median(a_bar),3173.368248375824,5.0,success,data\raw\sparc_csv\NGC5055.csv
NGC5371,19,2407.420648097448,133.74559156096933,35.51226100120062,31.256221989312554,31.256221989312554,64.06401080168979,median(a_bar),4393.762316831684,5.0,success,data\raw\sparc_csv\NGC5371.csv
NGC5585,24,1414.1797258843624,61.48607503845054,14.738240427500147,12.535857743245005,12.535857743245005,24.418491802138092,median(a_bar),1093.1413466299566,5.0,success,data\raw\sparc_csv\NGC5585.csv
NGC5907,19,1141.2863893822346,63.40479941012414,21.466225175122762,18.404153209285266,18.404153209285266,35.150000000000006,median(a_bar),1250.7879660404624,5.0,success,data\raw\sparc_csv\NGC5907.csv
NGC5985,33,1329.7273898769085,41.55398093365339,39.082320877620226,29.465141285182717,29.465141285182717,76.21531977636917,median(a_bar),3347.1764769820966,5.0,success,data\raw\sparc_csv\NGC5985.csv
NGC6015,44,1388.7196883519853,32.29580670586012,20.727980230785235,17.409497136081878,17.409497136081878,36.93299937176215,median(a_bar),1362.6143442616171,5.0,success,data\raw\sparc_csv\NGC6015.csv
