dataset,observation_date,time_value,time_reference,radius_arcsec,ra_offset_arcsec,dec_offset_arcsec,x_center_arcsec,y_center_arcsec,source_table,source_id,manual_verification_status,notes,dataset_group
Tylenda_Table1,2002-04-30,120.0,t in days since 2002-01-01 per paper,18.55,,,-0.84,0.46,Outer edge circle fit results,SRC-01,verified,Outer edge circle fit results,Tylenda
Tylenda_Table1,2002-05-20,140.0,t in days since 2002-01-01 per paper,20.89,,,-1.12,0.51,Outer edge circle fit results,SRC-01,verified,Outer edge circle fit results,Tylenda
Tylenda_Table1,2002-09-02,245.0,t in days since 2002-01-01 per paper,30.32,,,-2.27,0.37,Outer edge circle fit results,SRC-01,verified,Outer edge circle fit results,Tylenda
Tylenda_Table1,2002-10-28,301.0,t in days since 2002-01-01 per paper,33.68,,,-2.36,1.11,Outer edge circle fit results,SRC-01,verified,Outer edge circle fit results,Tylenda
Tylenda_Table1,2002-12-17,351.0,t in days since 2002-01-01 per paper,36.66,,,-2.61,1.58,Outer edge circle fit results,SRC-01,verified,Outer edge circle fit results,Tylenda
